index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,VC,SKD,Vassar Brewers,2pmi,Dribble Jumper,Shea Fitzgerald,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,3.0,2025-01-21
1,VC,SKD,Skidmore Thoroughbreds,Turnover,N/A,Charlie Fantom,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2025-01-21
2,VC,SKD,Vassar Brewers,Turnover,N/A,Kreekor Karageuzian,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,1.0,2025-01-21
3,VC,SKD,Skidmore Thoroughbreds,Turnover,N/A,Charlie Fantom,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,1.0,2025-01-21
4,VC,SKD,Vassar Brewers,2pmi,To Basket,Avery Lee,PNR,Right,Off,Nathan Denham,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,5,1.0,2025-01-21
5,VC,SKD,Skidmore Thoroughbreds,2pMa,Drop Step,Jack LaGarde,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,1.0,2025-01-21
7,VC,SKD,Vassar Brewers,Turnover,N/A,Sebastian Medina,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2025-01-21
8,VC,SKD,Skidmore Thoroughbreds,3pMa,No Dribble Jumper,Jack LaGarde,Post,Right,N/A,Charlie Fantom,Spot Ups,N/A,Shot,Liberty League,Liberty League,9,4.0,2025-01-21
9,VC,SKD,Vassar Brewers,2pmi,To Basket,Avery Lee,PNR,High,Off,Kreekor Karageuzian,Spot Ups,Left,Drive,Liberty League,Liberty League,10,1.0,2025-01-21
10,VC,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Hakeem Daphnis,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,1.0,2025-01-21
11,VC,SKD,Vassar Brewers,Foul,Dribble Jumper,Avery Lee,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,3.0,2025-01-21
15,VC,SKD,Skidmore Thoroughbreds,Turnover,To Basket,Jack LaGarde,Post,Right,N/A,Joey Skoric,Cuts,N/A,Basket,Liberty League,Liberty League,16,1.0,2025-01-21
16,VC,SKD,Vassar Brewers,2pMa,To Basket,Nathan Denham,Transition,N/A,Leak Outs,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,1.0,2025-01-21
17,VC,SKD,Skidmore Thoroughbreds,3pMa,No Dribble Jumper,Jack LaGarde,Post,Left,N/A,Charlie Fantom,Spot Ups,N/A,Shot,Liberty League,Liberty League,18,4.0,2025-01-21
18,VC,SKD,Vassar Brewers,3pMa,No Dribble Jumper,Shea Fitzgerald,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,19,4.0,2025-01-21
20,VC,SKD,Skidmore Thoroughbreds,3pMa,Dribble Jumper,Aidan Roy,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,21,4.0,2025-01-21
21,VC,SKD,Vassar Brewers,2pmi,To Basket,Avery Lee,PNR,High,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,22,1.0,2025-01-21
22,VC,SKD,Skidmore Thoroughbreds,3pmi,No Dribble Jumper,Hakeem Daphnis,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,23,4.0,2025-01-21
23,VC,SKD,Skidmore Thoroughbreds,2pMa,Drop Step,Jack LaGarde,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,24,1.0,2025-01-21
24,VC,SKD,Vassar Brewers,3pmi,No Dribble Jumper,Avery Lee,PNR,High,Away,Luke Adams,Spot Ups,N/A,Shot,Liberty League,Liberty League,25,4.0,2025-01-21
25,VC,SKD,Skidmore Thoroughbreds,2pMa,To Basket,Charlie Fantom,PNR,High,Off,Joey Skoric,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,26,1.0,2025-01-21
26,VC,SKD,Vassar Brewers,3pMa,No Dribble Jumper,Alex Walters,PNR,Right,Off,Avery Lee,Spot Ups,N/A,Shot,Liberty League,Liberty League,27,4.0,2025-01-21
27,VC,SKD,Skidmore Thoroughbreds,Turnover,N/A,Charlie Fantom,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,28,1.0,2025-01-21
28,VC,SKD,Vassar Brewers,3pmi,No Dribble Jumper,Alex Walters,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,29,4.0,2025-01-21
30,VC,SKD,Vassar Brewers,2pmi,Dribble Jumper,Avery Lee,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,31,3.0,2025-01-21
