index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,RIT,SJC,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,Off Screens,Left,Flare,N/A,N/A,N/A,N/A,Liberty League,Empire 8,1,4.0,2024-11-23
1,RIT,SJC,St. John Fisher Cardinals,3pmi,No Dribble Jumper,Giovanni Schillaci,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Empire 8,2,4.0,2024-11-23
2,RIT,SJC,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Kenny Wilburn,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,3,2.0,2024-11-23
3,RIT,SJC,St. John Fisher Cardinals,Turnover,N/A,Eric Kegler,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Empire 8,4,1.0,2024-11-23
4,RIT,SJC,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,5,4.0,2024-11-23
5,RIT,SJC,St. John Fisher Cardinals,2pmi,To Basket,Connor Williams,Post,Left,Left Shoulder,Eric Kegler,Cuts,N/A,Basket,Liberty League,Empire 8,6,1.0,2024-11-23
6,RIT,SJC,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Matt Caggiano,PNR,High,Off,Nolan Smih,Spot Ups,Right,Drive,Liberty League,Empire 8,7,2.0,2024-11-23
7,RIT,SJC,St. John Fisher Cardinals,Turnover,N/A,josh Lopez,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,8,1.0,2024-11-23
8,RIT,SJC,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,Empire 8,9,1.0,2024-11-23
9,RIT,SJC,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,10,1.0,2024-11-23
10,RIT,SJC,St. John Fisher Cardinals,2pMa,To Basket,Maxwell Schneider,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,11,1.0,2024-11-23
11,RIT,SJC,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Matt Caggiano,Iso,Right,N/A,Kenny Wilburn,Spot Ups,Left,Drive,Liberty League,Empire 8,12,2.0,2024-11-23
12,RIT,SJC,St. John Fisher Cardinals,2pMa,To Basket,Maxwell Schneider,PNR,Left,Off,Maximus Michalski,P&R Roll Man,N/A,Roll,Liberty League,Empire 8,13,1.0,2024-11-23
13,RIT,SJC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,PNR,High,Off,Brock Bowen,Spot Ups,N/A,Shot,Liberty League,Empire 8,14,4.0,2024-11-23
14,RIT,SJC,St. John Fisher Cardinals,2pmi,To Basket,Eric Kegler,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,15,1.0,2024-11-23
15,RIT,SJC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Kenny Wilburn,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Empire 8,16,4.0,2024-11-23
16,RIT,SJC,St. John Fisher Cardinals,2pmi,Dribble Jumper,josh Lopez,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,17,3.0,2024-11-23
17,RIT,SJC,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,18,1.0,2024-11-23
18,RIT,SJC,St. John Fisher Cardinals,2pMa,To Basket,Maximus Michalski,Post,Right,Face Up,josh Lopez,Spot Ups,Right,Drive,Liberty League,Empire 8,19,1.0,2024-11-23
19,RIT,SJC,Rochester Institute of Technology Tigers,Foul,To Basket,Matt Caggiano,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,20,1.0,2024-11-23
23,RIT,SJC,St. John Fisher Cardinals,2pmi,Dribble Jumper,Maxwell Schneider,PNR,High,Off,Giovanni Schillaci,Spot Ups,Right,Drive,Liberty League,Empire 8,24,2.0,2024-11-23
24,RIT,SJC,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,25,1.0,2024-11-23
25,RIT,SJC,St. John Fisher Cardinals,And1,Dribble Jumper,Eric Kegler,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,26,2.0,2024-11-23
