index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,CU,SLS,Clarkson University Golden Knights,2pMa,To Basket,Braeden Burns,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,1.0,2025-01-06
1,CU,SLS,St. Lawrence Saints,2pMa,Hook Shot,Andrew Cowan,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2025-01-06
2,CU,SLS,Clarkson University Golden Knights,2pmi,To Basket,Braeden Burns,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,1.0,2025-01-06
3,CU,SLS,St. Lawrence Saints,Turnover,N/A,Aiden Macaulay,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,1.0,2025-01-06
4,CU,SLS,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Steve DeRegis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,4.0,2025-01-06
5,CU,SLS,St. Lawrence Saints,2pmi,To Basket,Dan Anderson,PNR,Left,Off,Andrew Cowan,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,6,1.0,2025-01-06
6,CU,SLS,Clarkson University Golden Knights,2pMa,No Dribble Jumper,Finn Cork,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,3.0,2025-01-06
7,CU,SLS,St. Lawrence Saints,2pmi,Dribble Jumper,Dan Anderson,PNR,Left,Off,Aiden Macaulay,Spot Ups,Left,Drive,Liberty League,Liberty League,8,2.0,2025-01-06
8,CU,SLS,St. Lawrence Saints,Turnover,N/A,Dan Anderson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,1.0,2025-01-06
9,CU,SLS,Clarkson University Golden Knights,Turnover,N/A,Lorenzo Rappa,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,1.0,2025-01-06
10,CU,SLS,St. Lawrence Saints,2pmi,To Basket,Gavin Macaulay,Transition,N/A,Leak Outs,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,1.0,2025-01-06
11,CU,SLS,Clarkson University Golden Knights,2pmi,To Basket,Braeden Burns,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2025-01-06
12,CU,SLS,St. Lawrence Saints,3pmi,Dribble Jumper,Adam Dudzinski,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,4.0,2025-01-06
13,CU,SLS,Clarkson University Golden Knights,Turnover,N/A,Lorenzo Rappa,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,1.0,2025-01-06
14,CU,SLS,St. Lawrence Saints,And1,To Basket,Dan Anderson,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,1.0,2025-01-06
16,CU,SLS,Clarkson University Golden Knights,2pmi,To Basket,Braeden Burns,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,1.0,2025-01-06
17,CU,SLS,St. Lawrence Saints,2pmi,To Basket,Dan Anderson,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,1.0,2025-01-06
18,CU,SLS,Clarkson University Golden Knights,2pMa,To Basket,Braeden Burns,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,19,1.0,2025-01-06
19,CU,SLS,St. Lawrence Saints,2pMa,No Dribble Jumper,Andrew Cowan,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,3.0,2025-01-06
20,CU,SLS,Clarkson University Golden Knights,And1,To Basket,Braeden Burns,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,21,1.0,2025-01-06
22,CU,SLS,St. Lawrence Saints,2pMa,Dribble Jumper,Aiden Macaulay,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,23,2.0,2025-01-06
23,CU,SLS,Clarkson University Golden Knights,Turnover,To Basket,Finn Cork,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,24,1.0,2025-01-06
24,CU,SLS,St. Lawrence Saints,Turnover,N/A,Trey Syroka,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,25,1.0,2025-01-06
25,CU,SLS,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Matthew Parent,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,26,4.0,2025-01-06
26,CU,SLS,St. Lawrence Saints,3pmi,Dribble Jumper,Aiden Macaulay,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,27,4.0,2025-01-06
28,CU,SLS,St. Lawrence Saints,3pmi,No Dribble Jumper,Gavin Macaulay,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,29,4.0,2025-01-06
29,CU,SLS,Clarkson University Golden Knights,Turnover,To Basket,Matteo Sinon,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,30,1.0,2025-01-06
30,CU,SLS,St. Lawrence Saints,2pMa,To Basket,Adam Dudzinski,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,31,1.0,2025-01-06
31,CU,SLS,Clarkson University Golden Knights,2pMa,To Basket,Braeden Burns,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,32,1.0,2025-01-06
32,CU,SLS,St. Lawrence Saints,2pmi,No Dribble Jumper,Aiden Macaulay,PNR,Left,Off,Chris Downs Jr.,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,33,2.0,2025-01-06
33,CU,SLS,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Matthew Parent,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,34,4.0,2025-01-06
34,CU,SLS,St. Lawrence Saints,3pmi,No Dribble Jumper,Troy McPherson,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,35,4.0,2025-01-06
