index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,SGK,SLS,St. Lawrence Saints,3pmi,No Dribble Jumper,Aiden Macaulay,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,1,4.0,2024-11-23
1,SGK,SLS,St. Lawrence Saints,2pMa,To Basket,Dan Anderson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,2,1.0,2024-11-23
3,SGK,SLS,SUNY Geneseo Knights,Turnover,To Basket,Michael Gentile,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Empire 8,Liberty League,4,1.0,2024-11-23
4,SGK,SLS,St. Lawrence Saints,2pMa,To Basket,Dan Anderson,PNR,Right,Off,Aiden Macaulay,Cuts,N/A,Basket,Empire 8,Liberty League,5,1.0,2024-11-23
5,SGK,SLS,SUNY Geneseo Knights,2pMa,No Dribble Jumper,Drew Morrow,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,6,3.0,2024-11-23
6,SGK,SLS,St. Lawrence Saints,Turnover,N/A,Andrew Cowan,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,7,1.0,2024-11-23
7,SGK,SLS,SUNY Geneseo Knights,3pmi,No Dribble Jumper,Sebastian Pacheco,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,8,4.0,2024-11-23
9,SGK,SLS,SUNY Geneseo Knights,2pmi,To Basket,Sebastian Pacheco,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Empire 8,Liberty League,10,1.0,2024-11-23
10,SGK,SLS,St. Lawrence Saints,3pmi,No Dribble Jumper,Andrew Cowan,Post,Middle,N/A,Dan Anderson,Spot Ups,N/A,Shot,Empire 8,Liberty League,11,4.0,2024-11-23
12,SGK,SLS,SUNY Geneseo Knights,2pmi,Dribble Jumper,Michael Gentile,Off Screens,Left,Flare,N/A,N/A,N/A,N/A,Empire 8,Liberty League,13,2.0,2024-11-23
13,SGK,SLS,St. Lawrence Saints,Turnover,N/A,Andrew Cowan,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Empire 8,Liberty League,14,1.0,2024-11-23
14,SGK,SLS,SUNY Geneseo Knights,2pMa,To Basket,Drew Morrow,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Empire 8,Liberty League,15,1.0,2024-11-23
15,SGK,SLS,St. Lawrence Saints,2pMa,Hook Shot,Adam Dudzinski,Post,Middle,Right Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,16,1.0,2024-11-23
