index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,HOB,UNY,Union (NY) Chargers,Turnover,N/A,Tanner Tedesco,PNR,High,Off,Christian Dufort,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,1,1.0,2024-12-06
1,HOB,UNY,Hobart College Statesmen,3pmi,No Dribble Jumper,Allen Mordi,Off Screens,Left,Flare,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,4.0,2024-12-06
2,HOB,UNY,Union (NY) Chargers,2pmi,N/A,Jack Plesser,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,1.0,2024-12-06
3,HOB,UNY,Hobart College Statesmen,Foul,To Basket,Allen Mordi,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,1.0,2024-12-06
6,HOB,UNY,Union (NY) Chargers,3pMa,No Dribble Jumper,Matthew Garside,PNR,Right,Off,Christian Dufort,Spot Ups,N/A,Shot,Liberty League,Liberty League,7,4.0,2024-12-06
7,HOB,UNY,Hobart College Statesmen,2pmi,Dribble Jumper,Carter Meshanic,Post,Left,Left Shoulder,Alex Moesch,Spot Ups,Left,Drive,Liberty League,Liberty League,8,3.0,2024-12-06
8,HOB,UNY,Union (NY) Chargers,Foul,To Basket,Matthew Garside,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,1.0,2024-12-06
11,HOB,UNY,Hobart College Statesmen,2pmi,Dribble Jumper,Alex Moesch,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,3.0,2024-12-06
12,HOB,UNY,Union (NY) Chargers,3pmi,Dribble Jumper,Tanner Tedesco,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,4.0,2024-12-06
13,HOB,UNY,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,1.0,2024-12-06
14,HOB,UNY,Union (NY) Chargers,Turnover,To Basket,Jack Plesser,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,1.0,2024-12-06
15,HOB,UNY,Hobart College Statesmen,3pMa,No Dribble Jumper,Aidan Rodgers,PNR,High,Off,Hunter Meshanic,Spot Ups,N/A,Shot,Liberty League,Liberty League,16,4.0,2024-12-06
17,HOB,UNY,Union (NY) Chargers,2pMa,To Basket,Tanner Tedesco,PNR,Right,Off,Jack Plesser,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,18,1.0,2024-12-06
18,HOB,UNY,Hobart College Statesmen,2pmi,Dribble Jumper,Aidan Rodgers,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,19,2.0,2024-12-06
19,HOB,UNY,Union (NY) Chargers,3pmi,Dribble Jumper,Tanner Tedesco,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,4.0,2024-12-06
20,HOB,UNY,Hobart College Statesmen,3pmi,No Dribble Jumper,Allen Mordi,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,21,4.0,2024-12-06
21,HOB,UNY,Union (NY) Chargers,3pmi,No Dribble Jumper,Christian Dufort,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,22,4.0,2024-12-06
