index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,IC,VC,Vassar Brewers,Turnover,To Basket,Kreekor Karageuzian,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,1.0,2024-12-06
1,IC,VC,Ithaca College,3pmi,No Dribble Jumper,Logan Wendell,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,4.0,2024-12-06
2,IC,VC,Vassar Brewers,3pmi,No Dribble Jumper,Shea Fitzgerald,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,4.0,2024-12-06
3,IC,VC,Ithaca College,2pmi,To Basket,Aidan Holmes,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,1.0,2024-12-06
4,IC,VC,Vassar Brewers,Foul,To Basket,Sebastian Medina,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,1.0,2024-12-06
7,IC,VC,Ithaca College,3pmi,No Dribble Jumper,Aidan Holmes,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,4.0,2024-12-06
8,IC,VC,Ithaca College,2pMa,To Basket,Chris Leysath,Post,Middle,Dribble,Jaylon O'Neal,Spot Ups,Left,Drive,Liberty League,Liberty League,9,1.0,2024-12-06
9,IC,VC,Vassar Brewers,Turnover,N/A,Kreekor Karageuzian,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,1.0,2024-12-06
10,IC,VC,Ithaca College,Turnover,N/A,Evan Cabral,PNR,Left,Off,Aidan Holmes,P&R Roll Man,N/A,Slips,Liberty League,Liberty League,11,1.0,2024-12-06
12,IC,VC,Vassar Brewers,3pmi,No Dribble Jumper,Shea Fitzgerald,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,4.0,2024-12-06
14,IC,VC,Vassar Brewers,2pmi,To Basket,Kreekor Karageuzian,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,1.0,2024-12-06
15,IC,VC,Vassar Brewers,2pmi,To Basket,Nathan Denham,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,2.0,2024-12-06
16,IC,VC,Ithaca College,2pmi,To Basket,Logan Wendell,PNR,Left,Off,Chris Leysath,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,17,1.0,2024-12-06
