index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,MID,VC,Middlebury College,Foul,Drop Step,Sam Stevens,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,1,1.0,2025-01-03
3,MID,VC,Vassar Brewers,2pMa,Dribble Jumper,Shea Fitzgerald,PNR,Right,Away,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,4,2.0,2025-01-03
4,MID,VC,Middlebury College,2pmi,Dribble Jumper,Edward Witherington,Post,Right,N/A,Tristan Joseph,Spot Ups,Right,Drive,UNKNOWN,Liberty League,5,2.0,2025-01-03
6,MID,VC,Middlebury College,3pMa,Dribble Jumper,Sam Stevens,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,7,4.0,2025-01-03
7,MID,VC,Vassar Brewers,2pmi,Dribble Jumper,Kreekor Karageuzian,Misc,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,8,2.0,2025-01-03
8,MID,VC,Middlebury College,2pmi,Dribble Jumper,Evan Flaks,Iso,Right,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,9,2.0,2025-01-03
10,MID,VC,Middlebury College,2pmi,To Basket,Sam Stevens,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,11,1.0,2025-01-03
11,MID,VC,Middlebury College,2pMa,To Basket,Edward Witherington,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,12,1.0,2025-01-03
12,MID,VC,Vassar Brewers,3pMa,No Dribble Jumper,Shea Fitzgerald,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,13,4.0,2025-01-03
13,MID,VC,Middlebury College,3pMa,No Dribble Jumper,David Brennan,Post,Left,N/A,Edward Witherington,Spot Ups,N/A,Shot,UNKNOWN,Liberty League,14,4.0,2025-01-03
14,MID,VC,Vassar Brewers,Turnover,N/A,Avery Lee,Misc,N/A,N/A,N/A,N/A,N/A,N/A,UNKNOWN,Liberty League,15,1.0,2025-01-03
