index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,SLS,VC,Vassar Brewers,2pmi,To Basket,Nathan Denham,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,1.0,2025-01-10
1,SLS,VC,St. Lawrence Saints,2pmi,Drop Step,Adam Dudzinski,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2025-01-10
2,SLS,VC,Vassar Brewers,2pMa,To Basket,Avery Lee,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,1.0,2025-01-10
3,SLS,VC,St. Lawrence Saints,2pmi,To Basket,Andrew Cowan,Post,Left,N/A,Trey Syroka,Cuts,N/A,Basket,Liberty League,Liberty League,4,1.0,2025-01-10
7,SLS,VC,Vassar Brewers,2pmi,Dribble Jumper,Shea Fitzgerald,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,3.0,2025-01-10
9,SLS,VC,Vassar Brewers,2pMa,To Basket,Nathan Denham,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,1.0,2025-01-10
10,SLS,VC,St. Lawrence Saints,2pMa,To Basket,Andrew Cowan,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,11,1.0,2025-01-10
12,SLS,VC,Vassar Brewers,2pMa,To Basket,Nathan Denham,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,1.0,2025-01-10
13,SLS,VC,St. Lawrence Saints,Turnover,N/A,Aiden Macaulay,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,14,1.0,2025-01-10
14,SLS,VC,Vassar Brewers,Turnover,N/A,Sebastian Medina,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,15,1.0,2025-01-10
15,SLS,VC,St. Lawrence Saints,3pMa,No Dribble Jumper,Aiden Macaulay,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,4.0,2025-01-10
16,SLS,VC,Vassar Brewers,2pmi,To Basket,Kreekor Karageuzian,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,1.0,2025-01-10
17,SLS,VC,Vassar Brewers,2pmi,To Basket,Nathan Denham,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,1.0,2025-01-10
