Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
UNY,VSUL,Union (NY) Chargers,2pmi,To Basket,Matthew Garside,PNR,Right,Off,Christian Dufort,P&R Roll Man,N/A,Roll,Liberty League,UNKNOWN,1,1.0,2025
UNY,VSUL,Union (NY) Chargers,2pMa,To Basket,Tanner Tedesco,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,3,1.0,2025
UNY,VSUL,Vermont State University Lyndon,3pmi,No Dribble Jumper,Gregory Gonyea Jr,PNR,Right,Off,Chad Martin,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,4,4.0,2025
UNY,VSUL,Union (NY) Chargers,2pMa,To Basket,Matthew Garside,PNR,Left,Off,Jack Plesser,P&R Roll Man,N/A,Roll,Liberty League,UNKNOWN,5,1.0,2025
UNY,VSUL,Vermont State University Lyndon,Turnover,N/A,Gregory Gonyea Jr,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,6,1.0,2025
UNY,VSUL,Union (NY) Chargers,2pMa,To Basket,Christian Dufort,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,7,1.0,2025
UNY,VSUL,Vermont State University Lyndon,2pmi,To Basket,Gregory Gonyea Jr,PNR,Right,Off,Matt Doyle,P&R Roll Man,N/A,Roll,Liberty League,UNKNOWN,8,1.0,2025
UNY,VSUL,Union (NY) Chargers,Foul,Dribble Jumper,Jack Plesser,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,9,2.0,2025
UNY,VSUL,Vermont State University Lyndon,2pmi,Dribble Jumper,Gregory Gonyea Jr,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,12,2.0,2025
UNY,VSUL,Union (NY) Chargers,3pMa,No Dribble Jumper,Tanner Tedesco,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,13,4.0,2025
UNY,VSUL,Vermont State University Lyndon,Turnover,N/A,Chad Martin,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,14,1.0,2025
UNY,VSUL,Union (NY) Chargers,3pmi,No Dribble Jumper,Matthew Garside,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,15,4.0,2025
UNY,VSUL,Vermont State University Lyndon,3pmi,No Dribble Jumper,Victor Kukta Reyes,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,16,4.0,2025
UNY,VSUL,Union (NY) Chargers,3pmi,No Dribble Jumper,Tanner Tedesco,PNR,Left,Off,Matthew Garside,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,17,4.0,2025
UNY,VSUL,Vermont State University Lyndon,3pmi,No Dribble Jumper,Wesley McIntyre,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,18,4.0,2025
UNY,VSUL,Union (NY) Chargers,2pmi,To Basket,Jack Plesser,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,19,1.0,2025
UNY,VSUL,Union (NY) Chargers,2pmi,To Basket,Jack Plesser,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,20,1.0,2025
UNY,VSUL,Union (NY) Chargers,3pMa,Dribble Jumper,Tanner Tedesco,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,21,4.0,2025
UNY,VSUL,Vermont State University Lyndon,2pmi,Dribble Jumper,Gregory Gonyea Jr,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,22,2.0,2025
UNY,VSUL,Vermont State University Lyndon,Turnover,N/A,Tyler Cooper,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,25,1.0,2025
UNY,VSUL,Union (NY) Chargers,3pmi,No Dribble Jumper,Tanner Tedesco,PNR,High,Off,Christian Dufort,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,26,4.0,2025
UNY,VSUL,Union (NY) Chargers,2pMa,To Basket,Jaden Jauregui,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,27,1.0,2025
UNY,VSUL,Vermont State University Lyndon,3pmi,No Dribble Jumper,Tyler Cooper,PNR,Left,Off,Gregory Gonyea Jr,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,28,4.0,2025
UNY,VSUL,Union (NY) Chargers,Turnover,N/A,Jack Plesser,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,29,1.0,2025
UNY,VSUL,Vermont State University Lyndon,3pmi,No Dribble Jumper,Gregory Gonyea Jr,PNR,Right,Off,Tyler Cooper,Spot Ups,N/A,Shot,Liberty League,UNKNOWN,30,4.0,2025
UNY,VSUL,Union (NY) Chargers,3pMa,No Dribble Jumper,Neil Daterao,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,31,4.0,2025
UNY,VSUL,Vermont State University Lyndon,2pMa,To Basket,Matt Doyle,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,32,1.0,2025
UNY,VSUL,Union (NY) Chargers,2pmi,To Basket,Christian Dufort,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,33,1.0,2025
UNY,VSUL,Vermont State University Lyndon,2pMa,To Basket,Lincoln Kersey,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,35,1.0,2025
