#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Nate Amado,,,,Turnover,Turnover,00:00:24.5,,,Babson Beavers,BAB@IC,11/10/2024,1,19:41,Nate Amado,Iso,42 Nate Amado > ISO > Top > Drives Left > Turnover
2,Jaylon O'Neal,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:23.5,,,Ithaca College,BAB@IC,11/10/2024,1,19:15,"Jaylon O'Neal, Timmy Mulvey, Timmy O'Toole",Spot Up,2 Jaylon O'Neal > Spot-Up > Drives Left > To Basket > Miss 2 Pts
3,Felix Kloman,,,,2FGm,Miss 2 Pts,00:00:25.9,,,Babson Beavers,BAB@IC,11/10/2024,1,18:55,Felix Kloman,Spot Up,0 Felix Kloman > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
4,Timmy O'Toole,,,,Off Reb,Run Offense,00:00:06.3,,,Babson Beavers,BAB@IC,11/10/2024,1,,Timmy O'Toole,Off Reb,34 Timmy O'Toole > Offensive Rebound > Short > Run Offense
5,Tyler Lauder,,,,"2FGM, Assist",Make 2 Pts,00:00:10.8,,,Babson Beavers,BAB@IC,11/10/2024,1,18:49,"Nate Amado, Tyler Lauder",Cut,10 Tyler Lauder > Cut > Basket > Make 2 Pts
6,Logan Wendell,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:12.9,,,Ithaca College,BAB@IC,11/10/2024,1,18:41,"Timmy Mulvey, Logan Wendell",Transition,1 Logan Wendell > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
7,Felix Kloman,,,,Foul,Foul,00:00:12.3,,,Babson Beavers,BAB@IC,11/10/2024,1,18:34,"Jaylon O'Neal, Felix Kloman",Transition,0 Felix Kloman > Transition > Leak Outs > To Basket > Foul
8,Felix Kloman,,,,FTM,Free Throw,00:00:06.1,,,Babson Beavers,BAB@IC,11/10/2024,1,,Felix Kloman,,0 Felix Kloman > Non Possession > Free Throw
9,Felix Kloman,,,,FTM,Free Throw,00:00:05.7,,,Babson Beavers,BAB@IC,11/10/2024,1,,Felix Kloman,,0 Felix Kloman > Non Possession > Free Throw
10,Logan Wendell,,,,3FGm,Miss 3 Pts,00:00:15.1,,,Ithaca College,BAB@IC,11/10/2024,1,18:24,Logan Wendell,Handoff,1 Logan Wendell > Hand Off > From Stationary > Right > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
11,Chris Leysath,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:11.3,,,Ithaca College,BAB@IC,11/10/2024,1,18:09,"Nate Amado, Chris Leysath","P&R BH, P&R Roll Man",2 Jaylon O'Neal > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 30 Chris Leysath > P&R Roll Man > Rolls to Basket > Miss 2 Pts
