#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Braeden Burns,,,,Turnover,Turnover,00:00:16.8,,,Clarkson University Golden Knights,Bar@CU,01/10/2025,1,19:50,Braeden Burns,Spot Up,,24 Braeden Burns > Spot-Up > Drives Left > Turnover
2,Sean Wilcox,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:15.4,,,Bard College,Bar@CU,01/10/2025,1,19:34,"Sean Wilcox, Finn Cork",Post Up,,31 Sean Wilcox > Post-Up > Right Block > Right Shoulder > Dribble Move > To Hook > Miss 2 Pts
3,Finn Cork,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:10.9,,,Clarkson University Golden Knights,Bar@CU,01/10/2025,1,19:22,"Finn Cork, Sean Wilcox",Post Up,,40 Finn Cork > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Miss 2 Pts
4,Laz Panagiotounis,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:15.0,,,Bard College,Bar@CU,01/10/2025,1,19:15,"Laz Panagiotounis, Steve DeRegis",Handoff,,15 Laz Panagiotounis > Hand Off > From Dribble > Right > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
5,Steve DeRegis,,,,,No Violation,00:00:12.7,,,Clarkson University Golden Knights,Bar@CU,01/10/2025,1,,Steve DeRegis,,,5 Steve DeRegis > Non Possession > No Violation
6,Jack Dalgety,,,,2FGM,Make 2 Pts,00:00:28.0,,,Clarkson University Golden Knights,Bar@CU,01/10/2025,1,18:45,Jack Dalgety,Spot Up,,21 Jack Dalgety > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
7,Azriel Almodovar,,,,2FGM,Make 2 Pts,00:00:11.2,,,Bard College,Bar@CU,01/10/2025,1,18:34,Azriel Almodovar,Transition,,4 Azriel Almodovar > Transition > Ballhandler > To Basket > Make 2 Pts
8,Braeden Burns,,,,"3FGM, Assist",Make 3 Pts,00:00:23.9,,,Clarkson University Golden Knights,Bar@CU,01/10/2025,1,18:07,"Braeden Burns, Finn Cork","Post Up, Spot Up",,40 Finn Cork > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 24 Braeden Burns > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
9,Rowan Heinze,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:14.6,,,Bard College,Bar@CU,01/10/2025,1,17:48,"Rowan Heinze, Matteo Sinon",Iso,,21 Rowan Heinze > ISO > Top > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
10,Braeden Burns,,,,3FGm,Miss 3 Pts,00:00:23.7,,,Clarkson University Golden Knights,Bar@CU,01/10/2025,1,17:32,Braeden Burns,Spot Up,,24 Braeden Burns > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
11,Jack Dalgety,,,,Off Reb,Run Offense,00:00:08.4,,,Clarkson University Golden Knights,Bar@CU,01/10/2025,1,,Jack Dalgety,Off Reb,,21 Jack Dalgety > Offensive Rebound > Long > Run Offense
12,Steve DeRegis,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:12.6,,,Clarkson University Golden Knights,Bar@CU,01/10/2025,1,17:25,"Steve DeRegis, Laz Panagiotounis",Spot Up,,5 Steve DeRegis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
