#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Azriel Almodovar,,,,Turnover,Turnover,00:00:09.0,,,Bard College,Bar@IC,12/07/2024,1,19:54,Azriel Almodovar,,,4 Azriel Almodovar > No Play Type > Turnover
2,Aidan Holmes,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:14.1,,,Ithaca College,Bar@IC,12/07/2024,1,19:38,"Aidan Holmes, Sean Wilcox",Cut,,3 Aidan Holmes > Cut > Basket > Miss 2 Pts
3,Jaylon O'Neal,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.9,,,Ithaca College,Bar@IC,12/07/2024,1,19:28,"Jaylon O'Neal, Ahmad Rauf",Spot Up,,2 Jaylon O'Neal > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
4,Rowan Heinze,,,,"3FGM, Assist",Make 3 Pts,00:00:24.4,,,Bard College,Bar@IC,12/07/2024,1,19:10,"Rowan Heinze, Sean Wilcox",Spot Up,,21 Rowan Heinze > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
5,Jaylon O'Neal,,,,"Turnover, Steal",Turnover,00:00:24.5,,,Ithaca College,Bar@IC,12/07/2024,1,18:41,"Jaylon O'Neal, Rowan Heinze",Spot Up,,2 Jaylon O'Neal > Spot-Up > Drives Right > Turnover
6,Laz Panagiotounis,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:26.2,,,Bard College,Bar@IC,12/07/2024,1,18:24,"Laz Panagiotounis, Evan Cabral",Off Screen,,15 Laz Panagiotounis > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
7,Logan Wendell,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:17.3,,,Ithaca College,Bar@IC,12/07/2024,1,18:15,"Logan Wendell, Azriel Almodovar",Handoff,,1 Logan Wendell > Hand Off > From Dribble > Left > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
8,Ahmad Rauf,,,,"3FGM, Assist",Make 3 Pts,00:00:18.0,,,Bard College,Bar@IC,12/07/2024,1,18:03,"Ahmad Rauf, Laz Panagiotounis",Transition,,1 Ahmad Rauf > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
9,Jaylon O'Neal,,,,Foul,Foul,00:00:14.2,,,Ithaca College,Bar@IC,12/07/2024,1,17:44,"Laz Panagiotounis, Jaylon O'Neal",Cut,,2 Jaylon O'Neal > Cut > Basket > Foul
10,Jaylon O'Neal,,,,FTM,Free Throw,00:00:10.4,,,Ithaca College,Bar@IC,12/07/2024,1,,Jaylon O'Neal,,,2 Jaylon O'Neal > Non Possession > Free Throw
11,Jaylon O'Neal,,,,FTM,Free Throw,00:00:06.4,,,Ithaca College,Bar@IC,12/07/2024,1,,Jaylon O'Neal,,,2 Jaylon O'Neal > Non Possession > Free Throw
12,Ahmad Rauf,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:25.0,,,Bard College,Bar@IC,12/07/2024,1,17:26,"Ahmad Rauf, Evan Cabral",Spot Up,,1 Ahmad Rauf > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
