#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Sean Wilcox,,,,3FGm,Miss 3 Pts,00:00:33.1,,,Bard College,Bar@VC,01/25/2025,1,19:33,Sean Wilcox,Spot Up,,31 Sean Wilcox > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
2,Kreekor Karageuzian,,,,"2FGm, Def Reb",No Violation,00:00:07.9,,,Vassar Brewers,Bar@VC,01/25/2025,1,,"Avery Lee, Sean Wilcox",,,4 Kreekor Karageuzian > Non Possession > No Violation
3,Avery Lee,,,,,Miss 2 Pts,00:00:14.5,,,Vassar Brewers,Bar@VC,01/25/2025,1,,Avery Lee,,,2 Avery Lee > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
4,Laz Panagiotounis,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.3,,,Bard College,Bar@VC,01/25/2025,1,18:53,"Laz Panagiotounis, Kreekor Karageuzian",Handoff,,15 Laz Panagiotounis > Hand Off > From Dribble > Top > Dribble Jumper > Long/3pt > Miss 3 Pts
5,Avery Lee,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.7,,,Vassar Brewers,Bar@VC,01/25/2025,1,18:44,"Avery Lee, Sean Wilcox",Spot Up,,2 Avery Lee > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
6,Sean Wilcox,,,,2FGm,Miss 2 Pts,00:00:29.5,,,Bard College,Bar@VC,01/25/2025,1,18:19,Sean Wilcox,Post Up,,31 Sean Wilcox > Post-Up > Right Block > Right Shoulder > No Dribble Move > To Hook > Miss 2 Pts
7,Sean Wilcox,,,,"2FGM, Off Reb",Make 2 Pts,00:00:05.9,,,Bard College,Bar@VC,01/25/2025,1,18:19,Sean Wilcox,Off Reb,,31 Sean Wilcox > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
8,Shea Fitzgerald,,,,"3FGM, Assist",Make 3 Pts,00:00:21.1,,,Vassar Brewers,Bar@VC,01/25/2025,1,18:00,"Shea Fitzgerald, Nathan Denham",Spot Up,,3 Shea Fitzgerald > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
9,Laz Panagiotounis,,,,"Turnover, Steal",Turnover,00:00:16.5,,,Bard College,Bar@VC,01/25/2025,1,17:37,"Laz Panagiotounis, Shea Fitzgerald",P&R BH,,15 Laz Panagiotounis > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Turnover
10,Kreekor Karageuzian,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:11.2,,,Vassar Brewers,Bar@VC,01/25/2025,1,17:32,"Kreekor Karageuzian, Azriel Almodovar, Sean Wilcox",Transition,,4 Kreekor Karageuzian > Transition > Left Wing > To Basket > Miss 2 Pts
11,Ahmad Rauf,,,,3FGm,Miss 3 Pts,00:00:18.9,,,Bard College,Bar@VC,01/25/2025,1,17:23,Ahmad Rauf,Transition,,1 Ahmad Rauf > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
12,Azriel Almodovar,,,,Off Reb,Run Offense,00:00:09.1,,,Bard College,Bar@VC,01/25/2025,1,,Azriel Almodovar,Off Reb,,4 Azriel Almodovar > Offensive Rebound > Long > Run Offense
13,Sean Wilcox,,,,"3FGM, Assist",Make 3 Pts,00:00:11.8,,,Bard College,Bar@VC,01/25/2025,1,17:15,"Sean Wilcox, Azriel Almodovar",Spot Up,,31 Sean Wilcox > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
14,Nathan Denham,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:17.9,,,Vassar Brewers,Bar@VC,01/25/2025,1,16:54,"Nathan Denham, Sean Wilcox","P&R BH, Spot Up",,3 Shea Fitzgerald > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 22 Nathan Denham > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
15,Laz Panagiotounis,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.8,,,Bard College,Bar@VC,01/25/2025,1,16:44,"Laz Panagiotounis, Shea Fitzgerald",Transition,,15 Laz Panagiotounis > Transition > Right Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
16,Sebastian Medina,,,,3FGm,Miss 3 Pts,00:00:22.7,,,Vassar Brewers,Bar@VC,01/25/2025,1,16:24,Sebastian Medina,"P&R BH, Spot Up",,2 Avery Lee > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Sebastian Medina > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
17,Kreekor Karageuzian,,,,Off Reb,Run Offense,00:00:08.4,,,Vassar Brewers,Bar@VC,01/25/2025,1,,Kreekor Karageuzian,Off Reb,,4 Kreekor Karageuzian > Offensive Rebound > Short > Run Offense
18,Kreekor Karageuzian,,,,Turnover,Turnover,00:00:18.8,,,Vassar Brewers,Bar@VC,01/25/2025,1,16:12,Kreekor Karageuzian,Spot Up,,4 Kreekor Karageuzian > Spot-Up > Drives Right > Turnover
19,Azriel Almodovar,,,,"2FGM, Assist",Make 2 Pts,00:00:19.7,,,Bard College,Bar@VC,01/25/2025,1,15:53,"Ahmad Rauf, Azriel Almodovar",Cut,,4 Azriel Almodovar > Cut > Basket > Make 2 Pts
20,Alex Walters,,,,"3FGM, Assist",Make 3 Pts,00:00:14.3,,,Vassar Brewers,Bar@VC,01/25/2025,1,15:41,"Alex Walters, Nathan Denham",Off Screen,,33 Alex Walters > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
21,Rowan Heinze,,,,"2FGM, Assist",Make 2 Pts,00:00:11.7,,,Bard College,Bar@VC,01/25/2025,1,15:30,"Rowan Heinze, Azriel Almodovar",Cut,,21 Rowan Heinze > Cut > Flash > Make 2 Pts
22,Luke Adams,,,,"Turnover, Steal",Turnover,00:00:17.6,,,Vassar Brewers,Bar@VC,01/25/2025,1,15:13,"Luke Adams, Rowan Heinze",Spot Up,,23 Luke Adams > Spot-Up > Drives Right > Turnover
23,Laz Panagiotounis,,,,"Foul, Turnover, Steal",Turnover,00:00:15.9,,,Bard College,Bar@VC,01/25/2025,1,14:58,"Laz Panagiotounis, Alex Walters, Rowan Heinze",Handoff,,15 Laz Panagiotounis > Hand Off > From Dribble > Right > Turnover
