#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Chris Leysath,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:22.0,,,Ithaca College,CMT@IC,01/04/2025,1,19:45,"Chris Leysath, RJ Holmes",Iso,,30 Chris Leysath > ISO > Right > Drives Left > To Basket > Miss 2 Pts
2,Buckley DeJardin,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.3,,,Carnegie Mellon Tartans,CMT@IC,01/04/2025,1,19:32,"Buckley DeJardin, Evan Cabral",Spot Up,,5 Buckley DeJardin > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
3,Evan Cabral,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:24.5,,,Ithaca College,CMT@IC,01/04/2025,1,19:12,"Evan Cabral, RJ Holmes",Iso,,15 Evan Cabral > ISO > Top > Drives Left > To Basket > Miss 2 Pts
4,Buckley DeJardin,,,,"3FGM, Assist",Make 3 Pts,00:00:26.5,,,Carnegie Mellon Tartans,CMT@IC,01/04/2025,1,18:53,"Buckley DeJardin, Nolan Casey","Post Up, Spot Up",,10 Isaac Higgs > Post-Up > Right Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 5 Buckley DeJardin > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
5,Aidan Holmes,,,,"3FGM, Assist",Make 3 Pts,00:00:18.1,,,Ithaca College,CMT@IC,01/04/2025,1,18:34,"Aidan Holmes, Logan Wendell",Spot Up,,3 Aidan Holmes > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
6,RJ Holmes,,,,3FGm,Miss 3 Pts,00:00:26.4,,,Carnegie Mellon Tartans,CMT@IC,01/04/2025,1,18:14,RJ Holmes,"P&R BH, Spot Up",,4 Justin Allen > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 11 RJ Holmes > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
7,Buckley DeJardin,,,,Off Reb,Run Offense,00:00:09.6,,,Carnegie Mellon Tartans,CMT@IC,01/04/2025,1,,Buckley DeJardin,Off Reb,,5 Buckley DeJardin > Offensive Rebound > Short > Run Offense
8,Justin Allen,,,,2FGM,Make 2 Pts,00:00:13.3,,,Carnegie Mellon Tartans,CMT@IC,01/04/2025,1,18:06,Justin Allen,Cut,,4 Justin Allen > Cut > Flash > Make 2 Pts
9,Jaylon O'Neal,,,,,No Violation,00:00:14.3,,,Ithaca College,CMT@IC,01/04/2025,1,,Jaylon O'Neal,,,2 Jaylon O'Neal > Non Possession > No Violation
10,Logan Wendell,,,,"Turnover, Steal",Turnover,00:00:07.7,,,Ithaca College,CMT@IC,01/04/2025,1,17:53,"Logan Wendell, Isaac Higgs",,,1 Logan Wendell > No Play Type > Turnover
11,Isaac Higgs,,,,2FGM,Make 2 Pts,00:00:08.9,,,Carnegie Mellon Tartans,CMT@IC,01/04/2025,1,17:45,Isaac Higgs,Transition,,10 Isaac Higgs > Transition > Ballhandler > To Basket > Make 2 Pts
12,Jaylon O'Neal,,,,,Turnover,00:00:05.2,,,Ithaca College,CMT@IC,01/04/2025,1,,Jaylon O'Neal,,,2 Jaylon O'Neal > No Play Type > Turnover
13,Buckley DeJardin,,,,,Turnover,00:00:08.3,,,Carnegie Mellon Tartans,CMT@IC,01/04/2025,1,,Buckley DeJardin,,,5 Buckley DeJardin > No Play Type > Turnover
14,Logan Wendell,,,,,Miss 3 Pts,00:00:17.6,,,Ithaca College,CMT@IC,01/04/2025,1,,Logan Wendell,,,1 Logan Wendell > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
15,Chris Leysath,,,,"Off Reb, Turnover, Steal",Turnover,00:00:10.6,,,Ithaca College,CMT@IC,01/04/2025,1,17:30,"Chris Leysath, Justin Allen",Off Reb,,30 Chris Leysath > Offensive Rebound > Short > Turnover
16,Buckley DeJardin,,,,"3FGM, Assist",Make 3 Pts,00:00:26.8,,,Carnegie Mellon Tartans,CMT@IC,01/04/2025,1,17:09,"Buckley DeJardin, RJ Holmes","Post Up, Spot Up",,11 RJ Holmes > Post-Up > Right Block > Post Pin > Dribble Move > Defense Commits > Ball Delivered > 5 Buckley DeJardin > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
