#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Braeden Burns,,,,"3FGM, Assist",Make 3 Pts,00:00:18.2,,,Clarkson University Golden Knights,CU@IC,01/17/2025,1,19:49,"Jack Dalgety, Braeden Burns","P&R BH, Spot Up",,0 Lorenzo Rappa > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Braeden Burns > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
2,Aidan Holmes,,,,Turnover,Turnover,00:00:16.3,,,Ithaca College,CU@IC,01/17/2025,1,19:29,Aidan Holmes,P&R BH,,3 Aidan Holmes > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Turnover
3,Steve DeRegis,,,,"3FGm, Foul",Miss 3 Pts,00:00:11.1,,,Clarkson University Golden Knights,CU@IC,01/17/2025,1,19:25,"Steve DeRegis, Chris Leysath",Transition,,5 Steve DeRegis > Transition > Right Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
4,Braeden Burns,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:17.7,,,Clarkson University Golden Knights,CU@IC,01/17/2025,1,19:22,"Braeden Burns, Chris Leysath, Aidan Holmes",Cut,,24 Braeden Burns > Cut > Basket > Miss 2 Pts
5,Jaylon O'Neal,,,,2FGM,Make 2 Pts,00:00:10.6,,,Ithaca College,CU@IC,01/17/2025,1,19:09,Jaylon O'Neal,Transition,,2 Jaylon O'Neal > Transition > Ballhandler > To Basket > Make 2 Pts
6,Braeden Burns,,,,"3FGM, Assist",Make 3 Pts,00:00:14.9,,,Clarkson University Golden Knights,CU@IC,01/17/2025,1,19:00,"Jack Dalgety, Braeden Burns",Transition,,24 Braeden Burns > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
7,Jaylon O'Neal,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:13.3,,,Ithaca College,CU@IC,01/17/2025,1,18:49,"Jaylon O'Neal, Jack Dalgety",Transition,,2 Jaylon O'Neal > Transition > Trailer > To Basket > Miss 2 Pts
8,Braeden Burns,,,,"Turnover, Steal",Turnover,00:00:12.9,,,Clarkson University Golden Knights,CU@IC,01/17/2025,1,18:41,"Evan Cabral, Braeden Burns",Transition,,24 Braeden Burns > Transition > Right Wing > Turnover
9,Logan Wendell,,,,Turnover,Turnover,00:00:26.4,,,Ithaca College,CU@IC,01/17/2025,1,18:19,Logan Wendell,P&R BH,,1 Logan Wendell > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Turnover
10,Jack Dalgety,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.3,,,Clarkson University Golden Knights,CU@IC,01/17/2025,1,18:09,"Jack Dalgety, Chris Leysath",Spot Up,,21 Jack Dalgety > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
11,Chris Leysath,,,,"2FGM, Assist",Make 2 Pts,00:00:18.5,,,Ithaca College,CU@IC,01/17/2025,1,17:55,"Chris Leysath, Aidan Holmes",Cut,,30 Chris Leysath > Cut > Basket > Make 2 Pts
12,Steve DeRegis,,,,2FGm,Miss 2 Pts,00:00:18.6,,,Clarkson University Golden Knights,CU@IC,01/17/2025,1,17:40,Steve DeRegis,Handoff,,5 Steve DeRegis > Hand Off > From Stationary > Top > To Basket > Miss 2 Pts
13,Steve DeRegis,,,,"2FGM, Off Reb",Make 2 Pts,00:00:07.9,,,Clarkson University Golden Knights,CU@IC,01/17/2025,1,17:35,Steve DeRegis,Off Reb,,5 Steve DeRegis > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
14,Evan Cabral,,,,Foul,Non Shooting Foul,00:00:13.0,,,,CU@IC,01/17/2025,1,,Braeden Burns,,,15 Evan Cabral > Non Possession > Non Shooting Foul
15,Evan Cabral,,,,"2FGM, Assist",Make 2 Pts,00:00:08.6,,,Ithaca College,CU@IC,01/17/2025,1,17:25,"Evan Cabral, Logan Wendell",Cut,,15 Evan Cabral > Cut > Screen > Make 2 Pts
16,Braeden Burns,,,,"3FGM, Assist",Make 3 Pts,00:00:16.2,,,Clarkson University Golden Knights,CU@IC,01/17/2025,1,17:11,"Steve DeRegis, Braeden Burns",Transition,,24 Braeden Burns > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
17,Jaylon O'Neal,,,,"3FGM, Assist",Make 3 Pts,00:00:18.1,,,Ithaca College,CU@IC,01/17/2025,1,16:53,"Aidan Holmes, Jaylon O'Neal",Handoff,,2 Jaylon O'Neal > Hand Off > From Dribble > Left > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
18,Braeden Burns,,,,3FGm,Miss 3 Pts,00:00:22.6,,,Clarkson University Golden Knights,CU@IC,01/17/2025,1,16:38,Braeden Burns,Off Screen,,24 Braeden Burns > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
