#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Braeden Burns,,,,"Foul, Turnover",Turnover,00:00:17.1,,,Clarkson University Golden Knights,CU@SCK,11/12/2024,1,19:48,Braeden Burns,Spot Up,24 Braeden Burns > Spot-Up > Drives Left > Turnover
2,Jevonte Williams,,,,2FGm,Miss 2 Pts,00:00:14.3,,,SUNY Canton Kangaroos,CU@SCK,11/12/2024,1,19:35,Jevonte Williams,"P&R BH, Spot Up",2 Kevin Goode Jr > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 1 Jevonte Williams > Spot-Up > Drives Left > To Basket > Miss 2 Pts
3,Braeden Burns,,,,"3FGM, Assist",Make 3 Pts,00:00:18.9,,,Clarkson University Golden Knights,CU@SCK,11/12/2024,1,19:15,"Braeden Burns, Lorenzo Rappa",Spot Up,24 Braeden Burns > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
4,Bryon Streb,,,,2FGM,Make 2 Pts,00:00:21.8,,,SUNY Canton Kangaroos,CU@SCK,11/12/2024,1,18:50,Bryon Streb,Iso,23 Bryon Streb > ISO > Left > Drives Right > To Basket > Make 2 Pts
5,Steve DeRegis,,,,"3FGM, Assist",Make 3 Pts,00:00:17.0,,,Clarkson University Golden Knights,CU@SCK,11/12/2024,1,18:25,"Braeden Burns, Steve DeRegis",Off Screen,5 Steve DeRegis > Off Screen > To Shooter's Right > Flare > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
6,Eli Larson,,,,Foul,Non Shooting Foul,00:00:10.4,,,,CU@SCK,11/12/2024,1,,Finn Cork,,20 Eli Larson > Non Possession > Non Shooting Foul
7,Kevin Goode Jr,,,,Turnover,Turnover,00:00:28.1,,,SUNY Canton Kangaroos,CU@SCK,11/12/2024,1,18:02,Kevin Goode Jr,,2 Kevin Goode Jr > No Play Type > Turnover
8,Braeden Burns,,,,2FGm,Miss 2 Pts,00:00:15.9,,,Clarkson University Golden Knights,CU@SCK,11/12/2024,1,17:49,Braeden Burns,Off Screen,24 Braeden Burns > Off Screen > To Shooter's Right > Flare > To Basket > Miss 2 Pts
9,Finn Cork,,,,Off Reb,Run Offense,00:00:08.9,,,Clarkson University Golden Knights,CU@SCK,11/12/2024,1,,Finn Cork,Off Reb,40 Finn Cork > Offensive Rebound > Short > Run Offense
10,Jack Dalgety,,,,"2FGM, Assist",Make 2 Pts,00:00:08.9,,,Clarkson University Golden Knights,CU@SCK,11/12/2024,1,17:44,"Jack Dalgety, Finn Cork",Cut,21 Jack Dalgety > Cut > Basket > Make 2 Pts
11,Kevin Goode Jr,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:23.6,,,SUNY Canton Kangaroos,CU@SCK,11/12/2024,1,17:19,"Braeden Burns, Kevin Goode Jr",Iso,2 Kevin Goode Jr > ISO > Left > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
12,Finn Cork,,,,2FGM,Make 2 Pts,00:00:13.3,,,Clarkson University Golden Knights,CU@SCK,11/12/2024,1,17:06,Finn Cork,Post Up,40 Finn Cork > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Make 2 Pts
13,Jevonte Williams,,,,"Turnover, Steal",Turnover,00:00:19.5,,,SUNY Canton Kangaroos,CU@SCK,11/12/2024,1,16:43,"Jevonte Williams, Finn Cork",P&R BH,1 Jevonte Williams > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Turnover
