#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Tanner Tedesco,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:24.3,,,Union (NY) Chargers,CU@UNY,01/18/2025,1,19:42,"Tanner Tedesco, Finn Cork",P&R BH,,5 Tanner Tedesco > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
2,Finn Cork,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:14.7,,,Clarkson University Golden Knights,CU@UNY,01/18/2025,1,19:25,"Brendan Reid, Finn Cork",Post Up,,40 Finn Cork > Post-Up > Right Block > Left Shoulder > Dribble Move > To Hook > Miss 2 Pts
3,Tanner Tedesco,,,,3FGm,Miss 3 Pts,00:00:40.2,,,Union (NY) Chargers,CU@UNY,01/18/2025,1,19:03,Tanner Tedesco,Spot Up,,5 Tanner Tedesco > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
4,Jack Plesser,,,,"2FGm, Off Reb",Miss 2 Pts,00:00:16.6,,,Union (NY) Chargers,CU@UNY,01/18/2025,1,19:03,Jack Plesser,Off Reb,,33 Jack Plesser > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
5,Christian Dufort,,,,"2FGM, Off Reb",Make 2 Pts,00:00:16.6,,,Union (NY) Chargers,CU@UNY,01/18/2025,1,18:54,Christian Dufort,Off Reb,,24 Christian Dufort > Offensive Rebound > Long > Scoring Attempt > At Basket > Make 2 Pts
6,Steve DeRegis,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.9,,,Clarkson University Golden Knights,CU@UNY,01/18/2025,1,18:37,"Steve DeRegis, Jack Plesser",Handoff,,5 Steve DeRegis > Hand Off > From Dribble > Top > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
7,Tanner Tedesco,,,,2FGM,Make 2 Pts,00:00:09.0,,,Union (NY) Chargers,CU@UNY,01/18/2025,1,18:23,Tanner Tedesco,Transition,,5 Tanner Tedesco > Transition > Ballhandler > To Basket > Make 2 Pts
8,Finn Cork,,,,2FGm,Miss 2 Pts,00:00:17.3,,,Clarkson University Golden Knights,CU@UNY,01/18/2025,1,18:07,Finn Cork,Post Up,,40 Finn Cork > Post-Up > Left Block > Left Shoulder > Dribble Move > To Hook > Miss 2 Pts
9,Finn Cork,,,,"2FGm, Off Reb, Def Reb",Miss 2 Pts,00:00:10.1,,,Clarkson University Golden Knights,CU@UNY,01/18/2025,1,18:07,"Finn Cork, Brendan Reid",Off Reb,,40 Finn Cork > Offensive Rebound > Short > Scoring Attempt > Short to < 17' > Miss 2 Pts
10,Jack Plesser,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:19.3,,,Union (NY) Chargers,CU@UNY,01/18/2025,1,17:55,"Jack Plesser, Braeden Burns",Transition,,33 Jack Plesser > Transition > First Middle > No Dribble Jumper > Guarded > Short to < 17' > Miss 2 Pts
