#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Graham Robinson,,,,"Turnover, Steal",Turnover,00:00:11.6,,,Hamilton College,HC@IC,12/10/2024,1,19:51,"Graham Robinson, Evan Cabral",,,13 Graham Robinson > No Play Type > Turnover
2,Evan Cabral,,,,2FGM,Make 2 Pts,00:00:10.6,,,Ithaca College,HC@IC,12/10/2024,1,19:47,Evan Cabral,Transition,,15 Evan Cabral > Transition > Ballhandler > To Basket > Make 2 Pts
3,Hank Morgan,,,,2FGM,Make 2 Pts,00:00:16.8,,,Hamilton College,HC@IC,12/10/2024,1,19:32,Hank Morgan,Handoff,,0 Hank Morgan > Hand Off > From Dribble > Right > To Basket > Make 2 Pts
4,Aidan Holmes,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.9,,,Ithaca College,HC@IC,12/10/2024,1,19:21,"Aidan Holmes, Garret Keyhani",Transition,,3 Aidan Holmes > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
5,Hank Morgan,,,,2FGM,Make 2 Pts,00:00:27.5,,,Hamilton College,HC@IC,12/10/2024,1,18:58,Hank Morgan,Off Screen,,0 Hank Morgan > Off Screen > To Shooter's Left > Curl > Dribble Jumper > Short to < 17' > Make 2 Pts
6,Evan Cabral,,,,Turnover,Turnover,00:00:27.5,,,Ithaca College,HC@IC,12/10/2024,1,18:32,Evan Cabral,"Iso, Spot Up",,3 Aidan Holmes > ISO > Left > Drives Right > Defense Commits > Ball Delivered > 15 Evan Cabral > Spot-Up > Drives Right > Turnover
7,Teja Singh,,,,2FGM,Make 2 Pts,00:00:12.6,,,Hamilton College,HC@IC,12/10/2024,1,18:20,Teja Singh,Off Screen,,1 Teja Singh > Off Screen > To Shooter's Left > Straight > To Basket > Make 2 Pts
8,Logan Wendell,,,,,No Violation,00:00:21.7,,,Ithaca College,HC@IC,12/10/2024,1,,Logan Wendell,,,1 Logan Wendell > Non Possession > No Violation
9,Chris Leysath,,,,Turnover,Turnover,00:00:07.8,,,Ithaca College,HC@IC,12/10/2024,1,17:56,Chris Leysath,Post Up,,30 Chris Leysath > Post-Up > Left Block > Turnover
10,Owen Kane,,,,Turnover,Turnover,00:00:20.9,,,Hamilton College,HC@IC,12/10/2024,1,17:43,Owen Kane,,,22 Owen Kane > No Play Type > Turnover
11,Evan Cabral,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.0,,,Ithaca College,HC@IC,12/10/2024,1,17:30,"Evan Cabral, Hank Morgan",P&R BH,,15 Evan Cabral > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
12,Hank Morgan,,,,2FGM,Make 2 Pts,00:00:15.9,,,Hamilton College,HC@IC,12/10/2024,1,17:19,Hank Morgan,Transition,,0 Hank Morgan > Transition > Ballhandler > To Basket > Make 2 Pts
13,Evan Cabral,,,,2FGM,Make 2 Pts,00:00:08.6,,,Ithaca College,HC@IC,12/10/2024,1,17:11,Evan Cabral,Transition,,15 Evan Cabral > Transition > Ballhandler > To Basket > Make 2 Pts
14,Graham Robinson,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:23.2,,,Hamilton College,HC@IC,12/10/2024,1,16:51,"Graham Robinson, Jaylon O'Neal",Spot Up,,13 Graham Robinson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
15,Aidan Holmes,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.6,,,Ithaca College,HC@IC,12/10/2024,1,16:43,"Aidan Holmes, Hank Morgan",Transition,,3 Aidan Holmes > Transition > Ballhandler > Dribble Jumper > Long/3pt > Miss 3 Pts
16,Owen Kane,,,,"Foul, Turnover",Turnover,00:00:16.1,,,Hamilton College,HC@IC,12/10/2024,1,16:34,Owen Kane,,,22 Owen Kane > No Play Type > Turnover
17,Aidan Holmes,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:23.7,,,Ithaca College,HC@IC,12/10/2024,1,16:15,"Aidan Holmes, Hank Morgan","P&R BH, Spot Up",,15 Evan Cabral > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Aidan Holmes > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
18,Hank Morgan,,,,,No Violation,00:00:11.5,,,Hamilton College,HC@IC,12/10/2024,1,,Hank Morgan,,,0 Hank Morgan > Non Possession > No Violation
19,Garret Keyhani,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:15.8,,,Hamilton College,HC@IC,12/10/2024,1,16:03,"Garret Keyhani, Laurence Brady",Cut,,12 Garret Keyhani > Cut > Basket > Miss 2 Pts
20,Jaylon O'Neal,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:16.1,,,Ithaca College,HC@IC,12/10/2024,1,15:55,"Jaylon O'Neal, Hank Morgan",Transition,,2 Jaylon O'Neal > Transition > Ballhandler > To Basket > Miss 2 Pts
21,Jaylon O'Neal,,,,"2FGM, Off Reb",Make 2 Pts,00:00:08.1,,,Ithaca College,HC@IC,12/10/2024,1,15:55,Jaylon O'Neal,Off Reb,,2 Jaylon O'Neal > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
22,Hank Morgan,,,,2FGm,Miss 2 Pts,00:00:16.0,,,Hamilton College,HC@IC,12/10/2024,1,15:42,Hank Morgan,Transition,,0 Hank Morgan > Transition > Ballhandler > To Basket > Miss 2 Pts
23,Evan Cabral,,,,Turnover,Turnover,00:00:20.3,,,Ithaca College,HC@IC,12/10/2024,1,15:26,Evan Cabral,Handoff,,15 Evan Cabral > Hand Off > From Stationary > Top > Turnover
24,Hank Morgan,,,,2FGM,Make 2 Pts,00:00:23.0,,,Hamilton College,HC@IC,12/10/2024,1,15:07,Hank Morgan,Iso,,0 Hank Morgan > ISO > Left > Drives Left > To Basket > Make 2 Pts
25,Alex Penders,,,,,No Violation,00:00:21.5,,,Ithaca College,HC@IC,12/10/2024,1,,Alex Penders,,,14 Alex Penders > Non Possession > No Violation
26,Logan Wendell,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:13.3,,,Ithaca College,HC@IC,12/10/2024,1,14:38,"Logan Wendell, Nate Raub",P&R BH,,1 Logan Wendell > P&R Ball Handler > Right P&R > Baseline > Go Away from Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts
27,Teja Singh,,,,2FGM,Make 2 Pts,00:00:15.0,,,Hamilton College,HC@IC,12/10/2024,1,14:30,Teja Singh,Transition,,1 Teja Singh > Transition > Ballhandler > To Basket > Make 2 Pts
28,Evan Cabral,,,,,No Violation,00:00:13.3,,,Ithaca College,HC@IC,12/10/2024,1,,Evan Cabral,,,15 Evan Cabral > Non Possession > No Violation
29,Laurence Brady,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:20.5,,,Ithaca College,HC@IC,12/10/2024,1,14:03,"Laurence Brady, Jalen Reese, Nate Raub",Handoff,,12 Laurence Brady > Hand Off > From Dribble > Top > To Basket > Miss 2 Pts
30,Teja Singh,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:16.1,,,Hamilton College,HC@IC,12/10/2024,1,13:55,"Teja Singh, Laurence Brady",Transition,,1 Teja Singh > Transition > Ballhandler > To Basket > Miss 2 Pts
31,Logan Wendell,,,,2FGm,Miss 2 Pts,00:00:28.7,,,Ithaca College,HC@IC,12/10/2024,1,13:32,Logan Wendell,Spot Up,,1 Logan Wendell > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts
32,Jose Padilla,,,,"2FGM, Off Reb",Make 2 Pts,00:00:10.7,,,Ithaca College,HC@IC,12/10/2024,1,13:32,Jose Padilla,Off Reb,,13 Jose Padilla > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
33,Matthew Rideout,,,,3FGM,Make 3 Pts,00:00:10.6,,,Hamilton College,HC@IC,12/10/2024,1,13:17,Matthew Rideout,Spot Up,,11 Matthew Rideout > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
34,Cole Wissink,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:27.6,,,Ithaca College,HC@IC,12/10/2024,1,12:51,"Cole Wissink, Teja Singh",Spot Up,,0 Cole Wissink > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
35,Nate Raub,,,,3FGm,Miss 3 Pts,00:00:18.4,,,Hamilton College,HC@IC,12/10/2024,1,12:41,Nate Raub,Spot Up,,33 Nate Raub > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
36,Nate Raub,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:21.3,,,Hamilton College,HC@IC,12/10/2024,1,12:34,"Nate Raub, Alex Penders",Cut,,33 Nate Raub > Cut > Flash > Miss 2 Pts
37,Nate Raub,,,,"2FGm, Off Reb",Miss 2 Pts,00:00:13.7,,,Hamilton College,HC@IC,12/10/2024,1,12:34,Nate Raub,Off Reb,,33 Nate Raub > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
38,Jalen Reese,,,,"2FGm, Off Reb, Def Reb",Miss 2 Pts,00:00:13.7,,,Hamilton College,HC@IC,12/10/2024,1,12:29,"Jalen Reese, Jose Padilla",Off Reb,,4 Jalen Reese > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
39,Alex Penders,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:21.7,,,Ithaca College,HC@IC,12/10/2024,1,12:20,"Alex Penders, Matthew Rideout",Transition,,14 Alex Penders > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
40,Hank Morgan,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:20.3,,,Hamilton College,HC@IC,12/10/2024,1,12:06,"Hank Morgan, Logan Wendell",Spot Up,,0 Hank Morgan > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
41,Cole Wissink,,,,"3FGM, Assist",Make 3 Pts,00:00:18.7,,,Ithaca College,HC@IC,12/10/2024,1,11:49,"Cole Wissink, Logan Wendell","P&R BH, Spot Up",,1 Logan Wendell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Cole Wissink > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
42,Nate Raub,,,,"Turnover, Steal",Turnover,00:00:22.1,,,Hamilton College,HC@IC,12/10/2024,1,11:26,"Nate Raub, Jose Padilla",Cut,,33 Nate Raub > Cut > Flash > Turnover
43,Logan Wendell,,,,"2FGM, Assist",Make 2 Pts,00:00:10.4,,,Ithaca College,HC@IC,12/10/2024,1,11:22,"Logan Wendell, Jose Padilla",Transition,,1 Logan Wendell > Transition > Right Wing > To Basket > Make 2 Pts
44,Hank Morgan,,,,"Turnover, Steal",Turnover,00:00:15.1,,,Hamilton College,HC@IC,12/10/2024,1,11:05,"Hank Morgan, Laurence Brady",Spot Up,,0 Hank Morgan > Spot-Up > Drives Right > Turnover
45,Logan Wendell,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:27.3,,,Ithaca College,HC@IC,12/10/2024,1,10:44,"Logan Wendell, Nate Raub",P&R BH,,1 Logan Wendell > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
46,Sharif Nelson,,,,2FGm,Miss 2 Pts,00:00:25.1,,,Hamilton College,HC@IC,12/10/2024,1,10:27,Sharif Nelson,Spot Up,,2 Sharif Nelson > Spot-Up > Drives Right > To Basket > Miss 2 Pts
47,Aidan Holmes,,,,"2FGM, Foul",1 Pts,00:00:33.0,,,Ithaca College,HC@IC,12/10/2024,1,9:59,"Aidan Holmes, Matthew Rideout",Spot Up,,3 Aidan Holmes > Spot-Up > Drives Right > To Basket > Make 2 Pts Foul > 1 Pts
48,Aidan Holmes,,,,FTM,Free Throw,00:00:10.6,,,Ithaca College,HC@IC,12/10/2024,1,,Aidan Holmes,,,3 Aidan Holmes > Non Possession > Free Throw
49,Garret Keyhani,,,,2FGm,Miss 2 Pts,00:00:24.7,,,Hamilton College,HC@IC,12/10/2024,1,9:41,Garret Keyhani,Cut,,12 Garret Keyhani > Cut > Flash > Miss 2 Pts
50,Garret Keyhani,,,,Off Reb,Run Offense,00:00:07.7,,,Hamilton College,HC@IC,12/10/2024,1,,Garret Keyhani,Off Reb,,12 Garret Keyhani > Offensive Rebound > Short > Run Offense
51,Matthew Rideout,,,,"3FGM, Assist",Make 3 Pts,00:00:10.3,,,Hamilton College,HC@IC,12/10/2024,1,9:38,"Matthew Rideout, Garret Keyhani",Spot Up,,11 Matthew Rideout > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
52,Aidan Holmes,,,,Foul,No Violation,00:00:13.2,,,,HC@IC,12/10/2024,1,,Garret Keyhani,,,3 Aidan Holmes > Non Possession > No Violation
53,Cole Wissink,,,,2FGm,Miss 2 Pts,00:00:39.9,,,Ithaca College,HC@IC,12/10/2024,1,9:03,Cole Wissink,"P&R BH, Spot Up",,13 Jose Padilla > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Cole Wissink > Spot-Up > Drives Straight > To Basket > Miss 2 Pts
54,Chris Leysath,,,,"2FGm, Off Reb",Miss 2 Pts,00:00:16.2,,,Ithaca College,HC@IC,12/10/2024,1,9:03,Chris Leysath,Off Reb,,30 Chris Leysath > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
55,Cole Wissink,,,,"Off Reb, Turnover",Turnover,00:00:16.2,,,Ithaca College,HC@IC,12/10/2024,1,8:59,Cole Wissink,Off Reb,,0 Cole Wissink > Offensive Rebound > Short > Turnover
56,Matthew Rideout,,,,2FGM,Make 2 Pts,00:00:22.5,,,Hamilton College,HC@IC,12/10/2024,1,8:39,Matthew Rideout,Spot Up,,11 Matthew Rideout > Spot-Up > Drives Right > To Basket > Make 2 Pts
57,Chris Leysath,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:21.2,,,Ithaca College,HC@IC,12/10/2024,1,8:20,"Chris Leysath, Garret Keyhani",Cut,,30 Chris Leysath > Cut > Basket > Miss 2 Pts
58,Matthew Rideout,,,,"3FGM, Assist",Make 3 Pts,00:00:14.7,,,Hamilton College,HC@IC,12/10/2024,1,8:13,"Matthew Rideout, Connor Jenkins",Transition,,11 Matthew Rideout > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
59,Laurence Brady,,,,"2FGM, Assist",Make 2 Pts,00:00:09.8,,,Ithaca College,HC@IC,12/10/2024,1,7:41,"Laurence Brady, Aidan Holmes",Cut,,12 Laurence Brady > Cut > Basket > Make 2 Pts
60,Connor Jenkins,,,,"3FGM, Assist",Make 3 Pts,00:00:21.1,,,Hamilton College,HC@IC,12/10/2024,1,7:25,"Connor Jenkins, Garret Keyhani",Spot Up,,15 Connor Jenkins > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
61,Jose Padilla,,,,Foul,Non Shooting Foul,00:00:15.5,,,,HC@IC,12/10/2024,1,,Matthew Rideout,,,13 Jose Padilla > Non Possession > Non Shooting Foul
62,Evan Cabral,,,,"Turnover, Steal",Turnover,00:00:14.1,,,Ithaca College,HC@IC,12/10/2024,1,7:01,"Evan Cabral, Garret Keyhani",P&R BH,,15 Evan Cabral > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover
63,Teja Singh,,,,Turnover,Turnover,00:00:14.5,,,Hamilton College,HC@IC,12/10/2024,1,6:55,Teja Singh,,,1 Teja Singh > No Play Type > Turnover
64,Jaylon O'Neal,,,,Turnover,Turnover,00:00:10.7,,,Ithaca College,HC@IC,12/10/2024,1,6:53,Jaylon O'Neal,,,2 Jaylon O'Neal > No Play Type > Turnover
65,Hank Morgan,,,,3FGm,Miss 3 Pts,00:00:18.2,,,Hamilton College,HC@IC,12/10/2024,1,6:46,Hank Morgan,Spot Up,,0 Hank Morgan > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
