#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Dayion Thompson,,,,"Turnover, Steal",Turnover,00:00:16.0,,,Utica,HOB@UTI,12/16/2024,1,19:47,"Dayion Thompson, Carter Meshanic",Handoff,,1 Dayion Thompson > Hand Off > From Stationary > Top > Turnover
2,Hunter Meshanic,,,,"2FGM, Assist",Make 2 Pts,00:00:25.1,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,19:28,"Hunter Meshanic, Alex Moesch",Cut,,24 Hunter Meshanic > Cut > Basket > Make 2 Pts
3,Dayion Thompson,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:13.9,,,Utica,HOB@UTI,12/16/2024,1,19:13,"Dayion Thompson, Carter Meshanic",P&R BH,,1 Dayion Thompson > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > To Basket > Miss 2 Pts
4,Aidan Rodgers,,,,"3FGM, Assist",Make 3 Pts,00:00:22.6,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,18:50,"Aidan Rodgers, Carter Meshanic","Post Up, Spot Up",,23 Carter Meshanic > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 55 Aidan Rodgers > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
5,Damien Call,,,,"3FGM, Assist",Make 3 Pts,00:00:21.7,,,Utica,HOB@UTI,12/16/2024,1,18:34,"Damien Call, Devon Flynn",Handoff,,15 Damien Call > Hand Off > From Dribble > Right > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
6,Alex Moesch,,,,2FGM,Make 2 Pts,00:00:22.3,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,18:08,Alex Moesch,Off Screen,,4 Alex Moesch > Off Screen > To Shooter's Left > Straight > Dribble Jumper > Short to < 17' > Make 2 Pts
7,Damien Call,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:21.9,,,Utica,HOB@UTI,12/16/2024,1,17:46,"Damien Call, Carter Meshanic","P&R BH, P&R Roll Man",,1 Dayion Thompson > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 15 Damien Call > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
8,Allen Mordi,,,,"3FGM, Assist",Make 3 Pts,00:00:14.3,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,17:36,"Allen Mordi, Alex Moesch",Transition,,11 Allen Mordi > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
9,Dayion Thompson,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:21.9,,,Utica,HOB@UTI,12/16/2024,1,17:16,"Dayion Thompson, Carter Meshanic","Post Up, Cut",,15 Damien Call > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 1 Dayion Thompson > Cut > Basket > Miss 2 Pts
10,Aidan Rodgers,,,,"2FGM, Foul",1 Pts,00:00:22.6,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,16:59,"Aidan Rodgers, Levi Spina",P&R BH,,55 Aidan Rodgers > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts Foul > 1 Pts
11,Aidan Rodgers,,,,FTM,Free Throw,00:00:08.5,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,,Aidan Rodgers,,,55 Aidan Rodgers > Non Possession > Free Throw
12,Levi Spina,,,,"2FGM, Assist",Make 2 Pts,00:00:19.8,,,Utica,HOB@UTI,12/16/2024,1,16:39,"Levi Spina, Damien Call",Spot Up,,10 Levi Spina > Spot-Up > No Dribble Jumper > Open > Medium/17' to <3p > Make 2 Pts
13,Carter Meshanic,,,,Foul,Non Shooting Foul,00:00:18.5,,,,HOB@UTI,12/16/2024,1,,Dayion Thompson,,,23 Carter Meshanic > Non Possession > Non Shooting Foul
14,Alex Moesch,,,,2FGm,Miss 2 Pts,00:00:07.5,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,16:09,Alex Moesch,Off Screen,,4 Alex Moesch > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Short to < 17' > Miss 2 Pts
15,Hunter Meshanic,,,,"2FGM, Off Reb",Make 2 Pts,00:00:05.4,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,16:09,Hunter Meshanic,Off Reb,,24 Hunter Meshanic > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
16,Hagen Foley,,,,2FGM,Make 2 Pts,00:00:19.9,,,Utica,HOB@UTI,12/16/2024,1,15:51,Hagen Foley,Handoff,,0 Hagen Foley > Hand Off > From Stationary > Top > To Basket > Make 2 Pts
17,Hunter Meshanic,,,,"2FGM, Assist",Make 2 Pts,00:00:23.0,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,15:23,"Hunter Meshanic, Carter Meshanic",Cut,,24 Hunter Meshanic > Cut > Basket > Make 2 Pts
18,Damien Call,,,,Foul,Non Shooting Foul,00:00:17.5,,,,HOB@UTI,12/16/2024,1,,Hunter Meshanic,,,15 Damien Call > Non Possession > Non Shooting Foul
19,Damien Call,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:21.0,,,Utica,HOB@UTI,12/16/2024,1,14:56,"Damien Call, Allen Mordi",Post Up,,15 Damien Call > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Miss 2 Pts
20,Liam Teague,,,,Off Reb,Run Offense,00:00:08.6,,,Utica,HOB@UTI,12/16/2024,1,,Liam Teague,Off Reb,,22 Liam Teague > Offensive Rebound > Short > Run Offense
21,Ethan Rivers,,,,"Turnover, Steal",Turnover,00:00:11.8,,,Utica,HOB@UTI,12/16/2024,1,14:45,"Ethan Rivers, Alex Moesch",P&R BH,,4 Ethan Rivers > P&R Ball Handler > Right P&R > Side > Defense Commits > Turnover
22,Allen Mordi,,,,"2FGM, Assist",Make 2 Pts,00:00:10.5,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,14:40,"Allen Mordi, Alex Moesch",Transition,,11 Allen Mordi > Transition > First Middle > To Basket > Make 2 Pts
23,Ethan Rivers,,,,2FGm,Miss 2 Pts,00:00:19.7,,,Utica,HOB@UTI,12/16/2024,1,14:24,Ethan Rivers,P&R BH,,4 Ethan Rivers > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Miss 2 Pts
24,Levi Spina,,,,Off Reb,Run Offense,00:00:07.0,,,Utica,HOB@UTI,12/16/2024,1,,Levi Spina,Off Reb,,10 Levi Spina > Offensive Rebound > Short > Run Offense
25,Damien Call,,,,2FGm,Miss 2 Pts,00:00:15.1,,,Utica,HOB@UTI,12/16/2024,1,14:18,Damien Call,Spot Up,,15 Damien Call > Spot-Up > Drives Straight > To Basket > Miss 2 Pts
26,Damien Call,,,,"2FGm, Off Reb, Def Reb",Miss 2 Pts,00:00:09.2,,,Utica,HOB@UTI,12/16/2024,1,14:18,"Damien Call, Carter Meshanic",Off Reb,,15 Damien Call > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
27,Allen Mordi,,,,"Turnover, Steal",Turnover,00:00:17.8,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,13:55,"Allen Mordi, Levi Spina","Post Up, Spot Up",,23 Carter Meshanic > Post-Up > Left Block > Defense Commits > Ball Delivered > 11 Allen Mordi > Spot-Up > Turnover
28,Damien Call,,,,Turnover,Turnover,00:00:19.7,,,Utica,HOB@UTI,12/16/2024,1,13:42,Damien Call,"Iso, Spot Up",,4 Ethan Rivers > ISO > Left > Drives Right > Defense Commits > Ball Delivered > 15 Damien Call > Spot-Up > Turnover
29,Pat Healy,,,,"3FGM, Assist",Make 3 Pts,00:00:24.0,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,13:18,"Pat Healy, Carter Meshanic",Spot Up,,3 Pat Healy > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
30,Damien Call,,,,Turnover,Turnover,00:00:21.5,,,Utica,HOB@UTI,12/16/2024,1,12:55,Damien Call,"P&R BH, P&R Roll Man",,3 Neruda Perdomo > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 15 Damien Call > P&R Roll Man > Slips the Pick > Turnover
31,Carter Meshanic,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.0,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,12:39,"Carter Meshanic, Neruda Perdomo","Iso, Cut",,3 Pat Healy > ISO > Right > Drives Left > Defense Commits > Ball Delivered > 23 Carter Meshanic > Cut > Basket > Miss 2 Pts
32,Hagen Foley,,,,2FGM,Make 2 Pts,00:00:11.7,,,Utica,HOB@UTI,12/16/2024,1,12:33,Hagen Foley,Transition,,0 Hagen Foley > Transition > Ballhandler > To Basket > Make 2 Pts
33,Aidan Rodgers,,,,3FGM,Make 3 Pts,00:00:23.9,,,Hobart College Statesmen,HOB@UTI,12/16/2024,1,12:13,Aidan Rodgers,Spot Up,,55 Aidan Rodgers > Spot-Up > Drives Straight > Dribble Jumper > Long/3pt > Make 3 Pts
34,Ethan Rivers,,,,"3FGM, Assist",Make 3 Pts,00:00:20.2,,,Utica,HOB@UTI,12/16/2024,1,11:49,"Ethan Rivers, Neruda Perdomo",Spot Up,,4 Ethan Rivers > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
