#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,PJ Scalisi,,,,,Shot Clock Violation,00:00:37.9,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,,PJ Scalisi,,,23 PJ Scalisi > Non Possession > Shot Clock Violation
2,Jack Dalgety,,,,"2FGM, Assist",Make 2 Pts,00:00:10.1,,,Clarkson University Golden Knights,RPI@CU,12/07/2024,1,19:18,"Jack Dalgety, Finn Cork",Post Up,,21 Jack Dalgety > Post-Up > Flash Middle > Post Pin > No Dribble Move > To Basket > Make 2 Pts
3,Chuck Clemons,,,,"3FGM, Assist",Make 3 Pts,00:00:25.7,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,18:47,"Chuck Clemons, PJ Scalisi",Spot Up,,4 Chuck Clemons > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
4,Finn Cork,,,,"2FGM, Assist",Make 2 Pts,00:00:12.6,,,Clarkson University Golden Knights,RPI@CU,12/07/2024,1,18:30,"Finn Cork, Steve DeRegis",Cut,,40 Finn Cork > Cut > Basket > Make 2 Pts
5,Chuck Clemons,,,,,No Violation,00:00:09.9,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,,Chuck Clemons,,,4 Chuck Clemons > Non Possession > No Violation
6,Avery Eugster,,,,Foul,Foul,00:00:21.3,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,18:08,"Jack Dalgety, Avery Eugster",P&R BH,,12 Avery Eugster > P&R Ball Handler > Left P&R > Side > Go Away from Pick > To Basket > Foul
7,Avery Eugster,,,,FTM,Free Throw,00:00:07.5,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,,Avery Eugster,,,12 Avery Eugster > Non Possession > Free Throw
8,Avery Eugster,,,,"FTm, Def Reb",Free Throw,00:00:10.1,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,,"Avery Eugster, Finn Cork",,,12 Avery Eugster > Non Possession > Free Throw
9,Braeden Burns,,,,2FGM,Make 2 Pts,00:00:14.1,,,Clarkson University Golden Knights,RPI@CU,12/07/2024,1,17:53,Braeden Burns,Spot Up,,24 Braeden Burns > Spot-Up > Drives Left > To Basket > Make 2 Pts
10,Chuck Clemons,,,,3FGM,Make 3 Pts,00:00:20.3,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,17:30,Chuck Clemons,P&R BH,,4 Chuck Clemons > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts
11,Jack Dalgety,,,,"3FGM, Assist",Make 3 Pts,00:00:16.4,,,Clarkson University Golden Knights,RPI@CU,12/07/2024,1,17:09,"Jack Dalgety, Steve DeRegis",Spot Up,,21 Jack Dalgety > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
12,PJ Scalisi,,,,"2FGM, Assist",Make 2 Pts,00:00:19.0,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,16:44,"PJ Scalisi, Andrew Deppe",Cut,,23 PJ Scalisi > Cut > Basket > Make 2 Pts
13,Jack Dalgety,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:25.5,,,Clarkson University Golden Knights,RPI@CU,12/07/2024,1,16:25,"Jack Dalgety, Avery Eugster",Spot Up,,21 Jack Dalgety > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
14,Dylan Matchett,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:17.2,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,16:18,"Dylan Matchett, Jack Dalgety",Transition,,32 Dylan Matchett > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
15,Steve DeRegis,,,,,No Violation,00:00:10.4,,,Clarkson University Golden Knights,RPI@CU,12/07/2024,1,,Steve DeRegis,,,5 Steve DeRegis > Non Possession > No Violation
16,Finn Cork,,,,"2FGm, Def Reb, Foul",Miss 2 Pts,00:00:19.5,,,Clarkson University Golden Knights,RPI@CU,12/07/2024,1,15:53,"Finn Cork, Andrew Deppe, Braeden Burns",Post Up,,40 Finn Cork > Post-Up > Left Block > Left Shoulder > Dribble Move > To Hook > Miss 2 Pts
17,Chuck Clemons,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:16.9,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,15:35,"Chuck Clemons, Braeden Burns",Cut,,4 Chuck Clemons > Cut > Flash > Miss 2 Pts
18,Steve DeRegis,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:12.8,,,Clarkson University Golden Knights,RPI@CU,12/07/2024,1,15:24,"Steve DeRegis, PJ Scalisi",Off Screen,,5 Steve DeRegis > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
19,Andrew Deppe,,,,2FGm,Miss 2 Pts,00:00:27.4,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,15:05,Andrew Deppe,Post Up,,41 Andrew Deppe > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Miss 2 Pts
20,Andrew Deppe,,,,"Off Reb, Foul",Foul,00:00:08.9,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,15:05,"Andrew Deppe, Finn Cork",Off Reb,,41 Andrew Deppe > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul
21,Andrew Deppe,,,,FTM,Free Throw,00:00:05.2,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,,Andrew Deppe,,,41 Andrew Deppe > Non Possession > Free Throw
22,Andrew Deppe,,,,FTM,Free Throw,00:00:08.3,,,Rensselaer Polytechnic,RPI@CU,12/07/2024,1,,Andrew Deppe,,,41 Andrew Deppe > Non Possession > Free Throw
23,Steve DeRegis,,,,3FGm,Miss 3 Pts,00:00:14.3,,,Clarkson University Golden Knights,RPI@CU,12/07/2024,1,14:55,Steve DeRegis,Spot Up,,5 Steve DeRegis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
