#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Pat Healy,,,,2FGM,Make 2 Pts,00:00:32.9,,,Hobart College Statesmen,RPI@HOB,01/04/2025,1,19:30,Pat Healy,Spot Up,,3 Pat Healy > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Make 2 Pts
2,Andrew Deppe,,,,"Foul, Turnover",Turnover,00:00:23.7,,,Rensselaer Polytechnic,RPI@HOB,01/04/2025,1,19:04,Andrew Deppe,,,41 Andrew Deppe > No Play Type > Turnover
3,Pat Healy,,,,,No Violation,00:00:16.2,,,Hobart College Statesmen,RPI@HOB,01/04/2025,1,,Pat Healy,,,3 Pat Healy > Non Possession > No Violation
4,Alex Moesch,,,,2FGm,Miss 2 Pts,00:00:20.3,,,Hobart College Statesmen,RPI@HOB,01/04/2025,1,18:33,Alex Moesch,P&R BH,,4 Alex Moesch > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts
5,Hunter Meshanic,,,,Off Reb,Run Offense,00:00:07.1,,,Hobart College Statesmen,RPI@HOB,01/04/2025,1,,Hunter Meshanic,Off Reb,,24 Hunter Meshanic > Offensive Rebound > Short > Run Offense
6,Aidan Rodgers,,,,"3FGM, Assist",Make 3 Pts,00:00:09.4,,,Hobart College Statesmen,RPI@HOB,01/04/2025,1,18:28,"Aidan Rodgers, Hunter Meshanic",Spot Up,,55 Aidan Rodgers > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
7,Andrew Deppe,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:13.7,,,Rensselaer Polytechnic,RPI@HOB,01/04/2025,1,18:10,"Andrew Deppe, Carter Meshanic",Iso,,41 Andrew Deppe > ISO > Right > Early Jumper > No Dribble Jumper > Open > Medium/17' to <3p > Miss 2 Pts
8,Alex Moesch,,,,"Turnover, Steal",Turnover,00:00:09.6,,,Hobart College Statesmen,RPI@HOB,01/04/2025,1,18:00,"Alex Moesch, Andrew Deppe",,,4 Alex Moesch > No Play Type > Turnover
9,PJ Scalisi,,,,"3FGM, Assist",Make 3 Pts,00:00:14.6,,,Rensselaer Polytechnic,RPI@HOB,01/04/2025,1,17:51,"PJ Scalisi, Chuck Clemons",Transition,,23 PJ Scalisi > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
10,Hunter Meshanic,,,,"3FGM, Assist",Make 3 Pts,00:00:15.4,,,Hobart College Statesmen,RPI@HOB,01/04/2025,1,17:33,"Hunter Meshanic, Aidan Rodgers","P&R BH, P&R Roll Man",,55 Aidan Rodgers > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Hunter Meshanic > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
11,Chuck Clemons,,,,"3FGM, Assist",Make 3 Pts,00:00:21.4,,,Rensselaer Polytechnic,RPI@HOB,01/04/2025,1,17:07,"Chuck Clemons, Andrew Deppe","P&R BH, Spot Up",,12 Avery Eugster > P&R Ball Handler > Left P&R > Side > Defense Commits > Ball Delivered > 4 Chuck Clemons > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
12,Carter Meshanic,,,,"2FGM, Assist",Make 2 Pts,00:00:20.3,,,Hobart College Statesmen,RPI@HOB,01/04/2025,1,16:41,"Carter Meshanic, Aidan Rodgers",Cut,,23 Carter Meshanic > Cut > Basket > Make 2 Pts
13,Chuck Clemons,,,,,No Violation,00:00:07.6,,,Rensselaer Polytechnic,RPI@HOB,01/04/2025,1,,Chuck Clemons,,,4 Chuck Clemons > Non Possession > No Violation
14,Andrew Deppe,,,,Foul,Foul,00:00:13.8,,,Rensselaer Polytechnic,RPI@HOB,01/04/2025,1,16:25,"Hunter Meshanic, Andrew Deppe",Post Up,,41 Andrew Deppe > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Foul
15,Andrew Deppe,,,,FTM,Free Throw,00:00:05.5,,,Rensselaer Polytechnic,RPI@HOB,01/04/2025,1,,Andrew Deppe,,,41 Andrew Deppe > Non Possession > Free Throw
16,Andrew Deppe,,,,FTM,Free Throw,00:00:05.7,,,Rensselaer Polytechnic,RPI@HOB,01/04/2025,1,,Andrew Deppe,,,41 Andrew Deppe > Non Possession > Free Throw
17,Pat Healy,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.5,,,Hobart College Statesmen,RPI@HOB,01/04/2025,1,16:09,"Pat Healy, Chuck Clemons",Spot Up,,3 Pat Healy > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
18,Chuck Clemons,,,,2FGM,Make 2 Pts,00:00:28.1,,,Rensselaer Polytechnic,RPI@HOB,01/04/2025,1,15:44,Chuck Clemons,Post Up,,4 Chuck Clemons > Post-Up > Left Block > Right Shoulder > Dribble Move > To Up and Under > Make 2 Pts
19,Pat Healy,,,,"3FGM, Assist",Make 3 Pts,00:00:17.5,,,Hobart College Statesmen,RPI@HOB,01/04/2025,1,15:26,"Pat Healy, Aidan Rodgers","P&R BH, Spot Up",,55 Aidan Rodgers > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Pat Healy > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
20,Andrew Deppe,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.7,,,Rensselaer Polytechnic,RPI@HOB,01/04/2025,1,15:02,"Andrew Deppe, Hunter Meshanic","P&R BH, Spot Up",,4 Chuck Clemons > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 41 Andrew Deppe > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
