#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Andrew Deppe,,,,,No Violation,00:00:07.9,,,Rensselaer Polytechnic,RPI@SCK,12/29/2024,1,,Andrew Deppe,,,41 Andrew Deppe > Non Possession > No Violation
2,Chuck Clemons,,,,2FGM,Make 2 Pts,00:00:21.6,,,Rensselaer Polytechnic,RPI@SCK,12/29/2024,1,19:43,Chuck Clemons,P&R BH,,4 Chuck Clemons > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts
3,Kevin Goode Jr,,,,,Miss 3 Pts,00:00:24.6,,,SUNY Canton Kangaroos,RPI@SCK,12/29/2024,1,,Kevin Goode Jr,,,1 Jevonte Williams > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 2 Kevin Goode Jr > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
4,PJ Scalisi,,,,2FGm,Miss 2 Pts,00:00:16.7,,,Rensselaer Polytechnic,RPI@SCK,12/29/2024,1,19:04,PJ Scalisi,Post Up,,23 PJ Scalisi > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Miss 2 Pts
5,Moe Biao,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:33.6,,,SUNY Canton Kangaroos,RPI@SCK,12/29/2024,1,18:41,"Moe Biao, Dylan Matchett",P&R BH,,4 Moe Biao > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
6,Andrew Deppe,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.0,,,Rensselaer Polytechnic,RPI@SCK,12/29/2024,1,18:33,"Andrew Deppe, Kevin Goode Jr",Transition,,41 Andrew Deppe > Transition > Left Wing > To Basket > Miss 2 Pts
7,Kevin Goode Jr,,,,Foul,Non Shooting Foul,00:00:09.0,,,,RPI@SCK,12/29/2024,1,,Andrew Deppe,,,2 Kevin Goode Jr > Non Possession > Non Shooting Foul
8,Bryon Streb,,,,Foul,Non Shooting Foul,00:00:11.9,,,,RPI@SCK,12/29/2024,1,,PJ Scalisi,,,23 Bryon Streb > Non Possession > Non Shooting Foul
9,Moe Biao,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:16.4,,,SUNY Canton Kangaroos,RPI@SCK,12/29/2024,1,18:09,"Moe Biao, Chuck Clemons",Post Up,,4 Moe Biao > Post-Up > Flash Middle > Left Shoulder > Dribble Move > To Basket > Miss 2 Pts
10,PJ Scalisi,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.3,,,Rensselaer Polytechnic,RPI@SCK,12/29/2024,1,18:01,"PJ Scalisi, Bryon Streb",Transition,,23 PJ Scalisi > Transition > Trailer > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
11,Jevonte Williams,,,,2FGm,Miss 2 Pts,00:00:23.6,,,SUNY Canton Kangaroos,RPI@SCK,12/29/2024,1,17:43,Jevonte Williams,Spot Up,,1 Jevonte Williams > Spot-Up > Drives Left > To Basket > Miss 2 Pts
12,Bryon Streb,,,,Off Reb,Run Offense,00:00:15.0,,,SUNY Canton Kangaroos,RPI@SCK,12/29/2024,1,,Bryon Streb,Off Reb,,23 Bryon Streb > Offensive Rebound > Long > Run Offense
13,Bryon Streb,,,,2FGM,Make 2 Pts,00:00:15.0,,,SUNY Canton Kangaroos,RPI@SCK,12/29/2024,1,17:34,Bryon Streb,Post Up,,23 Bryon Streb > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Make 2 Pts
14,Avery Eugster,,,,Foul,Non Shooting Foul,00:00:13.1,,,,RPI@SCK,12/29/2024,1,,Moe Biao,,,12 Avery Eugster > Non Possession > Non Shooting Foul
15,Dylan Matchett,,,,"2FGM, Assist",Make 2 Pts,00:00:09.4,,,Rensselaer Polytechnic,RPI@SCK,12/29/2024,1,17:18,"Dylan Matchett, PJ Scalisi",Cut,,32 Dylan Matchett > Cut > Basket > Make 2 Pts
16,Tanner  Sullivan,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:26.3,,,SUNY Canton Kangaroos,RPI@SCK,12/29/2024,1,16:53,"Tanner Sullivan, Andrew Deppe",Spot Up,,30 Tanner Sullivan > Spot-Up > Drives Left > To Basket > Miss 2 Pts
17,Andrew Deppe,,,,Foul,Foul,00:00:33.4,,,Rensselaer Polytechnic,RPI@SCK,12/29/2024,1,16:23,"Eli Larson, Andrew Deppe",Post Up,,41 Andrew Deppe > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Foul
18,Andrew Deppe,,,,FTM,Free Throw,00:00:09.9,,,Rensselaer Polytechnic,RPI@SCK,12/29/2024,1,,Andrew Deppe,,,41 Andrew Deppe > Non Possession > Free Throw
19,Andrew Deppe,,,,"FTm, Def Reb",Free Throw,00:00:08.4,,,Rensselaer Polytechnic,RPI@SCK,12/29/2024,1,,"Andrew Deppe, Bryon Streb",,,41 Andrew Deppe > Non Possession > Free Throw
