#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Andrew Deppe,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:30.7,,,Rensselaer Polytechnic,RPI@SJC,12/30/2024,1,19:37,"Andrew Deppe, Connor Williams","P&R BH, P&R Roll Man",,32 Dylan Matchett > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 41 Andrew Deppe > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
2,Cole Thompson,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:28.8,,,St. John Fisher Cardinals,RPI@SJC,12/30/2024,1,19:13,"Cole Thompson, PJ Scalisi","P&R BH, Spot Up",,1 Maxwell Schneider > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Cole Thompson > Spot-Up > Drives Right > To Basket > Miss 2 Pts
3,Connor Williams,,,,3FGm,Miss 3 Pts,00:00:18.3,,,St. John Fisher Cardinals,RPI@SJC,12/30/2024,1,19:09,Connor Williams,"P&R BH, P&R Roll Man",,1 Maxwell Schneider > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 50 Connor Williams > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
4,Louis Fay,,,,"2FGm, Off Reb, Def Reb",Miss 2 Pts,00:00:08.0,,,St. John Fisher Cardinals,RPI@SJC,12/30/2024,1,19:09,"Louis Fay, PJ Scalisi",Off Reb,,20 Louis Fay > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
5,Dylan Matchett,,,,3FGm,Miss 3 Pts,00:00:39.4,,,Rensselaer Polytechnic,RPI@SJC,12/30/2024,1,18:45,Dylan Matchett,Spot Up,,32 Dylan Matchett > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
6,Eric Kegler,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:24.4,,,St. John Fisher Cardinals,RPI@SJC,12/30/2024,1,18:22,"Eric Kegler, Dylan Matchett",Handoff,,10 Eric Kegler > Hand Off > From Stationary > Top > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
7,Dylan Matchett,,,,Foul,Non Shooting Foul,00:00:11.8,,,,RPI@SJC,12/30/2024,1,,Cole Thompson,,,32 Dylan Matchett > Non Possession > Non Shooting Foul
8,Chuck Clemons,,,,"3FGM, Assist",Make 3 Pts,00:00:27.8,,,Rensselaer Polytechnic,RPI@SJC,12/30/2024,1,18:16,"Andrew Deppe, Chuck Clemons",Spot Up,,4 Chuck Clemons > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
9,Eric Kegler,,,,Turnover,Turnover,00:00:19.2,,,St. John Fisher Cardinals,RPI@SJC,12/30/2024,1,17:33,Eric Kegler,,,10 Eric Kegler > No Play Type > Turnover
10,Chuck Clemons,,,,3FGm,Miss 3 Pts,00:00:17.1,,,Rensselaer Polytechnic,RPI@SJC,12/30/2024,1,17:15,Chuck Clemons,P&R BH,,4 Chuck Clemons > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
11,Connor Williams,,,,2FGM,Make 2 Pts,00:00:28.0,,,St. John Fisher Cardinals,RPI@SJC,12/30/2024,1,16:50,Connor Williams,"P&R BH, P&R Roll Man",,10 Eric Kegler > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 50 Connor Williams > P&R Roll Man > Pick and Pops > Drives Right > Dribble Jumper > Short to < 17' > Make 2 Pts
12,Avery Eugster,,,,Foul,Foul,00:00:27.5,,,Rensselaer Polytechnic,RPI@SJC,12/30/2024,1,16:25,"Connor Williams, Avery Eugster",P&R BH,,12 Avery Eugster > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Foul
13,Avery Eugster,,,,FTM,Free Throw,00:00:05.2,,,Rensselaer Polytechnic,RPI@SJC,12/30/2024,1,,Avery Eugster,,,12 Avery Eugster > Non Possession > Free Throw
14,Avery Eugster,,,,FTM,Free Throw,00:00:06.3,,,Rensselaer Polytechnic,RPI@SJC,12/30/2024,1,,Avery Eugster,,,12 Avery Eugster > Non Possession > Free Throw
15,Maxwell Schneider,,,,Turnover,Turnover,00:00:10.5,,,St. John Fisher Cardinals,RPI@SJC,12/30/2024,1,16:14,Maxwell Schneider,P&R BH,,1 Maxwell Schneider > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Turnover
16,Andrew Deppe,,,,"3FGm, Foul",Miss 3 Pts,00:00:25.7,,,Rensselaer Polytechnic,RPI@SJC,12/30/2024,1,15:55,"Andrew Deppe, Eric Kegler","P&R BH, P&R Roll Man",,12 Avery Eugster > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 41 Andrew Deppe > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
