#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Andrew Cowan,,,,"Turnover, Steal",Turnover,00:00:27.7,,,St. Lawrence Saints,RPI@SLS,12/06/2024,1,19:38,"Andrew Cowan, PJ Scalisi",Post Up,,24 Andrew Cowan > Post-Up > Left Block > Post Pin > Defense Commits > Turnover
2,PJ Scalisi,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:29.3,,,Rensselaer Polytechnic,RPI@SLS,12/06/2024,1,19:15,"PJ Scalisi, Adam Dudzinski",Spot Up,,23 PJ Scalisi > Spot-Up > Drives Right > To Basket > Miss 2 Pts
3,Andrew Cowan,,,,"Turnover, Steal",Turnover,00:00:20.1,,,St. Lawrence Saints,RPI@SLS,12/06/2024,1,18:54,"Andrew Cowan, Dylan Matchett",Post Up,,24 Andrew Cowan > Post-Up > Flash Middle > Turnover
4,Chuck Clemons,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.3,,,Rensselaer Polytechnic,RPI@SLS,12/06/2024,1,18:44,"Chuck Clemons, Gavin Macaulay",Spot Up,,4 Chuck Clemons > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
5,Aiden Macaulay,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:30.9,,,St. Lawrence Saints,RPI@SLS,12/06/2024,1,18:20,"Aiden Macaulay, Dylan Matchett",Handoff,,23 Aiden Macaulay > Hand Off > From Dribble > Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
6,Andrew Deppe,,,,"2FGM, Assist",Make 2 Pts,00:00:17.3,,,Rensselaer Polytechnic,RPI@SLS,12/06/2024,1,18:08,"Andrew Deppe, Avery Eugster",Cut,,41 Andrew Deppe > Cut > Flash > Make 2 Pts
7,Gavin Macaulay,,,,2FGm,Miss 2 Pts,00:00:30.4,,,St. Lawrence Saints,RPI@SLS,12/06/2024,1,17:38,Gavin Macaulay,Off Screen,,13 Gavin Macaulay > Off Screen > To Shooter's Right > Straight > Dribble Jumper > Short to < 17' > Miss 2 Pts
8,Aiden Macaulay,,,,Off Reb,Run Offense,00:00:10.5,,,St. Lawrence Saints,RPI@SLS,12/06/2024,1,,Aiden Macaulay,Off Reb,,23 Aiden Macaulay > Offensive Rebound > Short > Run Offense
9,Aiden Macaulay,,,,Foul,Foul,00:00:15.9,,,St. Lawrence Saints,RPI@SLS,12/06/2024,1,17:27,"Dylan Matchett, Aiden Macaulay",P&R BH,,23 Aiden Macaulay > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Foul
10,Aiden Macaulay,,,,FTm,Free Throw,00:00:07.3,,,St. Lawrence Saints,RPI@SLS,12/06/2024,1,,Aiden Macaulay,,,23 Aiden Macaulay > Non Possession > Free Throw
11,Aiden Macaulay,,,,FTM,Free Throw,00:00:06.4,,,St. Lawrence Saints,RPI@SLS,12/06/2024,1,,Aiden Macaulay,,,23 Aiden Macaulay > Non Possession > Free Throw
12,Dylan Matchett,,,,3FGm,Miss 3 Pts,00:00:31.5,,,Rensselaer Polytechnic,RPI@SLS,12/06/2024,1,16:59,Dylan Matchett,Spot Up,,32 Dylan Matchett > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
13,Dylan Matchett,,,,Off Reb,Run Offense,00:00:08.5,,,Rensselaer Polytechnic,RPI@SLS,12/06/2024,1,,Dylan Matchett,Off Reb,,32 Dylan Matchett > Offensive Rebound > Long > Run Offense
14,PJ Scalisi,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.7,,,Rensselaer Polytechnic,RPI@SLS,12/06/2024,1,16:52,"PJ Scalisi, Dan Anderson",Spot Up,,23 PJ Scalisi > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
