#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Nathan Denham,,,,"2FGM, Assist",Make 2 Pts,00:00:23.5,,,Vassar Brewers,RPI@VC,01/17/2025,1,19:41,"Nathan Denham, Kreekor Karageuzian",Cut,,22 Nathan Denham > Cut > Basket > Make 2 Pts
2,Andrew Deppe,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:11.3,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,19:26,"Andrew Deppe, Nathan Denham, Kreekor Karageuzian",Post Up,,41 Andrew Deppe > Post-Up > Left Block > Face-up > Drive Baseline > Miss 2 Pts
3,Shea Fitzgerald,,,,"2FGM, Assist",Make 2 Pts,00:00:12.6,,,Vassar Brewers,RPI@VC,01/17/2025,1,19:26,"Nathan Denham, Shea Fitzgerald",Transition,,3 Shea Fitzgerald > Transition > Right Wing > To Basket > Make 2 Pts
4,Avery Eugster,,,,2FGM,Make 2 Pts,00:00:10.7,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,19:26,Avery Eugster,Post Up,,12 Avery Eugster > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Make 2 Pts
5,Nathan Denham,,,,"2FGM, Assist",Make 2 Pts,00:00:13.1,,,Vassar Brewers,RPI@VC,01/17/2025,1,18:49,"Nathan Denham, Shea Fitzgerald","P&R BH, P&R Roll Man",,3 Shea Fitzgerald > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 22 Nathan Denham > P&R Roll Man > Rolls to Basket > Make 2 Pts
6,Avery Eugster,,,,,No Violation,00:00:22.3,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,,Avery Eugster,,,12 Avery Eugster > Non Possession > No Violation
7,PJ Scalisi,,,,,Shot Clock Violation,00:00:19.7,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,,PJ Scalisi,,,23 PJ Scalisi > Non Possession > Shot Clock Violation
8,Shea Fitzgerald,,,,"Turnover, Steal",Turnover,00:00:10.0,,,Vassar Brewers,RPI@VC,01/17/2025,1,18:02,"Shea Fitzgerald, PJ Scalisi",Spot Up,,3 Shea Fitzgerald > Spot-Up > Drives Left > Turnover
9,Chuck Clemons,,,,"Turnover, Steal",Turnover,00:00:12.5,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,17:53,"Chuck Clemons, Nathan Denham",,,4 Chuck Clemons > No Play Type > Turnover
10,Avery Lee,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:22.6,,,Vassar Brewers,RPI@VC,01/17/2025,1,17:36,"Avery Lee, Chuck Clemons",P&R BH,,2 Avery Lee > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts
11,Avery Eugster,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:19.7,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,17:22,"Avery Eugster, Nathan Denham",Cut,,12 Avery Eugster > Cut > Flash > Miss 2 Pts
12,Avery Lee,,,,Turnover,Turnover,00:00:14.4,,,Vassar Brewers,RPI@VC,01/17/2025,1,17:13,Avery Lee,P&R BH,,2 Avery Lee > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Turnover
13,Dylan Matchett,,,,3FGm,Miss 3 Pts,00:00:19.9,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,16:57,Dylan Matchett,Spot Up,,32 Dylan Matchett > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
14,Chuck Clemons,,,,Off Reb,Run Offense,00:00:08.6,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,,Chuck Clemons,Off Reb,,4 Chuck Clemons > Offensive Rebound > Long > Run Offense
15,Dylan Matchett,,,,"Turnover, Steal",Turnover,00:00:23.0,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,16:38,"Dylan Matchett, Avery Lee",P&R BH,,32 Dylan Matchett > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover
16,Shea Fitzgerald,,,,"3FGM, Assist",Make 3 Pts,00:00:24.5,,,Vassar Brewers,RPI@VC,01/17/2025,1,16:18,"Shea Fitzgerald, Avery Lee","P&R BH, P&R Roll Man",,2 Avery Lee > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 3 Shea Fitzgerald > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
17,Dylan Matchett,,,,,No Violation,00:00:05.1,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,,Dylan Matchett,,,32 Dylan Matchett > Non Possession > No Violation
18,Chuck Clemons,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:33.1,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,15:41,"Chuck Clemons, Luke Adams",P&R BH,,4 Chuck Clemons > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts
19,Shea Fitzgerald,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:11.6,,,Vassar Brewers,RPI@VC,01/17/2025,1,15:28,"Shea Fitzgerald, Chuck Clemons",Off Screen,,3 Shea Fitzgerald > Off Screen > To Shooter's Right > Straight > To Basket > Miss 2 Pts
20,Dylan Matchett,,,,"3FGM, Assist",Make 3 Pts,00:00:14.1,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,15:20,"Dylan Matchett, PJ Scalisi",Spot Up,,32 Dylan Matchett > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
21,Shea Fitzgerald,,,,"3FGM, Assist",Make 3 Pts,00:00:21.3,,,Vassar Brewers,RPI@VC,01/17/2025,1,14:57,"Shea Fitzgerald, Kreekor Karageuzian","P&R BH, Spot Up",,4 Kreekor Karageuzian > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Shea Fitzgerald > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
22,Avery Eugster,,,,2FGM,Make 2 Pts,00:00:19.2,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,14:32,Avery Eugster,Post Up,,12 Avery Eugster > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Make 2 Pts
23,Nathan Denham,,,,"2FGM, Assist",Make 2 Pts,00:00:22.3,,,Vassar Brewers,RPI@VC,01/17/2025,1,14:11,"Shea Fitzgerald, Nathan Denham","Iso, Cut",,3 Shea Fitzgerald > ISO > Top > Drives Right > Defense Commits > Ball Delivered > 22 Nathan Denham > Cut > Basket > Make 2 Pts
24,Chuck Clemons,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:29.2,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,13:38,"Chuck Clemons, Shea Fitzgerald",P&R BH,,4 Chuck Clemons > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
25,Luke Adams,,,,"3FGM, Assist",Make 3 Pts,00:00:18.9,,,Vassar Brewers,RPI@VC,01/17/2025,1,13:27,"Luke Adams, Nathan Denham",Spot Up,,23 Luke Adams > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
26,Andrew Deppe,,,,"Foul, Turnover",Turnover,00:00:14.3,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,13:07,Andrew Deppe,,,41 Andrew Deppe > No Play Type > Turnover
27,Sebastian Medina,,,,,No Violation,00:00:14.3,,,Vassar Brewers,RPI@VC,01/17/2025,1,,Sebastian Medina,,,5 Sebastian Medina > Non Possession > No Violation
28,Shea Fitzgerald,,,,Foul,Foul,00:00:19.1,,,Vassar Brewers,RPI@VC,01/17/2025,1,12:42,"Avery Eugster, Shea Fitzgerald",P&R BH,,3 Shea Fitzgerald > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Foul
29,Shea Fitzgerald,,,,FTM,Free Throw,00:00:06.9,,,Vassar Brewers,RPI@VC,01/17/2025,1,,Shea Fitzgerald,,,3 Shea Fitzgerald > Non Possession > Free Throw
30,Shea Fitzgerald,,,,FTM,Free Throw,00:00:07.0,,,Vassar Brewers,RPI@VC,01/17/2025,1,,Shea Fitzgerald,,,3 Shea Fitzgerald > Non Possession > Free Throw
31,Dylan Matchett,,,,"Turnover, Steal",Turnover,00:00:23.9,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,12:20,"Dylan Matchett, Sebastian Medina",,,32 Dylan Matchett > No Play Type > Turnover
32,Avery Lee,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:26.2,,,Vassar Brewers,RPI@VC,01/17/2025,1,11:53,"Avery Lee, PJ Scalisi",P&R BH,,2 Avery Lee > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts
33,Tucker Tharpe,,,,"2FGM, Assist",Make 2 Pts,00:00:22.1,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,11:31,"Tucker Tharpe, Pat White",Post Up,,35 Tucker Tharpe > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Make 2 Pts
34,Alex Walters,,,,3FGm,Miss 3 Pts,00:00:28.6,,,Vassar Brewers,RPI@VC,01/17/2025,1,11:01,Alex Walters,Spot Up,,33 Alex Walters > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
35,JP Miranda,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:09.2,,,Vassar Brewers,RPI@VC,01/17/2025,1,10:56,"JP Miranda, Tucker Tharpe",Spot Up,,0 JP Miranda > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
36,PJ Scalisi,,,,2FGm,Miss 2 Pts,00:00:37.2,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,10:26,PJ Scalisi,Spot Up,,23 PJ Scalisi > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
37,Yechiel Stewart,,,,Off Reb,Run Offense,00:00:10.1,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,,Yechiel Stewart,Off Reb,,22 Yechiel Stewart > Offensive Rebound > Short > Run Offense
38,Yechiel Stewart,,,,,Shot Clock Violation,00:00:10.1,,,Rensselaer Polytechnic,RPI@VC,01/17/2025,1,,Yechiel Stewart,,,22 Yechiel Stewart > Non Possession > Shot Clock Violation
