#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Aidan Roy,,,,2FGm,Miss 2 Pts,00:00:24.7,,,Skidmore Thoroughbreds,SKD@CU,12/06/2024,1,19:42,Aidan Roy,Off Screen,,15 Aidan Roy > Off Screen > To Shooter's Right > Straight > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
2,Alexei Downie,,,,Off Reb,Run Offense,00:00:06.7,,,Skidmore Thoroughbreds,SKD@CU,12/06/2024,1,,Alexei Downie,Off Reb,,4 Alexei Downie > Offensive Rebound > Short > Run Offense
3,Hakeem Daphnis,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:16.3,,,Skidmore Thoroughbreds,SKD@CU,12/06/2024,1,19:32,"Hakeem Daphnis, Steve DeRegis","P&R BH, Spot Up",,15 Aidan Roy > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Hakeem Daphnis > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
4,Braeden Burns,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:26.5,,,Clarkson University Golden Knights,SKD@CU,12/06/2024,1,19:11,"Braeden Burns, Alexei Downie",Spot Up,,24 Braeden Burns > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
5,Charlie Fantom,,,,Turnover,Turnover,00:00:08.6,,,Skidmore Thoroughbreds,SKD@CU,12/06/2024,1,19:02,Charlie Fantom,P&R BH,,5 Charlie Fantom > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Turnover
6,Lorenzo Rappa,,,,"3FGM, Assist",Make 3 Pts,00:00:25.3,,,Clarkson University Golden Knights,SKD@CU,12/06/2024,1,18:40,"Lorenzo Rappa, Finn Cork",P&R BH,,0 Lorenzo Rappa > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts
7,Alexei Downie,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:13.3,,,Skidmore Thoroughbreds,SKD@CU,12/06/2024,1,18:22,"Alexei Downie, Jack Dalgety",Cut,,4 Alexei Downie > Cut > Screen > Miss 2 Pts
8,Braeden Burns,,,,Foul,Foul,00:00:22.9,,,,SKD@CU,12/06/2024,1,17:58,Alexei Downie,,,24 Braeden Burns > No Play Type > To Basket > Foul
9,Braeden Burns,,,,FTM,Free Throw,00:00:09.2,,,Clarkson University Golden Knights,SKD@CU,12/06/2024,1,,Braeden Burns,,,24 Braeden Burns > Non Possession > Free Throw
10,Braeden Burns,,,,FTM,Free Throw,00:00:08.1,,,Clarkson University Golden Knights,SKD@CU,12/06/2024,1,,Braeden Burns,,,24 Braeden Burns > Non Possession > Free Throw
