#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Aidan Roy,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:22.8,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,19:43,"Aidan Roy, Pete Boyle",Handoff,,15 Aidan Roy > Hand Off > From Dribble > Top > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
2,Pete Boyle,,,,"2FGM, Assist",Make 2 Pts,00:00:13.3,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,19:26,"Pete Boyle, Peyton Mullarkey","P&R BH, Cut",,11 Peyton Mullarkey > P&R Ball Handler > High P&R > Defense Commits > Ball Delivered > 44 Pete Boyle > Cut > Basket > Make 2 Pts
3,Alexei Downie,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:27.1,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,18:56,"Alexei Downie, Ty Bergman",Spot Up,,4 Alexei Downie > Spot-Up > Drives Left > To Basket > Miss 2 Pts
4,Pete Boyle,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:17.8,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,18:47,"Pete Boyle, Aidan Roy","P&R BH, Spot Up",,11 Peyton Mullarkey > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 44 Pete Boyle > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
5,Charlie Fantom,,,,"2FGM, Assist",Make 2 Pts,00:00:11.6,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,18:40,"Charlie Fantom, Aidan Roy",Transition,,5 Charlie Fantom > Transition > Leak Outs > To Basket > Make 2 Pts
6,Lind Sam,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:15.5,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,18:19,"Lind Sam, Joey Skoric",Handoff,,10 Lind Sam > Hand Off > From Stationary > Right > To Basket > Miss 2 Pts
7,Charlie Fantom,,,,2FGm,Miss 2 Pts,00:00:27.5,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,18:01,Charlie Fantom,"Post Up, Spot Up",,4 Alexei Downie > Post-Up > Right Block > Defense Commits > Ball Delivered > 5 Charlie Fantom > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
8,Lind Sam,,,,"3FGM, Assist",Make 3 Pts,00:00:14.4,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,17:40,"Lind Sam, Peyton Mullarkey","P&R BH, Spot Up",,11 Peyton Mullarkey > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 10 Lind Sam > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
9,Joey  Skoric,,,,2FGM,Make 2 Pts,00:00:14.2,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,17:19,Joey Skoric,"Iso, Spot Up",,15 Aidan Roy > ISO > Right > Drives Left > Defense Commits > Ball Delivered > 14 Joey Skoric > Spot-Up > Drives Left > To Basket > Make 2 Pts
10,Pete Boyle,,,,"3FGM, Assist",Make 3 Pts,00:00:08.9,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,17:06,"Pete Boyle, Peyton Mullarkey","P&R BH, P&R Roll Man",,11 Peyton Mullarkey > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 44 Pete Boyle > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
11,Charlie Fantom,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:13.6,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,16:51,"Charlie Fantom, Peyton Mullarkey",P&R BH,,5 Charlie Fantom > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Miss 2 Pts
12,Ty Bergman,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:18.1,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,16:38,"Ty Bergman, Joey Skoric",Spot Up,,21 Ty Bergman > Spot-Up > Drives Left > To Basket > Miss 2 Pts
13,Hakeem Daphnis,,,,2FGM,Make 2 Pts,00:00:16.5,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,16:20,Hakeem Daphnis,P&R BH,,23 Hakeem Daphnis > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
14,Pete Boyle,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:14.1,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,16:03,"Pete Boyle, Joey Skoric",Spot Up,,44 Pete Boyle > Spot-Up > Drives Right > To Basket > Miss 2 Pts
15,Ty Bergman,,,,"2FGM, Assist",Make 2 Pts,00:00:09.5,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,15:56,"Ty Bergman, Lind Sam",Cut,,21 Ty Bergman > Cut > Screen > Make 2 Pts
16,Aidan Roy,,,,2FGM,Make 2 Pts,00:00:24.9,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,15:26,Aidan Roy,Iso,,15 Aidan Roy > ISO > Top > Drives Right > To Basket > Make 2 Pts
17,Ty Bergman,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:20.6,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,15:00,"Ty Bergman, Charlie Fantom","P&R BH, Spot Up",,11 Peyton Mullarkey > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Ty Bergman > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
18,Alexei Downie,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:27.8,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,14:37,"Alexei Downie, Joe Cookson",Post Up,,4 Alexei Downie > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Miss 2 Pts
19,Joe Cookson,,,,,No Violation,00:00:12.9,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,,Joe Cookson,,,5 Joe Cookson > Non Possession > No Violation
20,Matthew Diekmann,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.2,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,14:22,"Matthew Diekmann, Charlie Fantom","P&R BH, Spot Up",,15 Samir Obrien > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Matthew Diekmann > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
21,Charlie Fantom,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:24.5,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,14:04,"Charlie Fantom, Joe Cookson",P&R BH,,5 Charlie Fantom > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
22,Joe Cookson,,,,2FGm,Miss 2 Pts,00:00:14.8,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,13:58,Joe Cookson,Transition,,5 Joe Cookson > Transition > Ballhandler > To Basket > Miss 2 Pts
23,Ty Bergman,,,,"2FGM, Assist",Make 2 Pts,00:00:18.9,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,13:46,"Ty Bergman, Samir Obrien",Post Up,,21 Ty Bergman > Post-Up > Left Block > Left Shoulder > Dribble Move > To Hook > Make 2 Pts
24,Jake Walsh,,,,2FGm,Miss 2 Pts,00:00:20.3,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,13:29,Jake Walsh,P&R BH,,10 Jake Walsh > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
25,Joe Cookson,,,,Foul,Non Shooting Foul,00:00:13.3,,,,SKD@PPC,01/04/2025,1,,Aidan Roy,,,5 Joe Cookson > Non Possession > Non Shooting Foul
26,Samir Obrien,,,,2FGm,Miss 2 Pts,00:00:21.7,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,12:56,Samir Obrien,P&R BH,,15 Samir Obrien > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > To Basket > Miss 2 Pts
27,Ty Bergman,,,,"Off Reb, Foul",Run Offense,00:00:09.1,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,,"Ty Bergman, Jack LaGarde",Off Reb,,21 Ty Bergman > Offensive Rebound > Short > Run Offense
28,Owen Avdalovic,,,,Foul,Non Shooting Foul,00:00:04.9,,,,SKD@PPC,01/04/2025,1,,Jack LaGarde,,,14 Owen Avdalovic > Non Possession > Non Shooting Foul
29,Matthew Diekmann,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:11.3,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,12:46,"Matthew Diekmann, Nick Padilla",Off Screen,,12 Matthew Diekmann > Off Screen > To Shooter's Left > Straight > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
30,Nick Padilla,,,,"Turnover, Steal",Turnover,00:00:12.9,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,12:39,"Nick Padilla, Samir Obrien",P&R BH,,3 Nick Padilla > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover
31,Peyton Mullarkey,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:17.5,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,12:29,"Peyton Mullarkey, Jack LaGarde",Spot Up,,11 Peyton Mullarkey > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts
32,Jack LaGarde,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:18.7,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,12:15,"Jack LaGarde, Owen Avdalovic","P&R BH, P&R Roll Man",,3 Nick Padilla > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 32 Jack LaGarde > P&R Roll Man > Rolls to Basket > Miss 2 Pts
33,Owen Avdalovic,,,,"3FGM, Assist",Make 3 Pts,00:00:15.5,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,12:06,"Owen Avdalovic, Matthew Diekmann",Transition,,14 Owen Avdalovic > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
34,Fumani Sithole,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:17.6,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,11:41,"Fumani Sithole, Samir Obrien",Spot Up,,12 Fumani Sithole > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
35,Owen Avdalovic,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:15.8,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,11:33,"Owen Avdalovic, Jack LaGarde",Transition,,14 Owen Avdalovic > Transition > First Middle > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
36,Nick Padilla,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:09.5,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,11:21,"Nick Padilla, Pete Boyle",P&R BH,,3 Nick Padilla > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
37,Owen Avdalovic,,,,3FGm,Miss 3 Pts,00:00:28.3,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,10:58,Owen Avdalovic,"P&R BH, Spot Up",,11 Peyton Mullarkey > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 14 Owen Avdalovic > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
38,Joey  Skoric,,,,,No Violation,00:00:06.9,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,,Joey Skoric,,,14 Joey Skoric > Non Possession > No Violation
39,Jack LaGarde,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:22.3,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,10:34,"Jack LaGarde, Pete Boyle","P&R BH, P&R Roll Man",,3 Nick Padilla > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 32 Jack LaGarde > P&R Roll Man > Rolls to Basket > Miss 2 Pts
40,Pete Boyle,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:27.3,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,10:12,"Pete Boyle, Jack LaGarde",Spot Up,,44 Pete Boyle > Spot-Up > Drives Right > To Basket > Miss 2 Pts
41,Harry Luo,,,,2FGM,Make 2 Pts,00:00:22.1,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,9:55,Harry Luo,P&R BH,,24 Harry Luo > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > To Basket > Make 2 Pts
42,Matthew Diekmann,,,,2FGm,Miss 2 Pts,00:00:10.5,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,9:46,Matthew Diekmann,Transition,,12 Matthew Diekmann > Transition > Ballhandler > To Basket > Miss 2 Pts
43,Pete Boyle,,,,,No Violation,00:00:18.4,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,,Pete Boyle,,,44 Pete Boyle > Non Possession > No Violation
44,Peyton Mullarkey,,,,2FGm,Miss 2 Pts,00:00:10.6,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,9:28,Peyton Mullarkey,Cut,,11 Peyton Mullarkey > Cut > Basket > Miss 2 Pts
45,Joe Cookson,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:13.1,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,9:22,"Joe Cookson, Charlie Weisberg",Post Up,,5 Joe Cookson > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Miss 2 Pts
46,Nick Padilla,,,,"3FGM, Assist",Make 3 Pts,00:00:27.8,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,9:00,"Nick Padilla, Hakeem Daphnis","P&R BH, Spot Up",,23 Hakeem Daphnis > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Nick Padilla > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
47,Joe Cookson,,,,3FGm,Miss 3 Pts,00:00:15.5,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,8:39,Joe Cookson,"P&R BH, Spot Up",,11 Peyton Mullarkey > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Joe Cookson > Spot-Up > Drives Straight > Dribble Jumper > Long/3pt > Miss 3 Pts
48,Pete Boyle,,,,Off Reb,Run Offense,00:00:08.2,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,,Pete Boyle,Off Reb,,44 Pete Boyle > Offensive Rebound > Long > Run Offense
49,Joe Cookson,,,,"3FGM, Assist",Make 3 Pts,00:00:10.9,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,8:34,"Joe Cookson, Pete Boyle",Spot Up,,5 Joe Cookson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
50,Alexei Downie,,,,"Foul, Turnover",Turnover,00:00:10.8,,,Skidmore Thoroughbreds,SKD@PPC,01/04/2025,1,8:22,Alexei Downie,,,4 Alexei Downie > No Play Type > Turnover
51,Ty Bergman,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:17.9,,,Pomona-Pitzer Saghens,SKD@PPC,01/04/2025,1,8:05,"Ty Bergman, Charlie Weisberg","P&R BH, P&R Roll Man",,5 Joe Cookson > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Ty Bergman > P&R Roll Man > Rolls to Basket > Miss 2 Pts
