#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Charlie Fantom,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:15.1,,,Skidmore Thoroughbreds,SKD@SLS,12/07/2024,1,19:52,"Charlie Fantom, Dan Anderson",Spot Up,,5 Charlie Fantom > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
2,Gavin Macaulay,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:24.9,,,St. Lawrence Saints,SKD@SLS,12/07/2024,1,19:27,"Gavin Macaulay, Alexei Downie","P&R BH, Spot Up",,23 Aiden Macaulay > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Gavin Macaulay > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
3,Charlie Fantom,,,,"3FGM, Assist",Make 3 Pts,00:00:28.7,,,Skidmore Thoroughbreds,SKD@SLS,12/07/2024,1,19:02,"Charlie Fantom, Hakeem Daphnis",Spot Up,,5 Charlie Fantom > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
4,Gavin Macaulay,,,,2FGm,Miss 2 Pts,00:00:22.5,,,St. Lawrence Saints,SKD@SLS,12/07/2024,1,18:40,Gavin Macaulay,Off Screen,,13 Gavin Macaulay > Off Screen > To Shooter's Right > Straight > Dribble Jumper > Short to < 17' > Miss 2 Pts
5,Dan Anderson,,,,Off Reb,Run Offense,00:00:07.5,,,St. Lawrence Saints,SKD@SLS,12/07/2024,1,,Dan Anderson,Off Reb,,10 Dan Anderson > Offensive Rebound > Long > Run Offense
6,Gavin Macaulay,,,,"3FGM, Assist",Make 3 Pts,00:00:12.3,,,St. Lawrence Saints,SKD@SLS,12/07/2024,1,18:33,"Gavin Macaulay, Aiden Macaulay",Spot Up,,13 Gavin Macaulay > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
7,Joey  Skoric,,,,"2FGM, Assist",Make 2 Pts,00:00:11.9,,,Skidmore Thoroughbreds,SKD@SLS,12/07/2024,1,18:16,"Joey Skoric, Aidan Roy",Cut,,14 Joey Skoric > Cut > Flash > Make 2 Pts
8,Gavin Macaulay,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:10.7,,,St. Lawrence Saints,SKD@SLS,12/07/2024,1,18:02,"Gavin Macaulay, Alexei Downie",Transition,,13 Gavin Macaulay > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
9,Charlie Fantom,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:11.5,,,Skidmore Thoroughbreds,SKD@SLS,12/07/2024,1,17:48,"Charlie Fantom, Andrew Cowan",Spot Up,,5 Charlie Fantom > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
10,Adam Dudzinski,,,,"2FGM, Assist",Make 2 Pts,00:00:22.1,,,St. Lawrence Saints,SKD@SLS,12/07/2024,1,17:34,"Adam Dudzinski, Andrew Cowan",Handoff,,33 Adam Dudzinski > Hand Off > From Dribble > Top > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
11,Aidan Roy,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:25.7,,,Skidmore Thoroughbreds,SKD@SLS,12/07/2024,1,17:07,"Aidan Roy, Aiden Macaulay",Cut,,15 Aidan Roy > Cut > Flash > Miss 2 Pts
12,Andrew Cowan,,,,2FGm,Miss 2 Pts,00:00:11.9,,,St. Lawrence Saints,SKD@SLS,12/07/2024,1,17:00,Andrew Cowan,Transition,,24 Andrew Cowan > Transition > Leak Outs > To Basket > Miss 2 Pts
13,Hakeem Daphnis,,,,"3FGM, Assist",Make 3 Pts,00:00:14.9,,,Skidmore Thoroughbreds,SKD@SLS,12/07/2024,1,16:44,"Hakeem Daphnis, Charlie Fantom",Spot Up,,23 Hakeem Daphnis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
14,Dan Anderson,,,,Foul,Non Shooting Foul,00:00:15.3,,,,SKD@SLS,12/07/2024,1,,Alexei Downie,,,10 Dan Anderson > Non Possession > Non Shooting Foul
