#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Hakeem Daphnis,,,,2FGm,Miss 2 Pts,00:00:31.8,,,Skidmore Thoroughbreds,SKD@UNY,01/11/2025,1,19:35,Hakeem Daphnis,Spot Up,,23 Hakeem Daphnis > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
2,Jack LaGarde,,,,"2FGM, Off Reb",Make 2 Pts,00:00:06.8,,,Skidmore Thoroughbreds,SKD@UNY,01/11/2025,1,19:35,Jack LaGarde,Off Reb,,32 Jack LaGarde > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
3,Brendan Reid,,,,"3FGM, Assist",Make 3 Pts,00:00:11.9,,,Union (NY) Chargers,SKD@UNY,01/11/2025,1,19:19,"Brendan Reid, Tanner Tedesco",Transition,,32 Brendan Reid > Transition > Trailer > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
4,Aidan Roy,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.7,,,Skidmore Thoroughbreds,SKD@UNY,01/11/2025,1,19:07,"Aidan Roy, Matthew Garside",P&R BH,,15 Aidan Roy > P&R Ball Handler > High P&R > Takes Early Jump Shot > Dribble Jumper > Long/3pt > Miss 3 Pts
5,Christian Dufort,,,,"3FGM, Assist",Make 3 Pts,00:00:11.9,,,Union (NY) Chargers,SKD@UNY,01/11/2025,1,19:00,"Christian Dufort, Tanner Tedesco",Transition,,24 Christian Dufort > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
6,Aidan Roy,,,,Foul,Foul,00:00:11.3,,,Skidmore Thoroughbreds,SKD@UNY,01/11/2025,1,18:45,"Tanner Tedesco, Aidan Roy",Post Up,,15 Aidan Roy > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Foul
7,Aidan Roy,,,,FTM,Free Throw,00:00:06.9,,,Skidmore Thoroughbreds,SKD@UNY,01/11/2025,1,,Aidan Roy,,,15 Aidan Roy > Non Possession > Free Throw
8,Aidan Roy,,,,FTM,Free Throw,00:00:06.5,,,Skidmore Thoroughbreds,SKD@UNY,01/11/2025,1,,Aidan Roy,,,15 Aidan Roy > Non Possession > Free Throw
9,Matthew Garside,,,,2FGm,Miss 2 Pts,00:00:27.4,,,Union (NY) Chargers,SKD@UNY,01/11/2025,1,18:25,Matthew Garside,P&R BH,,12 Matthew Garside > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
10,Brendan Reid,,,,"2FGM, Off Reb, Foul",1 Pts,00:00:08.1,,,Union (NY) Chargers,SKD@UNY,01/11/2025,1,18:25,"Brendan Reid, Charlie Fantom",Off Reb,,32 Brendan Reid > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts Foul > 1 Pts
