#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Shea Fitzgerald,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:20.1,,,Vassar Brewers,SKD@VC,01/21/2025,1,19:44,"Shea Fitzgerald, Charlie Fantom",Iso,,3 Shea Fitzgerald > ISO > Right > Early Jumper > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
2,Charlie Fantom,,,,Turnover,Turnover,00:00:20.3,,,Skidmore Thoroughbreds,SKD@VC,01/21/2025,1,19:29,Charlie Fantom,Spot Up,,5 Charlie Fantom > Spot-Up > Drives Left > Turnover
3,Kreekor Karageuzian,,,,"Turnover, Steal",Turnover,00:00:14.5,,,Vassar Brewers,SKD@VC,01/21/2025,1,19:15,"Kreekor Karageuzian, Jack LaGarde",Off Screen,,4 Kreekor Karageuzian > Off Screen > To Shooter's Right > Straight > Turnover
4,Charlie Fantom,,,,Turnover,Turnover,00:00:19.7,,,Skidmore Thoroughbreds,SKD@VC,01/21/2025,1,19:03,Charlie Fantom,Spot Up,,5 Charlie Fantom > Spot-Up > Drives Left > Turnover
5,Nathan Denham,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:20.5,,,Vassar Brewers,SKD@VC,01/21/2025,1,18:49,"Nathan Denham, Joey Skoric","P&R BH, P&R Roll Man",,2 Avery Lee > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 22 Nathan Denham > P&R Roll Man > Rolls to Basket > Miss 2 Pts
6,Jack LaGarde,,,,2FGM,Make 2 Pts,00:00:30.5,,,Skidmore Thoroughbreds,SKD@VC,01/21/2025,1,18:22,Jack LaGarde,Post Up,,32 Jack LaGarde > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Make 2 Pts
7,Kreekor Karageuzian,,,,Foul,Non Shooting Foul,00:00:17.6,,,,SKD@VC,01/21/2025,1,,Jack LaGarde,,,4 Kreekor Karageuzian > Non Possession > Non Shooting Foul
8,Sebastian Medina,,,,Turnover,Turnover,00:00:19.5,,,Vassar Brewers,SKD@VC,01/21/2025,1,17:59,Sebastian Medina,Spot Up,,5 Sebastian Medina > Spot-Up > Drives Right > Turnover
9,Charlie Fantom,,,,"3FGM, Assist",Make 3 Pts,00:00:22.5,,,Skidmore Thoroughbreds,SKD@VC,01/21/2025,1,17:41,"Charlie Fantom, Jack LaGarde","Post Up, Spot Up",,32 Jack LaGarde > Post-Up > Right Block > Defense Commits > Ball Delivered > 5 Charlie Fantom > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
10,Kreekor Karageuzian,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:19.2,,,Vassar Brewers,SKD@VC,01/21/2025,1,17:23,"Kreekor Karageuzian, Joey Skoric","P&R BH, Spot Up",,2 Avery Lee > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 4 Kreekor Karageuzian > Spot-Up > Drives Left > To Basket > Miss 2 Pts
11,Hakeem Daphnis,,,,"2FGM, 2FGm, Off Reb",Miss 2 Pts,00:00:35.5,,,Skidmore Thoroughbreds,SKD@VC,01/21/2025,1,16:53,"Hakeem Daphnis, Jack LaGarde",Spot Up,,23 Hakeem Daphnis > Spot-Up > Drives Right > To Basket > Miss 2 Pts
12,Avery Lee,,,,Foul,Foul,00:00:20.9,,,Vassar Brewers,SKD@VC,01/21/2025,1,16:37,"Aidan Roy, Avery Lee",Handoff,,2 Avery Lee > Hand Off > From Dribble > Top > Dribble Jumper > Medium/17' to <3p > Foul
13,Avery Lee,,,,FTM,Free Throw,00:00:04.3,,,Vassar Brewers,SKD@VC,01/21/2025,1,,Avery Lee,,,2 Avery Lee > Non Possession > Free Throw
14,Avery Lee,,,,"FTm, Def Reb",Free Throw,00:00:08.2,,,Vassar Brewers,SKD@VC,01/21/2025,1,,"Charlie Fantom, Avery Lee",,,2 Avery Lee > Non Possession > Free Throw
15,Jack LaGarde,,,,Foul,Non Shooting Foul,00:00:11.4,,,,SKD@VC,01/21/2025,1,,Kreekor Karageuzian,,,32 Jack LaGarde > Non Possession > Non Shooting Foul
16,Joey  Skoric,,,,"Turnover, Steal",Turnover,00:00:13.6,,,Skidmore Thoroughbreds,SKD@VC,01/21/2025,1,16:21,"Joey Skoric, Shea Fitzgerald","Post Up, Cut",,32 Jack LaGarde > Post-Up > Right Block > Defense Commits > Ball Delivered > 14 Joey Skoric > Cut > Basket > Turnover
17,Nathan Denham,,,,"2FGM, Assist",Make 2 Pts,00:00:11.3,,,Vassar Brewers,SKD@VC,01/21/2025,1,16:14,"Nathan Denham, Shea Fitzgerald",Transition,,22 Nathan Denham > Transition > Leak Outs > To Basket > Make 2 Pts
18,Charlie Fantom,,,,"3FGM, Assist",Make 3 Pts,00:00:21.7,,,Skidmore Thoroughbreds,SKD@VC,01/21/2025,1,15:55,"Charlie Fantom, Jack LaGarde","Post Up, Spot Up",,32 Jack LaGarde > Post-Up > Left Block > Defense Commits > Ball Delivered > 5 Charlie Fantom > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
19,Shea Fitzgerald,,,,"3FGM, Assist",Make 3 Pts,00:00:13.4,,,Vassar Brewers,SKD@VC,01/21/2025,1,15:38,"Shea Fitzgerald, Kreekor Karageuzian",Handoff,,3 Shea Fitzgerald > Hand Off > From Dribble > Left > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
20,Joey  Skoric,,,,,No Violation,00:00:12.1,,,Skidmore Thoroughbreds,SKD@VC,01/21/2025,1,,Joey Skoric,,,14 Joey Skoric > Non Possession > No Violation
21,Aidan Roy,,,,3FGM,Make 3 Pts,00:00:10.5,,,Skidmore Thoroughbreds,SKD@VC,01/21/2025,1,15:15,Aidan Roy,Handoff,,15 Aidan Roy > Hand Off > From Stationary > Left > Dribble Jumper > Long/3pt > Make 3 Pts
22,Avery Lee,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:10.8,,,Vassar Brewers,SKD@VC,01/21/2025,1,15:04,"Avery Lee, Charlie Fantom",P&R BH,,2 Avery Lee > P&R Ball Handler > High P&R > Split > To Basket > Miss 2 Pts
23,Hakeem Daphnis,,,,3FGm,Miss 3 Pts,00:00:20.9,,,Skidmore Thoroughbreds,SKD@VC,01/21/2025,1,14:53,Hakeem Daphnis,Transition,,23 Hakeem Daphnis > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
