#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Laz Panagiotounis,,,,"2FGM, Assist",Make 2 Pts,00:00:07.5,,,Bard College,SLS@Bar,01/31/2025,1,19:55,"Rowan Heinze, Laz Panagiotounis",Spot Up,,15 Laz Panagiotounis > Spot-Up > No Dribble Jumper > Open > Medium/17' to <3p > Make 2 Pts
2,Gavin Macaulay,,,,2FGM,Make 2 Pts,00:00:25.6,,,St. Lawrence Saints,SLS@Bar,01/31/2025,1,19:28,Gavin Macaulay,Spot Up,,13 Gavin Macaulay > Spot-Up > Drives Right > To Basket > Make 2 Pts
3,Azriel Almodovar,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:23.7,,,Bard College,SLS@Bar,01/31/2025,1,19:06,"Azriel Almodovar, Gavin Macaulay",Spot Up,,4 Azriel Almodovar > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
4,Adam Dudzinski,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:31.5,,,St. Lawrence Saints,SLS@Bar,01/31/2025,1,18:42,"Adam Dudzinski, Ahmad Rauf",Handoff,,33 Adam Dudzinski > Hand Off > From Dribble > Right > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
5,Laz Panagiotounis,,,,"3FGM, Assist",Make 3 Pts,00:00:33.9,,,Bard College,SLS@Bar,01/31/2025,1,18:13,"Laz Panagiotounis, Ahmad Rauf",Spot Up,,15 Laz Panagiotounis > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Make 3 Pts
6,Aiden Macaulay,,,,"3FGM, Assist",Make 3 Pts,00:00:26.8,,,St. Lawrence Saints,SLS@Bar,01/31/2025,1,17:43,"Aiden Macaulay, Adam Dudzinski",Off Screen,,23 Aiden Macaulay > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
7,Sean Wilcox,,,,3FGm,Miss 3 Pts,00:00:27.0,,,Bard College,SLS@Bar,01/31/2025,1,17:13,Sean Wilcox,Spot Up,,31 Sean Wilcox > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
8,Aiden Macaulay,,,,3FGM,Make 3 Pts,00:00:10.7,,,St. Lawrence Saints,SLS@Bar,01/31/2025,1,17:01,Aiden Macaulay,P&R BH,,23 Aiden Macaulay > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts
9,Ahmad Rauf,,,,"3FGM, Assist",Make 3 Pts,00:00:11.9,,,Bard College,SLS@Bar,01/31/2025,1,16:46,"Ahmad Rauf, Rowan Heinze",Spot Up,,1 Ahmad Rauf > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
10,Gavin Macaulay,,,,2FGM,Make 2 Pts,00:00:22.1,,,St. Lawrence Saints,SLS@Bar,01/31/2025,1,16:20,Gavin Macaulay,Spot Up,,13 Gavin Macaulay > Spot-Up > Drives Left > To Basket > Make 2 Pts
