#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Bruce Saintilus,,,,2FGm,Miss 2 Pts,00:00:33.0,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,19:33,Bruce Saintilus,Cut,,11 Bruce Saintilus > Cut > Flash > Miss 2 Pts
2,Kekoa Mcardle,,,,"2FGM, Off Reb",Make 2 Pts,00:00:09.3,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,19:33,Kekoa Mcardle,Off Reb,,44 Kekoa Mcardle > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
3,Andrew Cowan,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:32.2,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,19:02,"Andrew Cowan, Reid Neumann",Post Up,,24 Andrew Cowan > Post-Up > Left Block > Left Shoulder > Dribble Move > To Hook > Miss 2 Pts
4,Isaiah Taylor,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:16.4,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,18:55,"Isaiah Taylor, Dan Anderson",Transition,,1 Isaiah Taylor > Transition > Ballhandler > To Basket > Miss 2 Pts
5,Andrew Cowan,,,,Turnover,Turnover,00:00:13.7,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,18:48,Andrew Cowan,Transition,,24 Andrew Cowan > Transition > Trailer > Turnover
6,Reid Neumann,,,,"2FGM, Assist",Make 2 Pts,00:00:17.7,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,18:28,"Reid Neumann, Isaiah Taylor",Cut,,13 Reid Neumann > Cut > Flash > Make 2 Pts
7,Gavin Macaulay,,,,"3FGM, Assist",Make 3 Pts,00:00:27.4,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,18:01,"Gavin Macaulay, Andrew Cowan","P&R BH, Spot Up",,33 Adam Dudzinski > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 13 Gavin Macaulay > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
8,Bruce Saintilus,,,,3FGm,Miss 3 Pts,00:00:17.3,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,17:43,Bruce Saintilus,Spot Up,,11 Bruce Saintilus > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
9,Jordan Richard,,,,Off Reb,Run Offense,00:00:10.0,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,,Jordan Richard,Off Reb,,23 Jordan Richard > Offensive Rebound > Long > Run Offense
10,Reid Neumann,,,,"3FGM, Assist",Make 3 Pts,00:00:15.3,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,17:34,"Reid Neumann, Jordan Richard",Spot Up,,13 Reid Neumann > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
11,Aiden Macaulay,,,,Foul,Non Shooting Foul,00:00:26.5,,,,SLS@CLA,12/30/2024,1,,Kekoa Mcardle,,,23 Aiden Macaulay > Non Possession > Non Shooting Foul
12,Andrew Cowan,,,,"2FGM, Assist",Make 2 Pts,00:00:22.1,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,16:51,"Andrew Cowan, Gavin Macaulay","P&R BH, P&R Roll Man",,13 Gavin Macaulay > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 24 Andrew Cowan > P&R Roll Man > Rolls to Basket > Make 2 Pts
13,Kekoa Mcardle,,,,"2FGM, Assist",Make 2 Pts,00:00:15.1,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,16:31,"Kekoa Mcardle, Bruce Saintilus",Cut,,44 Kekoa Mcardle > Cut > Basket > Make 2 Pts
14,Gavin Macaulay,,,,"Turnover, Steal",Turnover,00:00:17.1,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,16:18,"Gavin Macaulay, Isaiah Taylor",Transition,,13 Gavin Macaulay > Transition > Ballhandler > Turnover
15,Jordan Richard,,,,3FGm,Miss 3 Pts,00:00:16.7,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,16:08,Jordan Richard,Spot Up,,23 Jordan Richard > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
16,Reid Neumann,,,,Off Reb,Run Offense,00:00:06.5,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,,Reid Neumann,Off Reb,,13 Reid Neumann > Offensive Rebound > Short > Run Offense
17,Jordan Richard,,,,"3FGM, Assist",Make 3 Pts,00:00:11.8,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,16:02,"Jordan Richard, Isaiah Taylor",Spot Up,,23 Jordan Richard > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
18,Chris Downs Jr.,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:37.6,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,16:00,"Chris Downs Jr., Reid Neumann",Cut,,21 Chris Downs Jr. > Cut > Flash > Miss 2 Pts
19,Isaiah Taylor,,,,"2FGM, Assist",Make 2 Pts,00:00:17.6,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,15:14,"Isaiah Taylor, Jordan Richard",Spot Up,,1 Isaiah Taylor > Spot-Up > Drives Left > To Basket > Make 2 Pts
20,Adam Dudzinski,,,,"3FGM, Assist",Make 3 Pts,00:00:30.4,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,14:43,"Adam Dudzinski, Aiden Macaulay",Off Screen,,33 Adam Dudzinski > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
21,Bruce Saintilus,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.5,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,14:25,"Bruce Saintilus, Adam Dudzinski",P&R BH,,11 Bruce Saintilus > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
22,Aiden Macaulay,,,,Foul,Non Shooting Foul,00:00:11.7,,,,SLS@CLA,12/30/2024,1,,Isaiah Taylor,,,23 Aiden Macaulay > Non Possession > Non Shooting Foul
23,Adam Dudzinski,,,,Foul,Non Shooting Foul,00:00:26.0,,,,SLS@CLA,12/30/2024,1,,Ian Calabrese,,,33 Adam Dudzinski > Non Possession > Non Shooting Foul
24,Aiden Macaulay,,,,,No Violation,00:00:17.9,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,,Aiden Macaulay,,,23 Aiden Macaulay > Non Possession > No Violation
25,Trey Syroka,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:12.7,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,13:48,"Trey Syroka, Jordan Richard, Boluwasefe John",P&R BH,,2 Trey Syroka > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Miss 2 Pts
26,Boluwasefe John,,,,2FGm,Miss 2 Pts,00:00:25.9,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,13:30,Boluwasefe John,Cut,,30 Boluwasefe John > Cut > Basket > Miss 2 Pts
27,Boluwasefe John,,,,"Off Reb, Foul",Foul,00:00:08.5,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,13:30,"Boluwasefe John, Chris Downs Jr.",Off Reb,,30 Boluwasefe John > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul
28,Boluwasefe John,,,,FTM,Free Throw,00:00:05.1,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,,Boluwasefe John,,,30 Boluwasefe John > Non Possession > Free Throw
29,Boluwasefe John,,,,FTM,Free Throw,00:00:04.7,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,,Boluwasefe John,,,30 Boluwasefe John > Non Possession > Free Throw
30,Adam Dudzinski,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:22.4,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,13:13,"Adam Dudzinski, Isaiah Taylor",Spot Up,,33 Adam Dudzinski > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
31,Reid Neumann,,,,"3FGM, Assist",Make 3 Pts,00:00:12.5,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,13:06,"Reid Neumann, Isaiah Taylor",Transition,,13 Reid Neumann > Transition > Right Wing > Dribble Jumper > Long/3pt > Make 3 Pts
32,Gavin Macaulay,,,,2FGm,Miss 2 Pts,00:00:26.3,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,13:05,Gavin Macaulay,Cut,,13 Gavin Macaulay > Cut > Flash > Miss 2 Pts
33,Gavin Macaulay,,,,"Off Reb, Foul",Run Offense,00:00:08.9,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,,"Gavin Macaulay, Isaiah Taylor",Off Reb,,13 Gavin Macaulay > Offensive Rebound > Short > Run Offense
34,Andrew Cowan,,,,Foul,Foul,00:00:30.7,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,12:31,"Ian Calabrese, Andrew Cowan",Post Up,,24 Andrew Cowan > Post-Up > Flash Middle > Left Shoulder > Dribble Move > To Basket > Foul
35,Andrew Cowan,,,,FTM,Free Throw,00:00:04.5,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,,Andrew Cowan,,,24 Andrew Cowan > Non Possession > Free Throw
36,Andrew Cowan,,,,FTM,Free Throw,00:00:04.3,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,,Andrew Cowan,,,24 Andrew Cowan > Non Possession > Free Throw
37,Bruce Saintilus,,,,"Turnover, Steal",Turnover,00:00:17.7,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,12:16,"Bruce Saintilus, Trey Syroka",P&R BH,,11 Bruce Saintilus > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover
38,Adam Dudzinski,,,,"2FGM, Assist",Make 2 Pts,00:00:22.7,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,11:58,"Adam Dudzinski, Andrew Cowan",Spot Up,,33 Adam Dudzinski > Spot-Up > Drives Left > To Basket > Make 2 Pts
39,Ian Calabrese,,,,Turnover,Turnover,00:00:09.4,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,11:46,Ian Calabrese,,,3 Ian Calabrese > No Play Type > Turnover
40,Troy McPherson,,,,"2FGM, Assist",Make 2 Pts,00:00:28.3,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,11:24,"Troy McPherson, Andrew Cowan",Off Screen,,4 Troy McPherson > Off Screen > To Shooter's Left > Straight > To Basket > Make 2 Pts
41,Bruce Saintilus,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:10.0,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,11:11,"Bruce Saintilus, Adam Dudzinski",Cut,,11 Bruce Saintilus > Cut > Flash > Miss 2 Pts
42,Adam Dudzinski,,,,2FGM,Make 2 Pts,00:00:21.8,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,10:53,Adam Dudzinski,P&R BH,,33 Adam Dudzinski > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts
43,Reid Neumann,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.7,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,10:34,"Reid Neumann, Adam Dudzinski",Spot Up,,13 Reid Neumann > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
44,Adam Dudzinski,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.8,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,10:25,"Adam Dudzinski, Boluwasefe John",Transition,,33 Adam Dudzinski > Transition > Trailer > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
45,Kyle Squires,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:32.0,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,9:59,"Kyle Squires, Gavin Macaulay",Spot Up,,0 Kyle Squires > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
46,Troy McPherson,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:21.2,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,9:46,"Troy McPherson, Reid Neumann",Spot Up,,4 Troy McPherson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
47,Christophere Clarke,,,,,No Violation,00:00:11.7,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,,Christophere Clarke,,,2 Christophere Clarke > Non Possession > No Violation
48,Reid Neumann,,,,3FGm,Miss 3 Pts,00:00:28.1,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,9:24,Reid Neumann,Spot Up,,13 Reid Neumann > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
49,Kyle Squires,,,,"2FGM, Off Reb",Make 2 Pts,00:00:07.7,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,9:19,Kyle Squires,Off Reb,,0 Kyle Squires > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
50,Gavin Macaulay,,,,"2FGm, Foul",Non Shooting Foul,00:00:21.8,,,,SLS@CLA,12/30/2024,1,,"Quentin Pridgen, Kyle Squires",,,13 Gavin Macaulay > Non Possession > Non Shooting Foul
51,Chris Downs Jr.,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:25.3,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,8:45,"Chris Downs Jr., Quentin Pridgen",Cut,,21 Chris Downs Jr. > Cut > Basket > Miss 2 Pts
52,Reid Neumann,,,,3FGm,Miss 3 Pts,00:00:20.2,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,8:37,Reid Neumann,Spot Up,,13 Reid Neumann > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
53,Reid Neumann,,,,"Turnover, Steal",Turnover,00:00:10.9,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,8:31,"Reid Neumann, Chris Downs Jr.",,,13 Reid Neumann > No Play Type > Turnover
54,Chris Downs Jr.,,,,2FGm,Miss 2 Pts,00:00:40.7,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,8:00,Chris Downs Jr.,"P&R BH, P&R Roll Man",,4 Troy McPherson > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Chris Downs Jr. > P&R Roll Man > Pick and Pops > Drives Left > To Basket > Miss 2 Pts
55,Chris Downs Jr.,,,,"2FGm, Off Reb",Miss 2 Pts,00:00:11.1,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,8:00,Chris Downs Jr.,Off Reb,,21 Chris Downs Jr. > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
56,Troy McPherson,,,,Off Reb,Run Offense,00:00:11.1,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,,Troy McPherson,Off Reb,,4 Troy McPherson > Offensive Rebound > Long > Run Offense
57,Dan Anderson,,,,"3FGM, Assist",Make 3 Pts,00:00:15.5,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,7:50,"Dan Anderson, Troy McPherson",Spot Up,,10 Dan Anderson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
58,Quentin Pridgen,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.1,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,7:30,"Quentin Pridgen, Aiden Macaulay",Spot Up,,24 Quentin Pridgen > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
59,Aiden Macaulay,,,,"Foul, Turnover",Turnover,00:00:18.4,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,7:11,Aiden Macaulay,,,23 Aiden Macaulay > No Play Type > Turnover
60,Isaiah Taylor,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:30.1,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,6:45,"Isaiah Taylor, Andrew Cowan",P&R BH,,1 Isaiah Taylor > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
61,Andrew Cowan,,,,Foul,Foul,00:00:13.2,,,,SLS@CLA,12/30/2024,1,6:43,Kekoa Mcardle,,,24 Andrew Cowan > No Play Type > Foul
62,Andrew Cowan,,,,FTM,Free Throw,00:00:04.7,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,,Andrew Cowan,,,24 Andrew Cowan > Non Possession > Free Throw
63,Andrew Cowan,,,,FTM,Free Throw,00:00:04.5,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,,Andrew Cowan,,,24 Andrew Cowan > Non Possession > Free Throw
64,Reid Neumann,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:25.1,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,6:19,"Reid Neumann, Dan Anderson",Spot Up,,13 Reid Neumann > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
65,Aiden Macaulay,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.5,,,St. Lawrence Saints,SLS@CLA,12/30/2024,1,6:04,"Aiden Macaulay, Kekoa Mcardle",Transition,,23 Aiden Macaulay > Transition > Left Wing > To Basket > Miss 2 Pts
66,Kekoa Mcardle,,,,2FGm,Miss 2 Pts,00:00:18.6,,,Clark MA Cougars,SLS@CLA,12/30/2024,1,5:45,Kekoa Mcardle,Cut,,44 Kekoa Mcardle > Cut > Flash > Miss 2 Pts
