#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Adam Dudzinski,,,,2FGm,Miss 2 Pts,00:00:26.9,,,St. Lawrence Saints,SLS@HOB,01/24/2025,1,19:39,Adam Dudzinski,Off Screen,,33 Adam Dudzinski > Off Screen > To Shooter's Right > Curl > To Basket > Miss 2 Pts
2,Hunter Meshanic,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:20.4,,,Hobart College Statesmen,SLS@HOB,01/24/2025,1,19:16,"Adam Dudzinski, Hunter Meshanic","P&R BH, Spot Up",,4 Alex Moesch > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Hunter Meshanic > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
3,Trey Syroka,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.9,,,St. Lawrence Saints,SLS@HOB,01/24/2025,1,19:04,"Trey Syroka, Hunter Meshanic",Transition,,2 Trey Syroka > Transition > Trailer > To Basket > Miss 2 Pts
4,Pat Healy,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:14.5,,,Hobart College Statesmen,SLS@HOB,01/24/2025,1,18:56,"Pat Healy, Aiden Macaulay",Transition,,3 Pat Healy > Transition > Left Wing > To Basket > Miss 2 Pts
5,Trey Syroka,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:17.4,,,St. Lawrence Saints,SLS@HOB,01/24/2025,1,18:46,"Trey Syroka, Alex Moesch",Transition,,2 Trey Syroka > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
6,Aidan Rodgers,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.1,,,Hobart College Statesmen,SLS@HOB,01/24/2025,1,18:33,"Aidan Rodgers, Andrew Cowan",Spot Up,,55 Aidan Rodgers > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
7,Aiden Macaulay,,,,2FGM,Make 2 Pts,00:00:13.6,,,St. Lawrence Saints,SLS@HOB,01/24/2025,1,18:25,Aiden Macaulay,Transition,,23 Aiden Macaulay > Transition > Ballhandler > To Basket > Make 2 Pts
8,Pat Healy,,,,3FGm,Miss 3 Pts,00:00:24.7,,,Hobart College Statesmen,SLS@HOB,01/24/2025,1,18:03,Pat Healy,Spot Up,,3 Pat Healy > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
9,Aiden Macaulay,,,,Turnover,Turnover,00:00:20.3,,,St. Lawrence Saints,SLS@HOB,01/24/2025,1,17:38,Aiden Macaulay,P&R BH,,23 Aiden Macaulay > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Turnover
10,Hunter Meshanic,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:18.1,,,Hobart College Statesmen,SLS@HOB,01/24/2025,1,17:19,"Hunter Meshanic, Andrew Cowan, Gavin Macaulay",Cut,,24 Hunter Meshanic > Cut > Flash > Miss 2 Pts
11,Gavin Macaulay,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:10.5,,,St. Lawrence Saints,SLS@HOB,01/24/2025,1,17:13,"Gavin Macaulay, Carter Meshanic",Transition,,13 Gavin Macaulay > Transition > Ballhandler > To Basket > Miss 2 Pts
12,Hunter Meshanic,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:25.0,,,Hobart College Statesmen,SLS@HOB,01/24/2025,1,16:53,"Aiden Macaulay, Hunter Meshanic",Spot Up,,24 Hunter Meshanic > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts
13,Adam Dudzinski,,,,"3FGM, Assist",Make 3 Pts,00:00:22.5,,,St. Lawrence Saints,SLS@HOB,01/24/2025,1,16:29,"Adam Dudzinski, Aiden Macaulay","Post Up, Spot Up",,23 Aiden Macaulay > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 33 Adam Dudzinski > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
