#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Chris Leysath,,,,,No Violation,00:00:07.5,,,Ithaca College,SLS@IC,01/18/2025,1,,Chris Leysath,,,30 Chris Leysath > Non Possession > No Violation
2,Chris Leysath,,,,2FGm,Miss 2 Pts,00:00:26.2,,,Ithaca College,SLS@IC,01/18/2025,1,19:44,Chris Leysath,Cut,,30 Chris Leysath > Cut > Basket > Miss 2 Pts
3,Chris Leysath,,,,"Off Reb, Turnover, Steal",Turnover,00:00:09.1,,,Ithaca College,SLS@IC,01/18/2025,1,19:40,"Chris Leysath, Aiden Macaulay",Off Reb,,30 Chris Leysath > Offensive Rebound > Short > Turnover
4,Trey Syroka,,,,,Shot Clock Violation,00:00:39.6,,,St. Lawrence Saints,SLS@IC,01/18/2025,1,,Trey Syroka,,,2 Trey Syroka > Non Possession > Shot Clock Violation
5,Aidan Holmes,,,,"3FGM, Assist",Make 3 Pts,00:00:23.6,,,Ithaca College,SLS@IC,01/18/2025,1,18:44,"Chris Leysath, Aidan Holmes",Spot Up,,3 Aidan Holmes > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
6,Aiden Macaulay,,,,"Turnover, Steal",Turnover,00:00:19.5,,,St. Lawrence Saints,SLS@IC,01/18/2025,1,18:44,"Aiden Macaulay, Aidan Holmes",,,23 Aiden Macaulay > No Play Type > Turnover
7,Logan Wendell,,,,"2FGM, Assist",Make 2 Pts,00:00:11.3,,,Ithaca College,SLS@IC,01/18/2025,1,18:40,"Aidan Holmes, Logan Wendell",,,1 Logan Wendell > No Play Type > To Basket > Make 2 Pts
8,Adam Dudzinski,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:15.8,,,St. Lawrence Saints,SLS@IC,01/18/2025,1,18:21,"Evan Cabral, Adam Dudzinski",Post Up,,33 Adam Dudzinski > Post-Up > Right Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts
9,Logan Wendell,,,,3FGm,Miss 3 Pts,00:00:18.7,,,Ithaca College,SLS@IC,01/18/2025,1,18:20,Logan Wendell,Spot Up,,1 Logan Wendell > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
10,Trey Syroka,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.9,,,St. Lawrence Saints,SLS@IC,01/18/2025,1,18:06,"Trey Syroka, Jaylon O'Neal",,,2 Trey Syroka > No Play Type > Dribble Jumper > Short to < 17' > Miss 2 Pts
11,Jaylon O'Neal,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:31.9,,,Ithaca College,SLS@IC,01/18/2025,1,17:27,"Jaylon O'Neal, Adam Dudzinski",Handoff,,2 Jaylon O'Neal > Hand Off > From Dribble > Right > Dribble Jumper > Long/3pt > Miss 3 Pts
12,Aiden Macaulay,,,,,No Violation,00:00:13.4,,,St. Lawrence Saints,SLS@IC,01/18/2025,1,,Aiden Macaulay,,,23 Aiden Macaulay > Non Possession > No Violation
13,Gavin Macaulay,,,,Foul,Non Shooting Foul,00:00:15.8,,,,SLS@IC,01/18/2025,1,,Aidan Holmes,,,13 Gavin Macaulay > Non Possession > Non Shooting Foul
14,Gavin Macaulay,,,,"2FGM, Assist",Make 2 Pts,00:00:21.3,,,St. Lawrence Saints,SLS@IC,01/18/2025,1,16:51,"Aiden Macaulay, Gavin Macaulay",Cut,,13 Gavin Macaulay > Cut > Basket > Make 2 Pts
15,Jaylon O'Neal,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:25.6,,,Ithaca College,SLS@IC,01/18/2025,1,16:27,"Jaylon O'Neal, Gavin Macaulay",Spot Up,,2 Jaylon O'Neal > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
16,Andrew Cowan,,,,"2FGM, Assist",Make 2 Pts,00:00:31.7,,,St. Lawrence Saints,SLS@IC,01/18/2025,1,16:02,"Adam Dudzinski, Andrew Cowan","P&R BH, P&R Roll Man",,33 Adam Dudzinski > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Andrew Cowan > P&R Roll Man > Rolls to Basket > Make 2 Pts
17,Aidan Holmes,,,,Foul,Foul,00:00:18.5,,,Ithaca College,SLS@IC,01/18/2025,1,15:42,"Adam Dudzinski, Aidan Holmes","P&R BH, Spot Up",,2 Jaylon O'Neal > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Aidan Holmes > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Foul
18,Aidan Holmes,,,,FTM,Free Throw,00:00:04.9,,,Ithaca College,SLS@IC,01/18/2025,1,,Aidan Holmes,,,3 Aidan Holmes > Non Possession > Free Throw
