#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Andrew Cowan,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:23.3,,,St. Lawrence Saints,SLS@PSC,11/19/2024,1,19:46,"Andrew Cowan, Ladan Graves",Post Up,24 Andrew Cowan > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Miss 2 Pts
2,Ladan Graves,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:14.7,,,Plattsburgh State Cardinals,SLS@PSC,11/19/2024,1,19:29,"Ladan Graves, Andrew Cowan, Dan Anderson",Cut,15 Ladan Graves > Cut > Basket > Miss 2 Pts
3,Dan Anderson,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:20.3,,,St. Lawrence Saints,SLS@PSC,11/19/2024,1,19:16,"Dan Anderson, Jeremiah Smith",P&R BH,10 Dan Anderson > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
4,Ikechukwu Ezike,,,,"Turnover, Steal",Turnover,00:00:31.7,,,Plattsburgh State Cardinals,SLS@PSC,11/19/2024,1,18:50,"Ikechukwu Ezike, Aiden Macaulay",Iso,5 Ikechukwu Ezike > ISO > Left > Drives Left > Defense Commits > Turnover
5,Aiden Macaulay,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:13.8,,,St. Lawrence Saints,SLS@PSC,11/19/2024,1,18:44,"Aiden Macaulay, Ikechukwu Ezike",Transition,23 Aiden Macaulay > Transition > Ballhandler > To Basket > Miss 2 Pts
6,Jeremiah Smith,,,,"2FGM, Assist",Make 2 Pts,00:00:19.6,,,Plattsburgh State Cardinals,SLS@PSC,11/19/2024,1,18:31,"Jeremiah Smith, Kareem Welch",Cut,3 Jeremiah Smith > Cut > Flash > Make 2 Pts
7,Adam Dudzinski,,,,2FGM,Make 2 Pts,00:00:30.9,,,St. Lawrence Saints,SLS@PSC,11/19/2024,1,17:59,Adam Dudzinski,Spot Up,33 Adam Dudzinski > Spot-Up > Drives Left > To Basket > Make 2 Pts
8,Franklin Infante,,,,"3FGM, Assist",Make 3 Pts,00:00:15.0,,,Plattsburgh State Cardinals,SLS@PSC,11/19/2024,1,17:39,"Franklin Infante, Kareem Welch",Spot Up,0 Franklin Infante > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
9,Gavin Macaulay,,,,"Turnover, Steal",Turnover,00:00:25.7,,,St. Lawrence Saints,SLS@PSC,11/19/2024,1,17:15,"Gavin Macaulay, Ikechukwu Ezike",,13 Gavin Macaulay > No Play Type > Turnover
10,Ikechukwu Ezike,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:16.1,,,Plattsburgh State Cardinals,SLS@PSC,11/19/2024,1,17:07,"Ikechukwu Ezike, Adam Dudzinski, Andrew Cowan",Transition,5 Ikechukwu Ezike > Transition > First Middle > To Basket > Miss 2 Pts
11,Andrew Cowan,,,,"Turnover, Steal",Turnover,00:00:20.5,,,St. Lawrence Saints,SLS@PSC,11/19/2024,1,16:54,"Andrew Cowan, Ikechukwu Ezike",,24 Andrew Cowan > No Play Type > Turnover
12,Ikechukwu Ezike,,,,"Turnover, Steal",Turnover,00:00:08.7,,,Plattsburgh State Cardinals,SLS@PSC,11/19/2024,1,16:50,"Ikechukwu Ezike, Aiden Macaulay",Transition,5 Ikechukwu Ezike > Transition > Ballhandler > Turnover
13,Aiden Macaulay,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:09.9,,,St. Lawrence Saints,SLS@PSC,11/19/2024,1,16:45,"Aiden Macaulay, Ikechukwu Ezike, Kareem Welch",Transition,23 Aiden Macaulay > Transition > Ballhandler > To Basket > Miss 2 Pts
14,Jeremiah Smith,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:12.8,,,Plattsburgh State Cardinals,SLS@PSC,11/19/2024,1,16:37,"Jeremiah Smith, Dan Anderson",Transition,3 Jeremiah Smith > Transition > Left Wing > To Basket > Miss 2 Pts
15,Gavin Macaulay,,,,"2FGM, Assist",Make 2 Pts,00:00:14.4,,,St. Lawrence Saints,SLS@PSC,11/19/2024,1,16:33,"Gavin Macaulay, Dan Anderson",Transition,13 Gavin Macaulay > Transition > First Middle > To Basket > Make 2 Pts
