#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Logan Shanahan,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:17.5,,,Emory University Eagles,UNY@EUE,12/30/2024,1,19:47,"Logan Shanahan, Brendan Reid",Post Up,,14 Logan Shanahan > Post-Up > Left Block > Face-up > Drive Baseline > Miss 2 Pts
2,Logan Shanahan,,,,Off Reb,Run Offense,00:00:08.5,,,Emory University Eagles,UNY@EUE,12/30/2024,1,,Logan Shanahan,Off Reb,,14 Logan Shanahan > Offensive Rebound > Short > Run Offense
3,AJ  Harris,,,,3FGm,Miss 3 Pts,00:00:13.5,,,Emory University Eagles,UNY@EUE,12/30/2024,1,19:41,AJ Harris,Spot Up,,24 AJ Harris > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
4,Jair Knight,,,,Off Reb,Run Offense,00:00:07.0,,,Emory University Eagles,UNY@EUE,12/30/2024,1,,Jair Knight,Off Reb,,2 Jair Knight > Offensive Rebound > Short > Run Offense
5,Jair Knight,,,,2FGm,Miss 2 Pts,00:00:17.5,,,Emory University Eagles,UNY@EUE,12/30/2024,1,19:33,Jair Knight,Spot Up,,2 Jair Knight > Spot-Up > Drives Right > To Basket > Miss 2 Pts
6,Jaden Jauregui,,,,2FGm,Miss 2 Pts,00:00:31.5,,,Union (NY) Chargers,UNY@EUE,12/30/2024,1,19:03,Jaden Jauregui,Spot Up,,13 Jaden Jauregui > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
7,Neil Daterao,,,,"2FGm, Off Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:08.3,,,Union (NY) Chargers,UNY@EUE,12/30/2024,1,19:03,"Neil Daterao, Jair Knight",Off Reb,,21 Neil Daterao > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
8,Ben Pearce,,,,3FGm,Miss 3 Pts,00:00:10.1,,,Emory University Eagles,UNY@EUE,12/30/2024,1,18:52,Ben Pearce,P&R BH,,10 Ben Pearce > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
9,Logan Shanahan,,,,Off Reb,Run Offense,00:00:07.6,,,Emory University Eagles,UNY@EUE,12/30/2024,1,,Logan Shanahan,Off Reb,,14 Logan Shanahan > Offensive Rebound > Long > Run Offense
10,Jair Knight,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.7,,,Emory University Eagles,UNY@EUE,12/30/2024,1,18:38,"Jair Knight, Jack Plesser",Spot Up,,2 Jair Knight > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
11,Jack Plesser,,,,"2FGM, Assist",Make 2 Pts,00:00:27.9,,,Union (NY) Chargers,UNY@EUE,12/30/2024,1,18:15,"Jack Plesser, Tanner Tedesco",Post Up,,33 Jack Plesser > Post-Up > Right Block > Left Shoulder > Dribble Move > To Jumper > Make 2 Pts
12,AJ  Harris,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:06.5,,,Emory University Eagles,UNY@EUE,12/30/2024,1,18:07,"AJ Harris, Tanner Tedesco",Transition,,24 AJ Harris > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
13,Brendan Reid,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:14.3,,,Union (NY) Chargers,UNY@EUE,12/30/2024,1,17:57,"Brendan Reid, Jair Knight, AJ Harris",Transition,,32 Brendan Reid > Transition > Trailer > To Basket > Miss 2 Pts
