#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Christian Dufort,,,,Turnover,Turnover,00:00:25.9,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,19:43,Christian Dufort,"P&R BH, P&R Roll Man",,5 Tanner Tedesco > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Christian Dufort > P&R Roll Man > Pick and Pops > Turnover
2,Allen Mordi,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:15.7,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,19:26,"Allen Mordi, Jaden Jauregui",Off Screen,,11 Allen Mordi > Off Screen > To Shooter's Left > Flare > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
3,Jack Plesser,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:23.5,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,19:09,"Jack Plesser, Aidan Rodgers",Post Up,,33 Jack Plesser > Post-Up > Left Block > Left Shoulder > Dribble Move > To Up and Under > Miss 2 Pts
4,Allen Mordi,,,,Foul,Foul,00:00:18.5,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,18:53,"Jaden Jauregui, Allen Mordi",Spot Up,,11 Allen Mordi > Spot-Up > Drives Right > To Basket > Foul
5,Allen Mordi,,,,FTM,Free Throw,00:00:08.3,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,,Allen Mordi,,,11 Allen Mordi > Non Possession > Free Throw
6,Allen Mordi,,,,FTM,Free Throw,00:00:05.9,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,,Allen Mordi,,,11 Allen Mordi > Non Possession > Free Throw
7,Christian Dufort,,,,"3FGM, Assist",Make 3 Pts,00:00:16.4,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,18:38,"Christian Dufort, Matthew Garside","P&R BH, Spot Up",,12 Matthew Garside > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Christian Dufort > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
8,Alex Moesch,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:23.5,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,18:14,"Alex Moesch, Christian Dufort","Post Up, Spot Up",,23 Carter Meshanic > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 4 Alex Moesch > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
9,Matthew Garside,,,,Foul,Foul,00:00:13.3,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,18:07,"Carter Meshanic, Matthew Garside",Transition,,12 Matthew Garside > Transition > Right Wing > To Basket > Foul
10,Matthew Garside,,,,FTm,Free Throw,00:00:06.3,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,,Matthew Garside,,,12 Matthew Garside > Non Possession > Free Throw
11,Matthew Garside,,,,FTM,Free Throw,00:00:06.1,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,,Matthew Garside,,,12 Matthew Garside > Non Possession > Free Throw
12,Alex Moesch,,,,2FGm,Miss 2 Pts,00:00:30.7,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,17:42,Alex Moesch,Spot Up,,4 Alex Moesch > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
13,Tanner Tedesco,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:17.6,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,17:25,"Tanner Tedesco, Alex Moesch",Handoff,,5 Tanner Tedesco > Hand Off > From Dribble > Left > Dribble Jumper > Long/3pt > Miss 3 Pts
14,Carter Meshanic,,,,"2FGM, Assist",Make 2 Pts,00:00:26.0,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,17:07,"Carter Meshanic, Hunter Meshanic",Cut,,23 Carter Meshanic > Cut > Basket > Make 2 Pts
15,Jack Plesser,,,,Turnover,Turnover,00:00:22.7,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,16:49,Jack Plesser,P&R BH,,33 Jack Plesser > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Turnover
16,Hunter Meshanic,,,,"3FGM, Assist",Make 3 Pts,00:00:29.8,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,16:21,"Hunter Meshanic, Aidan Rodgers","P&R BH, Spot Up",,55 Aidan Rodgers > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Hunter Meshanic > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
17,Tanner Tedesco,,,,Foul,Non Shooting Foul,00:00:16.7,,,,UNY@HOB,12/06/2024,1,,Hunter Meshanic,,,5 Tanner Tedesco > Non Possession > Non Shooting Foul
18,Jack Plesser,,,,"2FGM, Assist",Make 2 Pts,00:00:17.4,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,15:50,"Jack Plesser, Tanner Tedesco","P&R BH, P&R Roll Man",,5 Tanner Tedesco > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Jack Plesser > P&R Roll Man > Rolls to Basket > Make 2 Pts
19,Aidan Rodgers,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:21.1,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,15:33,"Aidan Rodgers, Jack Plesser",Spot Up,,55 Aidan Rodgers > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
20,Tanner Tedesco,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.1,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,15:21,"Tanner Tedesco, Carter Meshanic",P&R BH,,5 Tanner Tedesco > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
21,Allen Mordi,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:17.9,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,15:05,"Allen Mordi, Matthew Garside",Spot Up,,11 Allen Mordi > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
22,Christian Dufort,,,,3FGm,Miss 3 Pts,00:00:17.3,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,14:55,Christian Dufort,Transition,,24 Christian Dufort > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
23,Dorian Paki,,,,Foul,Foul,00:00:24.6,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,14:30,"Christian Dufort, Dorian Paki",Cut,,1 Dorian Paki > Cut > Basket > Foul
24,Dorian Paki,,,,FTm,Free Throw,00:00:06.7,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,,Dorian Paki,,,1 Dorian Paki > Non Possession > Free Throw
25,Dorian Paki,,,,"FTm, Def Reb",Free Throw,00:00:04.1,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,,"Dorian Paki, Jack Plesser",,,1 Dorian Paki > Non Possession > Free Throw
26,Matthew Garside,,,,Foul,Foul,00:00:19.1,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,14:13,"Monty Nedd, Matthew Garside",Spot Up,,12 Matthew Garside > Spot-Up > Drives Left > To Basket > Foul
27,Matthew Garside,,,,FTM,Free Throw,00:00:04.7,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,,Matthew Garside,,,12 Matthew Garside > Non Possession > Free Throw
28,Matthew Garside,,,,FTM,Free Throw,00:00:07.7,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,,Matthew Garside,,,12 Matthew Garside > Non Possession > Free Throw
29,Aidan Rodgers,,,,Foul,Foul,00:00:23.2,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,13:50,"Matthew Garside, Aidan Rodgers",Iso,,55 Aidan Rodgers > ISO > Top > Drives Right > To Basket > Foul
30,Aidan Rodgers,,,,FTm,Free Throw,00:00:06.9,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,,Aidan Rodgers,,,55 Aidan Rodgers > Non Possession > Free Throw
31,Aidan Rodgers,,,,FTM,Free Throw,00:00:04.4,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,,Aidan Rodgers,,,55 Aidan Rodgers > Non Possession > Free Throw
32,Tanner Tedesco,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:18.5,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,13:41,"Tanner Tedesco, Aidan Rodgers",P&R BH,,5 Tanner Tedesco > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
33,Aidan Rodgers,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.9,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,13:35,"Aidan Rodgers, Brendan Reid",Transition,,55 Aidan Rodgers > Transition > Ballhandler > Dribble Jumper > Long/3pt > Miss 3 Pts
34,Jack Plesser,,,,"2FGM, Assist",Make 2 Pts,00:00:18.6,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,13:20,"Jack Plesser, Neil Daterao",Post Up,,33 Jack Plesser > Post-Up > Left Block > Left Shoulder > No Dribble Move > To Jumper > Make 2 Pts
35,Alex Moesch,,,,2FGM,Make 2 Pts,00:00:29.1,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,12:50,Alex Moesch,P&R BH,,4 Alex Moesch > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Make 2 Pts
36,Matthew Garside,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:16.9,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,12:33,"Matthew Garside, Monty Nedd",Off Screen,,12 Matthew Garside > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
37,Carter Meshanic,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:32.9,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,12:07,"Carter Meshanic, Jack Plesser","P&R BH, Cut",,55 Aidan Rodgers > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Carter Meshanic > Cut > Flash > Miss 2 Pts
38,Jack Plesser,,,,"2FGM, Assist",Make 2 Pts,00:00:14.7,,,Union (NY) Chargers,UNY@HOB,12/06/2024,1,11:51,"Jack Plesser, Matthew Garside","P&R BH, P&R Roll Man",,12 Matthew Garside > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Jack Plesser > P&R Roll Man > Slips the Pick > To Basket > Make 2 Pts
39,Alex Moesch,,,,2FGm,Miss 2 Pts,00:00:20.0,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,11:33,Alex Moesch,P&R BH,,4 Alex Moesch > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
40,Dorian Paki,,,,Off Reb,Run Offense,00:00:07.5,,,Hobart College Statesmen,UNY@HOB,12/06/2024,1,,Dorian Paki,Off Reb,,1 Dorian Paki > Offensive Rebound > Long > Run Offense
