#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Jaden Jauregui,,,,"2FGM, Assist",Make 2 Pts,00:00:10.9,,,Union (NY) Chargers,UNY@LGC,12/29/2024,1,19:53,"Jaden Jauregui, Tanner Tedesco",Spot Up,,13 Jaden Jauregui > Spot-Up > Drives Left > To Basket > Make 2 Pts
2,Kameron McCall,,,,"3FGm, Block, Blocked Attempt",Miss 3 Pts,00:00:21.6,,,LaGrange Panthers,UNY@LGC,12/29/2024,1,19:35,"Kameron McCall, Neil Daterao",P&R BH,,14 Kameron McCall > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
3,Brodie Scott,,,,Off Reb,Run Offense,00:00:07.6,,,LaGrange Panthers,UNY@LGC,12/29/2024,1,,Brodie Scott,Off Reb,,5 Brodie Scott > Offensive Rebound > Short > Run Offense
4,Devin Dowell,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.0,,,LaGrange Panthers,UNY@LGC,12/29/2024,1,19:28,"Devin Dowell, Tanner Tedesco",Off Screen,,0 Devin Dowell > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
5,Jack Plesser,,,,"3FGM, Assist",Make 3 Pts,00:00:21.8,,,Union (NY) Chargers,UNY@LGC,12/29/2024,1,19:12,"Jack Plesser, Tanner Tedesco",Off Screen,,33 Jack Plesser > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
6,Trenton Dillard,,,,Turnover,Turnover,00:00:27.7,,,LaGrange Panthers,UNY@LGC,12/29/2024,1,18:44,Trenton Dillard,,,15 Trenton Dillard > No Play Type > Turnover
7,Neil Daterao,,,,Turnover,Turnover,00:00:13.4,,,Union (NY) Chargers,UNY@LGC,12/29/2024,1,18:36,Neil Daterao,Transition,,21 Neil Daterao > Transition > Ballhandler > Turnover
8,Jace Herrell,,,,3FGM,Make 3 Pts,00:00:11.0,,,LaGrange Panthers,UNY@LGC,12/29/2024,1,18:27,Jace Herrell,P&R BH,,25 Jace Herrell > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts
9,Brendan Reid,,,,"3FGM, Assist",Make 3 Pts,00:00:15.3,,,Union (NY) Chargers,UNY@LGC,12/29/2024,1,18:13,"Brendan Reid, Jaden Jauregui",Transition,,32 Brendan Reid > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
10,Kameron McCall,,,,Foul,Foul,00:00:08.0,,,LaGrange Panthers,UNY@LGC,12/29/2024,1,18:06,"Neil Daterao, Kameron McCall",Transition,,14 Kameron McCall > Transition > Left Wing > To Basket > Foul
