#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,PJ Scalisi,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:22.8,,,Rensselaer Polytechnic,UNY@RPI,01/25/2025,1,19:45,"PJ Scalisi, Matthew Garside",Off Screen,,23 PJ Scalisi > Off Screen > To Shooter's Left > Flare > To Basket > Miss 2 Pts
2,Matthew Garside,,,,Turnover,Turnover,00:00:19.0,,,Union (NY) Chargers,UNY@RPI,01/25/2025,1,19:32,Matthew Garside,Spot Up,,12 Matthew Garside > Spot-Up > Drives Left > Turnover
3,Dylan Matchett,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:20.4,,,Rensselaer Polytechnic,UNY@RPI,01/25/2025,1,19:13,"Dylan Matchett, Tanner Tedesco",Spot Up,,32 Dylan Matchett > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
4,Matthew Garside,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.3,,,Union (NY) Chargers,UNY@RPI,01/25/2025,1,19:02,"Avery Eugster, Matthew Garside",Spot Up,,12 Matthew Garside > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
5,Yechiel Stewart,,,,"Turnover, Steal",Turnover,00:00:09.1,,,Rensselaer Polytechnic,UNY@RPI,01/25/2025,1,18:49,"Yechiel Stewart, Jack Plesser",,,22 Yechiel Stewart > No Play Type > Turnover
6,Jack Plesser,,,,"2FGM, Assist",Make 2 Pts,00:00:11.6,,,Union (NY) Chargers,UNY@RPI,01/25/2025,1,18:44,"Matthew Garside, Jack Plesser",Transition,,33 Jack Plesser > Transition > Left Wing > To Basket > Make 2 Pts
7,Chuck Clemons,,,,Foul,Non Shooting Foul,00:00:17.3,,,,UNY@RPI,01/25/2025,1,,Tanner Tedesco,,,4 Chuck Clemons > Non Possession > Non Shooting Foul
8,Avery Eugster,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:16.7,,,Rensselaer Polytechnic,UNY@RPI,01/25/2025,1,18:16,"Avery Eugster, Jack Plesser",Cut,,12 Avery Eugster > Cut > Basket > Miss 2 Pts
9,Jack Plesser,,,,2FGM,Make 2 Pts,00:00:22.6,,,Union (NY) Chargers,UNY@RPI,01/25/2025,1,18:00,Jack Plesser,Post Up,,33 Jack Plesser > Post-Up > Left Block > Left Shoulder > Dribble Move > To Jumper > Make 2 Pts
10,Andrew Deppe,,,,Turnover,Turnover,00:00:13.1,,,Rensselaer Polytechnic,UNY@RPI,01/25/2025,1,17:40,Andrew Deppe,,,41 Andrew Deppe > No Play Type > Turnover
11,Tanner Tedesco,,,,2FGM,Make 2 Pts,00:00:20.9,,,Union (NY) Chargers,UNY@RPI,01/25/2025,1,17:20,Tanner Tedesco,P&R BH,,5 Tanner Tedesco > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
