#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Kreekor Karageuzian,,,,Turnover,Turnover,00:00:14.6,,,Vassar Brewers,VC@IC,12/06/2024,1,19:50,Kreekor Karageuzian,Cut,,4 Kreekor Karageuzian > Cut > Basket > Turnover
2,Logan Wendell,,,,3FGm,Miss 3 Pts,00:00:11.9,,,Ithaca College,VC@IC,12/06/2024,1,19:40,Logan Wendell,Handoff,,1 Logan Wendell > Hand Off > From Stationary > Top > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
3,Shea Fitzgerald,,,,3FGm,Miss 3 Pts,00:00:25.1,,,Vassar Brewers,VC@IC,12/06/2024,1,19:18,Shea Fitzgerald,Off Screen,,3 Shea Fitzgerald > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
4,Aidan Holmes,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:25.5,,,Ithaca College,VC@IC,12/06/2024,1,18:50,"Aidan Holmes, Nathan Denham, Avery Lee",Spot Up,,3 Aidan Holmes > Spot-Up > Drives Right > To Basket > Miss 2 Pts
5,Sebastian Medina,,,,Foul,Foul,00:00:16.3,,,Vassar Brewers,VC@IC,12/06/2024,1,18:37,"Aidan Holmes, Sebastian Medina",Spot Up,,5 Sebastian Medina > Spot-Up > Drives Straight > To Basket > Foul
6,Sebastian Medina,,,,FTM,Free Throw,00:00:04.7,,,Vassar Brewers,VC@IC,12/06/2024,1,,Sebastian Medina,,,5 Sebastian Medina > Non Possession > Free Throw
7,Sebastian Medina,,,,"FTm, Def Reb",Free Throw,00:00:05.0,,,Vassar Brewers,VC@IC,12/06/2024,1,,"Sebastian Medina, Chris Leysath",,,5 Sebastian Medina > Non Possession > Free Throw
8,Aidan Holmes,,,,3FGm,Miss 3 Pts,00:00:21.0,,,Ithaca College,VC@IC,12/06/2024,1,18:26,Aidan Holmes,Spot Up,,3 Aidan Holmes > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
9,Jaylon O'Neal,,,,2FGM,Make 2 Pts,00:00:27.5,,,Ithaca College,VC@IC,12/06/2024,1,18:03,Jaylon O'Neal,"Post Up, Spot Up",,30 Chris Leysath > Post-Up > Flash Middle > Post Pin > No Dribble Move > Defense Commits > Ball Delivered > 2 Jaylon O'Neal > Spot-Up > Drives Left > To Basket > Make 2 Pts
10,Kreekor Karageuzian,,,,"Turnover, Steal",Turnover,00:00:11.8,,,Vassar Brewers,VC@IC,12/06/2024,1,17:52,"Kreekor Karageuzian, Aidan Holmes",Transition,,4 Kreekor Karageuzian > Transition > Ballhandler > Turnover
