#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Kendall Arcuri,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:26.7,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,19:41,"Kendall Arcuri, Nathan Denham","P&R BH, Spot Up",,10 Gaige Armbrewster > P&R Ball Handler > Right P&R > Side > Defense Commits > Ball Delivered > 40 Kendall Arcuri > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
2,Nathan Denham,,,,2FGm,Miss 2 Pts,00:00:42.6,,,Vassar Brewers,VC@SCD,01/04/2025,1,19:08,Nathan Denham,"Post Up, Cut",,5 Sebastian Medina > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 22 Nathan Denham > Cut > Flash > Miss 2 Pts
3,Nathan Denham,,,,"Off Reb, Turnover",Turnover,00:00:24.5,,,Vassar Brewers,VC@SCD,01/04/2025,1,19:08,Nathan Denham,Off Reb,,22 Nathan Denham > Offensive Rebound > Long > Turnover
4,Gerrad Beaubrun,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:18.9,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,18:47,"Gerrad Beaubrun, Kreekor Karageuzian",Iso,,1 Gerrad Beaubrun > ISO > Left > Drives Left > To Basket > Miss 2 Pts
5,Shea Fitzgerald,,,,"3FGM, Assist",Make 3 Pts,00:00:25.9,,,Vassar Brewers,VC@SCD,01/04/2025,1,18:26,"Shea Fitzgerald, Avery Lee","P&R BH, Spot Up",,2 Avery Lee > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Shea Fitzgerald > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
6,Kendall Arcuri,,,,Foul,Non Shooting Foul,00:00:08.1,,,,VC@SCD,01/04/2025,1,,Nathan Denham,,,40 Kendall Arcuri > Non Possession > Non Shooting Foul
7,Isaiah Austin,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:24.9,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,17:56,"Isaiah Austin, Shea Fitzgerald","Post Up, Spot Up",,40 Kendall Arcuri > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 0 Isaiah Austin > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
8,Shea Fitzgerald,,,,2FGM,Make 2 Pts,00:00:22.5,,,Vassar Brewers,VC@SCD,01/04/2025,1,17:39,Shea Fitzgerald,P&R BH,,3 Shea Fitzgerald > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts
9,Gaige Armbrewster,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:28.4,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,17:14,"Gaige Armbrewster, Sebastian Medina",Spot Up,,10 Gaige Armbrewster > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
10,Nathan Denham,,,,"2FGM, Assist",Make 2 Pts,00:00:16.1,,,Vassar Brewers,VC@SCD,01/04/2025,1,17:04,"Nathan Denham, Sebastian Medina",Post Up,,22 Nathan Denham > Post-Up > Flash Middle > Post Pin > Dribble Move > To Basket > Make 2 Pts
11,Kendall Arcuri,,,,Foul,Non Shooting Foul,00:00:20.6,,,,VC@SCD,01/04/2025,1,,Shea Fitzgerald,,,40 Kendall Arcuri > Non Possession > Non Shooting Foul
12,Isaiah Austin,,,,"3FGM, Assist",Make 3 Pts,00:00:12.1,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,16:35,"Isaiah Austin, Kendall Arcuri","P&R BH, Spot Up",,40 Kendall Arcuri > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Isaiah Austin > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
13,Kreekor Karageuzian,,,,"Turnover, Steal",Turnover,00:00:15.4,,,Vassar Brewers,VC@SCD,01/04/2025,1,16:17,"Kreekor Karageuzian, Kendall Arcuri",,,4 Kreekor Karageuzian > No Play Type > Turnover
14,Kendall Arcuri,,,,"2FGM, Foul",1 Pts,00:00:12.4,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,16:11,"Kendall Arcuri, Nathan Denham",Transition,,40 Kendall Arcuri > Transition > Ballhandler > To Basket > Make 2 Pts Foul > 1 Pts
15,Kendall Arcuri,,,,FTM,Free Throw,00:00:06.1,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,,Kendall Arcuri,,,40 Kendall Arcuri > Non Possession > Free Throw
16,Luke Adams,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:34.9,,,Vassar Brewers,VC@SCD,01/04/2025,1,15:42,"Luke Adams, Kendall Arcuri","P&R BH, Spot Up",,3 Shea Fitzgerald > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Luke Adams > Spot-Up > Drives Left > To Basket > Miss 2 Pts
17,Isaiah Austin,,,,2FGM,Make 2 Pts,00:00:18.9,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,15:29,Isaiah Austin,Spot Up,,0 Isaiah Austin > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
18,JP Miranda,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:12.3,,,Vassar Brewers,VC@SCD,01/04/2025,1,15:20,"JP Miranda, Isaiah Austin",Transition,,0 JP Miranda > Transition > Left Wing > To Basket > Miss 2 Pts
19,Gerrad Beaubrun,,,,Turnover,Turnover,00:00:18.3,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,15:10,Gerrad Beaubrun,"P&R BH, Spot Up",,0 Isaiah Austin > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 1 Gerrad Beaubrun > Spot-Up > Drives Right > Turnover
20,Alex Walters,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:15.5,,,Vassar Brewers,VC@SCD,01/04/2025,1,15:04,"Alex Walters, Chris Mcdonald",Transition,,33 Alex Walters > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
21,Chris Mcdonald,,,,,No Violation,00:00:08.9,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,,Chris Mcdonald,,,33 Chris Mcdonald > Non Possession > No Violation
22,Gerrad Beaubrun,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:14.0,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,14:44,"Gerrad Beaubrun, Sebastian Medina",P&R BH,,1 Gerrad Beaubrun > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts
23,Shea Fitzgerald,,,,Foul,Foul,00:00:20.9,,,Vassar Brewers,VC@SCD,01/04/2025,1,14:30,"Kendall Arcuri, Shea Fitzgerald",P&R BH,,3 Shea Fitzgerald > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Foul
24,Shea Fitzgerald,,,,FTm,Free Throw,00:00:06.7,,,Vassar Brewers,VC@SCD,01/04/2025,1,,Shea Fitzgerald,,,3 Shea Fitzgerald > Non Possession > Free Throw
25,Shea Fitzgerald,,,,FTM,Free Throw,00:00:05.8,,,Vassar Brewers,VC@SCD,01/04/2025,1,,Shea Fitzgerald,,,3 Shea Fitzgerald > Non Possession > Free Throw
26,Kendall Arcuri,,,,2FGm,Miss 2 Pts,00:00:23.3,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,1,14:11,Kendall Arcuri,Spot Up,,40 Kendall Arcuri > Spot-Up > Drives Left > To Basket > Miss 2 Pts
