#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Kreekor Karageuzian,,,,2FGM,Make 2 Pts,00:00:25.8,,,Vassar Brewers,VC@SKD,12/11/2024,1,19:37,Kreekor Karageuzian,"P&R BH, Spot Up",,2 Avery Lee > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 4 Kreekor Karageuzian > Spot-Up > Drives Right > To Basket > Make 2 Pts
2,Aidan Roy,,,,,No Violation,00:00:10.3,,,Skidmore Thoroughbreds,VC@SKD,12/11/2024,1,,Aidan Roy,,,15 Aidan Roy > Non Possession > No Violation
3,Alexei Downie,,,,"2FGM, Assist",Make 2 Pts,00:00:20.0,,,Skidmore Thoroughbreds,VC@SKD,12/11/2024,1,19:11,"Alexei Downie, Charlie Fantom",Cut,,4 Alexei Downie > Cut > Flash > Make 2 Pts
4,Shea Fitzgerald,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:20.1,,,Vassar Brewers,VC@SKD,12/11/2024,1,18:53,"Shea Fitzgerald, Joey Skoric, Aidan Roy","P&R BH, Spot Up",,2 Avery Lee > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Shea Fitzgerald > Spot-Up > Drives Right > To Basket > Miss 2 Pts
5,Charlie Fantom,,,,Turnover,Turnover,00:00:16.8,,,Skidmore Thoroughbreds,VC@SKD,12/11/2024,1,18:40,Charlie Fantom,"P&R BH, Spot Up",,15 Aidan Roy > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Charlie Fantom > Spot-Up > Drives Left > Turnover
6,Avery Lee,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:19.3,,,Vassar Brewers,VC@SKD,12/11/2024,1,18:23,"Avery Lee, Charlie Fantom, Joey Skoric",Spot Up,,2 Avery Lee > Spot-Up > Drives Right > To Basket > Miss 2 Pts
7,Charlie Fantom,,,,2FGm,Miss 2 Pts,00:00:15.7,,,Skidmore Thoroughbreds,VC@SKD,12/11/2024,1,18:13,Charlie Fantom,Transition,,5 Charlie Fantom > Transition > Left Wing > No Dribble Jumper > Open > Short to < 17' > Miss 2 Pts
8,Joey  Skoric,,,,"2FGM, Off Reb",Make 2 Pts,00:00:07.5,,,Skidmore Thoroughbreds,VC@SKD,12/11/2024,1,18:13,Joey Skoric,Off Reb,,14 Joey Skoric > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
9,Sebastian Medina,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:20.7,,,Vassar Brewers,VC@SKD,12/11/2024,1,17:49,"Sebastian Medina, Charlie Fantom",Spot Up,,5 Sebastian Medina > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
10,Charlie Fantom,,,,"Turnover, Steal",Turnover,00:00:17.9,,,Skidmore Thoroughbreds,VC@SKD,12/11/2024,1,17:34,"Charlie Fantom, Sebastian Medina",,,5 Charlie Fantom > No Play Type > Turnover
