#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Alex Acosta,,,,"Turnover, Steal",Turnover,00:00:21.5,,,Washington & Jefferson Presidents,CU@WAJ,11/08/2024,1,19:46,"Alex Acosta, Jack Dalgety",Cut,32 Alex Acosta > Cut > Screen > Turnover
2,Braeden Burns,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.7,,,Clarkson University Golden Knights,CU@WAJ,11/08/2024,1,19:35,"Braeden Burns, Nathan Plotner",Handoff,24 Braeden Burns > Hand Off > From Stationary > Left > To Basket > Miss 2 Pts
3,Nathan  Plotner,,,,2FGM,Make 2 Pts,00:00:16.1,,,Washington & Jefferson Presidents,CU@WAJ,11/08/2024,1,19:21,Nathan Plotner,"P&R BH, P&R Roll Man",13 Matt Seidl > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 34 Nathan Plotner > P&R Roll Man > Rolls to Basket > Make 2 Pts
4,Jack Dalgety,,,,2FGM,Make 2 Pts,00:00:27.0,,,Clarkson University Golden Knights,CU@WAJ,11/08/2024,1,18:54,Jack Dalgety,Post Up,21 Jack Dalgety > Post-Up > Left Block > Right Shoulder > Dribble Move > To Hook > Make 2 Pts
5,Matt Seidl,,,,"Turnover, Steal",Turnover,00:00:15.7,,,Washington & Jefferson Presidents,CU@WAJ,11/08/2024,1,18:40,"Matt Seidl, Lorenzo Rappa","P&R BH, Spot Up",2 Matthew Carte > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Matt Seidl > Spot-Up > Drives Right > Turnover
6,Braeden Burns,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:16.3,,,Clarkson University Golden Knights,CU@WAJ,11/08/2024,1,18:26,"Braeden Burns, Nathan Plotner",Transition,24 Braeden Burns > Transition > Right Wing > To Basket > Miss 2 Pts
7,Michael  Pfeuffer,,,,"3FGM, Assist",Make 3 Pts,00:00:10.9,,,Washington & Jefferson Presidents,CU@WAJ,11/08/2024,1,18:19,"Michael Pfeuffer, Matthew Carte",Transition,4 Michael Pfeuffer > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
8,Lorenzo Rappa,,,,"Turnover, Steal",Turnover,00:00:09.8,,,Clarkson University Golden Knights,CU@WAJ,11/08/2024,1,18:08,"Lorenzo Rappa, Nathan Plotner",,0 Lorenzo Rappa > No Play Type > Turnover
9,Nathan  Plotner,,,,2FGm,Miss 2 Pts,00:00:09.9,,,Washington & Jefferson Presidents,CU@WAJ,11/08/2024,1,18:03,Nathan Plotner,,34 Nathan Plotner > No Play Type > To Basket > Miss 2 Pts
10,Michael  Pfeuffer,,,,"2FGM, Off Reb",Make 2 Pts,00:00:05.3,,,Washington & Jefferson Presidents,CU@WAJ,11/08/2024,1,18:03,Michael Pfeuffer,Off Reb,4 Michael Pfeuffer > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
