#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Kenny Wilburn,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:22.9,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,19:44,"Kenny Wilburn, Braeden White, Trevor Oliver",Post Up,3 Kenny Wilburn > Post-Up > Left Block > Left Shoulder > Dribble Move > To Hook > Miss 2 Pts
2,Kamau Franks,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:39.7,,,Fitchburg State,FIT@RIT,11/08/2024,1,19:12,"Kamau Franks, Matt Caggiano","P&R BH, Spot Up",0 Braeden White > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Kamau Franks > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts
3,Kenny Wilburn,,,,Foul,Non Shooting Foul,00:00:16.4,,,,FIT@RIT,11/08/2024,1,,Trevor Oliver,,3 Kenny Wilburn > Non Possession > Non Shooting Foul
4,Chase Dickens,,,,Foul,Non Shooting Foul,00:00:08.9,,,,FIT@RIT,11/08/2024,1,,Jeremiah Simeon,,11 Chase Dickens > Non Possession > Non Shooting Foul
5,Chase Dickens,,,,3FGm,Miss 3 Pts,00:00:09.5,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,18:50,Chase Dickens,Off Screen,11 Chase Dickens > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
6,Brody Brown,,,,Off Reb,Run Offense,00:00:07.5,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,,Brody Brown,Off Reb,12 Brody Brown > Offensive Rebound > Short > Run Offense
7,Chase Dickens,,,,Foul,Foul,00:00:22.3,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,18:37,"Trevor Oliver, Chase Dickens",Spot Up,11 Chase Dickens > Spot-Up > Drives Left > To Basket > Foul
8,Chase Dickens,,,,FTM,Free Throw,00:00:06.7,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,,Chase Dickens,,11 Chase Dickens > Non Possession > Free Throw
9,Chase Dickens,,,,FTM,Free Throw,00:00:07.7,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,,Chase Dickens,,11 Chase Dickens > Non Possession > Free Throw
10,Jalen Jackson,,,,2FGm,Miss 2 Pts,00:00:18.9,,,Fitchburg State,FIT@RIT,11/08/2024,1,18:37,Jalen Jackson,Post Up,21 Jalen Jackson > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Miss 2 Pts
11,Jalen Jackson,,,,"Off Reb, Foul",Foul,00:00:09.1,,,Fitchburg State,FIT@RIT,11/08/2024,1,18:37,"Kenny Wilburn, Jalen Jackson",Off Reb,21 Jalen Jackson > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul
12,Jalen Jackson,,,,FTM,Free Throw,00:00:06.9,,,Fitchburg State,FIT@RIT,11/08/2024,1,,Jalen Jackson,,21 Jalen Jackson > Non Possession > Free Throw
13,Jalen Jackson,,,,FTM,Free Throw,00:00:06.3,,,Fitchburg State,FIT@RIT,11/08/2024,1,,Jalen Jackson,,21 Jalen Jackson > Non Possession > Free Throw
14,Brody Brown,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:27.8,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,18:01,"Brody Brown, Braeden White",Spot Up,12 Brody Brown > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
15,Jeremiah Simeon,,,,Turnover,Turnover,00:00:14.9,,,Fitchburg State,FIT@RIT,11/08/2024,1,17:54,Jeremiah Simeon,Transition,4 Jeremiah Simeon > Transition > Right Wing > Turnover
16,Chase Dickens,,,,,Miss 2 Pts,00:00:32.5,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,,Chase Dickens,,3 Kenny Wilburn > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 11 Chase Dickens > Spot-Up > Drives Right > To Basket > Miss 2 Pts
17,Kenny Wilburn,,,,"2FGM, Foul",1 Pts,00:00:07.9,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,17:23,"Jeremiah Simeon, Kenny Wilburn",Off Reb,3 Kenny Wilburn > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts Foul > 1 Pts
18,Kenny Wilburn,,,,FTM,Free Throw,00:00:06.7,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,,Kenny Wilburn,,3 Kenny Wilburn > Non Possession > Free Throw
19,Kamau Franks,,,,"2FGm, Foul",Miss 2 Pts,00:00:16.7,,,Fitchburg State,FIT@RIT,11/08/2024,1,17:11,"Jalin Pitts, Kamau Franks","P&R BH, Spot Up",1 Alex Moemeka > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Kamau Franks > Spot-Up > No Dribble Jumper > Guarded > Medium/17' to <3p > Miss 2 Pts
20,Brody Brown,,,,2FGm,Miss 2 Pts,00:00:15.7,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,17:08,Brody Brown,Transition,12 Brody Brown > Transition > Left Wing > To Basket > Miss 2 Pts
21,Brody Brown,,,,,Run Offense,00:00:07.9,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,,Brody Brown,,12 Brody Brown > Offensive Rebound > Short > Run Offense
22,Chase Dickens,,,,3FGM,Make 3 Pts,00:00:26.5,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,16:58,Chase Dickens,Iso,11 Chase Dickens > ISO > Left > Early Jumper > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
23,Alex Moemeka,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.3,,,Fitchburg State,FIT@RIT,11/08/2024,1,16:19,"Alex Moemeka, Brody Brown",Off Screen,1 Alex Moemeka > Off Screen > To Shooter's Right > Straight > To Basket > Miss 2 Pts
24,Kenny Wilburn,,,,"2FGM, Assist",Make 2 Pts,00:00:16.8,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,16:09,"Kenny Wilburn, Matt Caggiano",Transition,3 Kenny Wilburn > Transition > First Middle > To Basket > Make 2 Pts
25,Jalen Jackson,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:22.1,,,Fitchburg State,FIT@RIT,11/08/2024,1,15:45,"Chase Dickens, Jalen Jackson",Post Up,21 Jalen Jackson > Post-Up > Right Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts
26,Chase Dickens,,,,2FGm,Miss 2 Pts,00:00:19.0,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,15:34,Chase Dickens,Transition,11 Chase Dickens > Transition > Trailer > To Basket > Miss 2 Pts
27,Chase Dickens,,,,"Off Reb, Foul",Foul,00:00:07.7,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,15:30,"Chase Dickens, Jalin Pitts",Off Reb,11 Chase Dickens > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul
28,Chase Dickens,,,,FTm,Free Throw,00:00:06.1,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,,Chase Dickens,,11 Chase Dickens > Non Possession > Free Throw
29,Chase Dickens,,,,"FTm, Def Reb",Free Throw,00:00:07.5,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,,"Chase Dickens, Jalen Jackson",,11 Chase Dickens > Non Possession > Free Throw
30,Nathaniel Semedo,,,,Foul,No Violation,00:00:13.0,,,Fitchburg State,FIT@RIT,11/08/2024,1,,Jalin Pitts,,10 Nathaniel Semedo > Non Possession > No Violation
31,Matt Caggiano,,,,FTM,Free Throw,00:00:06.8,,,Rochester Institute of Technology Tigers,FIT@RIT,11/08/2024,1,14:41,Matt Caggiano,,5 Matt Caggiano > Non Possession > Free Throw
