#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Alexei Downie,,,,2FGM,Make 2 Pts,00:00:25.0,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,19:42,Alexei Downie,Post Up,4 Alexei Downie > Post-Up > Left Block > Left Shoulder > Dribble Move > To Jumper > Make 2 Pts
2,Ned Fitzpatrick,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:34.9,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,19:10,"Ned Fitzpatrick, Alexei Downie",Spot Up,10 Ned Fitzpatrick > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
3,Alexei Downie,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:15.3,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,19:00,"Alexei Downie, Jamir Harvey, Ned Fitzpatrick",Transition,4 Alexei Downie > Transition > Ballhandler > To Basket > Miss 2 Pts
4,Aamyr Sullivan,,,,2FGM,Make 2 Pts,00:00:18.3,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,18:40,Aamyr Sullivan,P&R BH,1 Aamyr Sullivan > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
5,Jack LaGarde,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.4,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,18:22,"Jack LaGarde, Aamyr Sullivan",Post Up,32 Jack LaGarde > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts
6,Ned Fitzpatrick,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.1,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,18:11,"Charlie Fantom, Ned Fitzpatrick",Off Screen,10 Ned Fitzpatrick > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
7,Alexei Downie,,,,2FGM,Make 2 Pts,00:00:21.3,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,17:54,Alexei Downie,Post Up,4 Alexei Downie > Post-Up > Right Block > Left Shoulder > Dribble Move > To Jumper > Make 2 Pts
8,Tate Pike,,,,3FGm,Miss 3 Pts,00:00:21.2,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,17:32,Tate Pike,Spot Up,2 Tate Pike > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
9,Aamyr Sullivan,,,,Off Reb,Run Offense,00:00:10.5,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Aamyr Sullivan,Off Reb,1 Aamyr Sullivan > Offensive Rebound > Long > Run Offense
10,Russell Rau,,,,Foul,Foul,00:00:24.9,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,17:13,"Alexei Downie, Russell Rau",Cut,20 Russell Rau > Cut > Basket > Foul
11,Russell Rau,,,,FTm,Free Throw,00:00:06.3,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Russell Rau,,20 Russell Rau > Non Possession > Free Throw
12,Russell Rau,,,,FTM,Free Throw,00:00:05.7,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Russell Rau,,20 Russell Rau > Non Possession > Free Throw
13,Alexei Downie,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:22.2,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,16:56,"Alexei Downie, Ned Fitzpatrick",Post Up,4 Alexei Downie > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Miss 2 Pts
14,Aamyr Sullivan,,,,,No Violation,00:00:16.6,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Aamyr Sullivan,,1 Aamyr Sullivan > Non Possession > No Violation
15,Aamyr Sullivan,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:17.8,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,16:32,"Charlie Fantom, Aidan Roy, Aamyr Sullivan",P&R BH,1 Aamyr Sullivan > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Miss 2 Pts
16,Aidan Roy,,,,2FGM,Make 2 Pts,00:00:25.3,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,16:12,Aidan Roy,P&R BH,15 Aidan Roy > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts
17,Russell Rau,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:24.0,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,15:45,"Charlie Fantom, Russell Rau",P&R BH,20 Russell Rau > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
18,Charlie Fantom,,,,"Turnover, Steal",Turnover,00:00:17.7,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,15:32,"Charlie Fantom, Aamyr Sullivan",P&R BH,5 Charlie Fantom > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Turnover
19,Aamyr Sullivan,,,,Foul,Foul,00:00:08.8,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,15:28,"Aidan Roy, Aamyr Sullivan",Transition,1 Aamyr Sullivan > Transition > Ballhandler > To Basket > Foul
20,Aamyr Sullivan,,,,FTm,Free Throw,00:00:06.1,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Aamyr Sullivan,,1 Aamyr Sullivan > Non Possession > Free Throw
21,Aamyr Sullivan,,,,FTM,Free Throw,00:00:05.7,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Aamyr Sullivan,,1 Aamyr Sullivan > Non Possession > Free Throw
22,Aidan Roy,,,,2FGm,Miss 2 Pts,00:00:17.3,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,15:08,Aidan Roy,"Post Up, Cut",4 Alexei Downie > Post-Up > Right Block > Face-up > Defense Commits > Ball Delivered > 15 Aidan Roy > Cut > Basket > Miss 2 Pts
