#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Chase Dickens,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:20.7,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,1,19:46,"Chase Dickens, Tyler Putney",P&R BH,11 Chase Dickens > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
2,Tyler Putney,,,,Turnover,Turnover,00:00:13.5,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,1,19:34,Tyler Putney,Handoff,5 Tyler Putney > Hand Off > From Dribble > Top > Turnover
3,Chase Dickens,,,,"3FGM, Assist",Make 3 Pts,00:00:24.4,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,1,19:11,"Chase Dickens, Matt Caggiano",Spot Up,11 Chase Dickens > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
4,Luke Insley,,,,2FGM,Make 2 Pts,00:00:12.7,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,1,18:55,Luke Insley,P&R BH,14 Luke Insley > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts
5,Matt Caggiano,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.3,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,1,18:39,"Matt Caggiano, Tyler Putney","P&R BH, Spot Up",12 Brody Brown > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Matt Caggiano > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
6,Jaylen Savage,,,,2FGM,Make 2 Pts,00:00:15.8,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,1,18:26,Jaylen Savage,Handoff,12 Jaylen Savage > Hand Off > From Dribble > Right > Dribble Jumper > Short to < 17' > Make 2 Pts
7,Nolan Smih,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.8,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,1,18:06,"Nolan Smih, Tyler Putney",Spot Up,22 Nolan Smih > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
8,Zachary Mcfarland,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.4,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,1,17:55,"Kenny Wilburn, Zachary Mcfarland",Transition,3 Zachary Mcfarland > Transition > Right Wing > Dribble Jumper > Short to < 17' > Miss 2 Pts
9,Chase Dickens,,,,"2FGM, Foul",0 Pts,00:00:10.6,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,1,17:41,"Chase Dickens, Liam Hopwood",Iso,11 Chase Dickens > ISO > Left > Drives Left > To Basket > Make 2 Pts Foul > 0 Pts
10,Chase Dickens,,,,"FTm, Def Reb",Free Throw,00:00:05.5,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,1,,"Liam Hopwood, Chase Dickens",,11 Chase Dickens > Non Possession > Free Throw
11,Tyler Putney,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.5,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,1,17:24,"Matt Caggiano, Tyler Putney","P&R BH, Spot Up",14 Luke Insley > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Tyler Putney > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
12,Chase Dickens,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:14.3,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,1,17:12,"Chase Dickens, Liam Hopwood",Transition,11 Chase Dickens > Transition > Left Wing > To Basket > Miss 2 Pts
13,Jaylen Savage,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:18.5,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,1,16:57,"Jaylen Savage, Matt Caggiano",Handoff,12 Jaylen Savage > Hand Off > From Dribble > Right > Dribble Jumper > Short to < 17' > Miss 2 Pts
14,Kenny Wilburn,,,,Foul,Foul,00:00:11.9,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,1,16:50,"Zachary Mcfarland, Kenny Wilburn",Transition,3 Kenny Wilburn > Transition > First Middle > To Basket > Foul
15,Kenny Wilburn,,,,FTm,Free Throw,00:00:04.3,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,1,,Kenny Wilburn,,3 Kenny Wilburn > Non Possession > Free Throw
16,Kenny Wilburn,,,,FTM,Free Throw,00:00:06.4,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,1,,Kenny Wilburn,,3 Kenny Wilburn > Non Possession > Free Throw
17,Ryan Broderick,,,,2FGM,Make 2 Pts,00:00:26.7,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,1,16:28,Ryan Broderick,Handoff,2 Ryan Broderick > Hand Off > From Dribble > Top > To Basket > Make 2 Pts
18,Chase Dickens,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:10.5,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,1,16:17,"Chase Dickens, Tyler Putney",P&R BH,11 Chase Dickens > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
19,Jaylen Savage,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:15.2,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,1,16:03,"Jaylen Savage, Chase Dickens",Transition,12 Jaylen Savage > Transition > Right Wing > Dribble Jumper > Short to < 17' > Miss 2 Pts
