#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,Parker Kelly,,,,2FGM,Make 2 Pts,00:00:24.8,,,SUNY Potsdam Bears,SUN@SKD,11/20/2024,1,19:41,Parker Kelly,Iso,21 Parker Kelly > ISO > Top > Drives Right > Dribble Jumper > Short to < 17' > Make 2 Pts
2,Hakeem Daphnis,,,,Turnover,Turnover,00:00:08.3,,,Skidmore Thoroughbreds,SUN@SKD,11/20/2024,1,19:30,Hakeem Daphnis,"P&R BH, Spot Up",3 Nick Padilla > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Hakeem Daphnis > Spot-Up > Turnover
3,Walter Defreitas,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:16.5,,,SUNY Potsdam Bears,SUN@SKD,11/20/2024,1,19:22,"Walter Defreitas, Jack LaGarde",Handoff,24 Walter Defreitas > Hand Off > From Dribble > Left > To Basket > Miss 2 Pts
4,Alexei Downie,,,,Foul,Foul,00:00:14.7,,,Skidmore Thoroughbreds,SUN@SKD,11/20/2024,1,19:12,"Nicholas Cortez, Alexei Downie",Transition,4 Alexei Downie > Transition > First Middle > To Basket > Foul
5,Alexei Downie,,,,FTM,Free Throw,00:00:06.2,,,Skidmore Thoroughbreds,SUN@SKD,11/20/2024,1,,Alexei Downie,,4 Alexei Downie > Non Possession > Free Throw
6,Alexei Downie,,,,"FTm, Def Reb",Free Throw,00:00:10.0,,,Skidmore Thoroughbreds,SUN@SKD,11/20/2024,1,,"Alexei Downie, Walter Defreitas",,4 Alexei Downie > Non Possession > Free Throw
7,Walter Defreitas,,,,Foul,Non Shooting Foul,00:00:18.6,,,,SUN@SKD,11/20/2024,1,,Alexei Downie,,24 Walter Defreitas > Non Possession > Non Shooting Foul
8,Parker Kelly,,,,,Turnover,00:00:16.9,,,SUNY Potsdam Bears,SUN@SKD,11/20/2024,1,,Parker Kelly,,5 Mohammad Sylla > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Parker Kelly > P&R Roll Man > Rolls to Basket > Turnover
9,Nick Padilla,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:15.4,,,Skidmore Thoroughbreds,SUN@SKD,11/20/2024,1,18:43,"Nick Padilla, Nicholas Cortez",Transition,3 Nick Padilla > Transition > First Middle > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
10,Nicholas Cortez,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.3,,,SUNY Potsdam Bears,SUN@SKD,11/20/2024,1,18:31,"Nicholas Cortez, Alexei Downie",Transition,27 Nicholas Cortez > Transition > Trailer > To Basket > Miss 2 Pts
11,Jack LaGarde,,,,Foul,Foul,00:00:11.8,,,Skidmore Thoroughbreds,SUN@SKD,11/20/2024,1,18:26,"Walter Defreitas, Jack LaGarde",Transition,32 Jack LaGarde > Transition > First Middle > To Basket > Foul
12,Jack LaGarde,,,,FTM,Free Throw,00:00:06.4,,,Skidmore Thoroughbreds,SUN@SKD,11/20/2024,1,,Jack LaGarde,,32 Jack LaGarde > Non Possession > Free Throw
13,Jack LaGarde,,,,FTM,Free Throw,00:00:06.5,,,Skidmore Thoroughbreds,SUN@SKD,11/20/2024,1,,Jack LaGarde,,32 Jack LaGarde > Non Possession > Free Throw
14,Walter Defreitas,,,,Foul,Non Shooting Foul,00:00:19.2,,,,SUN@SKD,11/20/2024,1,,Nick Padilla,,24 Walter Defreitas > Non Possession > Non Shooting Foul
15,Mike Hancock,,,,"3FGM, Assist",Make 3 Pts,00:00:19.7,,,SUNY Potsdam Bears,SUN@SKD,11/20/2024,1,17:51,"Mike Hancock, Mohammad Sylla",Spot Up,13 Mike Hancock > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
16,Charlie Fantom,,,,2FGM,Make 2 Pts,00:00:14.5,,,Skidmore Thoroughbreds,SUN@SKD,11/20/2024,1,17:32,Charlie Fantom,"P&R BH, Spot Up",23 Hakeem Daphnis > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Charlie Fantom > Spot-Up > Drives Left > To Basket > Make 2 Pts
17,Nicholas Cortez,,,,"2FGM, Assist",Make 2 Pts,00:00:18.4,,,SUNY Potsdam Bears,SUN@SKD,11/20/2024,1,17:14,"Nicholas Cortez, Walter Defreitas",Cut,27 Nicholas Cortez > Cut > Basket > Make 2 Pts
18,Alexei Downie,,,,Foul,Non Shooting Foul,00:00:21.9,,,,SUN@SKD,11/20/2024,1,,Walter Defreitas,,4 Alexei Downie > Non Possession > Non Shooting Foul
19,Charlie Fantom,,,,"3FGM, Assist",Make 3 Pts,00:00:09.9,,,Skidmore Thoroughbreds,SUN@SKD,11/20/2024,1,16:48,"Charlie Fantom, Nick Padilla",Off Screen,5 Charlie Fantom > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
20,Mohammad Sylla,,,,2FGM,Make 2 Pts,00:00:11.7,,,SUNY Potsdam Bears,SUN@SKD,11/20/2024,1,16:37,Mohammad Sylla,Transition,5 Mohammad Sylla > Transition > Ballhandler > To Basket > Make 2 Pts
21,Hakeem Daphnis,,,,3FGm,Miss 3 Pts,00:00:17.5,,,Skidmore Thoroughbreds,SUN@SKD,11/20/2024,1,16:23,Hakeem Daphnis,Spot Up,23 Hakeem Daphnis > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
