Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
RPI,RIT,Rensselaer Polytechnic,2pMa,To Basket,Jonny Angbazo,PNR,Left,Away,Avery Eugster,Spot Ups,Left,Drive,Liberty League,Liberty League,1,1.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,Turnover,To Basket,Brock Bowen,PNR,High,Off,Kenny Wilburn,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,3,1.0,2024
RPI,RIT,Rensselaer Polytechnic,3pmi,Dribble Jumper,Avery Eugster,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,4,4.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,5,1.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,1.0,2024
RPI,RIT,Rensselaer Polytechnic,2pmi,Dribble Jumper,Jonny Angbazo,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,Liberty League,Liberty League,7,2.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2024
RPI,RIT,Rensselaer Polytechnic,3pMa,No Dribble Jumper,Jonny Angbazo,Iso,Right,N/A,Avery Eugster,Spot Ups,N/A,Shot,Liberty League,Liberty League,9,4.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Jackson Otis,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,10,1.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Brock Bowen,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,1.0,2024
RPI,RIT,Rensselaer Polytechnic,2pmi,To Basket,PJ Scalisi,PNR,Left,Off,Andrew Deppe,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,13,1.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,Iso,Right,N/A,Brock Bowen,Spot Ups,N/A,Shot,Liberty League,Liberty League,14,4.0,2024
RPI,RIT,Rensselaer Polytechnic,2pmi,To Basket,Jonny Angbazo,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,16,1.0,2024
RPI,RIT,Rensselaer Polytechnic,2pmi,Dribble Jumper,Dyland Matchett,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,3.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,1.0,2024
RPI,RIT,Rensselaer Polytechnic,Turnover,N/A,PJ Scalisi,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,19,1.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,4.0,2024
RPI,RIT,Rensselaer Polytechnic,Turnover,N/A,Jonny Angbazo,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,21,1.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,Foul,To Basket,Brock Bowen,PNR,Right,Off,Chase Dickens,Spot Ups,Right,Drive,Liberty League,Liberty League,22,1.0,2024
RPI,RIT,Rensselaer Polytechnic,Turnover,N/A,Dyland Matchett,PNR,High,Off,Andrew Deppe,P&R Roll Man,Left,Pop,Liberty League,Liberty League,25,1.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Chase Dickens,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,26,2.0,2024
RPI,RIT,Rensselaer Polytechnic,2pmi,To Basket,Avery Eugster,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,27,1.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,29,1.0,2024
RPI,RIT,Rensselaer Polytechnic,2pmi,Dribble Jumper,Dyland Matchett,PNR,Left,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,31,2.0,2024
RPI,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,32,1.0,2024
