Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
RIT,GUB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,1,4.0,2024
RIT,GUB,Gallaudet University Bison,Turnover,N/A,Brandon Chung,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,2,1.0,2024
RIT,GUB,Rochester Institute of Technology Tigers,2pmi,To Basket,Jackson Otis,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,3,1.0,2024
RIT,GUB,Rochester Institute of Technology Tigers,And1,To Basket,Brock Bowen,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,5,1.0,2024
RIT,GUB,Gallaudet University Bison,3pmi,Dribble Jumper,Rory Lewis,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,7,4.0,2024
RIT,GUB,Gallaudet University Bison,Foul,To Basket,Blessed Mbogo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,8,1.0,2024
RIT,GUB,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Jackson Otis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,11,4.0,2024
RIT,GUB,Gallaudet University Bison,Foul,To Basket,Enow Otto Jr.,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,12,1.0,2024
RIT,GUB,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Keegan Ocorr,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,15,2.0,2024
RIT,GUB,Gallaudet University Bison,Turnover,N/A,Bruce Brewer Jr,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,16,1.0,2024
RIT,GUB,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brody Brown,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,UNKNOWN,17,4.0,2024
