Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
RIT,VC,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,1,4.0,2024
RIT,VC,Vassar Brewers,2pmi,To Basket,JP Miranda,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,2,1.0,2024
RIT,VC,Vassar Brewers,2pMa,To Basket,JP Miranda,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,3,1.0,2024
RIT,VC,Rochester Institute of Technology Tigers,2pmi,No Dribble Jumper,Chase Dickens,Iso,Right,N/A,Kenny Wilburn,Spot Ups,N/A,Shot,Liberty League,Liberty League,4,3.0,2024
RIT,VC,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,6,1.0,2024
RIT,VC,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,8,1.0,2024
RIT,VC,Rochester Institute of Technology Tigers,Foul,Dribble Jumper,Keegan Ocorr,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,9,2.0,2024
RIT,VC,Vassar Brewers,2pmi,Dribble Jumper,JP Miranda,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,12,2.0,2024
RIT,VC,Rochester Institute of Technology Tigers,And1,To Basket,Chase Dickens,Iso,Left,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,13,1.0,2024
RIT,VC,Vassar Brewers,3pMa,No Dribble Jumper,Shea Fitzgerald,PNR,High,Off,JP Miranda,Spot Ups,N/A,Shot,Liberty League,Liberty League,15,4.0,2024
RIT,VC,Rochester Institute of Technology Tigers,2pMa,To Basket,Brock Bowen,PNR,High,Off,Jackson Otis,Spot Ups,Right,Drive,Liberty League,Liberty League,16,1.0,2024
RIT,VC,Vassar Brewers,Turnover,N/A,Shea Fitzgerald,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,17,1.0,2024
RIT,VC,Rochester Institute of Technology Tigers,2pMa,To Basket,Keegan Ocorr,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,18,1.0,2024
RIT,VC,Vassar Brewers,2pMa,To Basket,JP Miranda,PNR,High,Off,Nathan Denham,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,19,1.0,2024
RIT,VC,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Chase Dickens,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,20,3.0,2024
RIT,VC,Vassar Brewers,2pMa,To Basket,Nathan Denham,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,21,1.0,2024
RIT,VC,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,22,1.0,2024
RIT,VC,Vassar Brewers,2pMa,To Basket,JP Miranda,PNR,Right,Off,Nathan Denham,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,23,1.0,2024
RIT,VC,Rochester Institute of Technology Tigers,2pMa,To Basket,Jackson Otis,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,24,1.0,2024
RIT,VC,Vassar Brewers,3pmi,No Dribble Jumper,Shea Fitzgerald,PNR,High,Off,Alex Walters,P&R Roll Man,N/A,Pop,Liberty League,Liberty League,25,4.0,2024
RIT,VC,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,26,1.0,2024
RIT,VC,Vassar Brewers,2pmi,Dribble Jumper,JP Miranda,PNR,Left,Off,Nathan Denham,Spot Ups,Left,Drive,Liberty League,Liberty League,27,2.0,2024
RIT,VC,Rochester Institute of Technology Tigers,Turnover,N/A,Brock Bowen,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,28,1.0,2024
RIT,VC,Vassar Brewers,2pmi,Hook Shot,Devyn Benson,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,29,1.0,2024
RIT,VC,Vassar Brewers,3pmi,No Dribble Jumper,JP Miranda,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,31,4.0,2024
RIT,VC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,32,4.0,2024
RIT,VC,Vassar Brewers,2pmi,Dribble Jumper,JP Miranda,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,34,2.0,2024
RIT,VC,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Chase Dickens,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,35,3.0,2024
RIT,VC,Vassar Brewers,2pmi,To Basket,Devyn Benson,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,36,1.0,2024
RIT,VC,Vassar Brewers,2pMa,To Basket,Shea Fitzgerald,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,37,1.0,2024
RIT,VC,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Brody Brown,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,38,2.0,2024
RIT,VC,Vassar Brewers,3pMa,No Dribble Jumper,Shea Fitzgerald,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,39,4.0,2024
RIT,VC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,PNR,Left,Off,Matt Caggiano,Spot Ups,N/A,Shot,Liberty League,Liberty League,40,4.0,2024
RIT,VC,Vassar Brewers,Turnover,N/A,Kreekor Karageuzian,PNR,Right,Off,Nathan Denham,Spot Ups,Left,Drive,Liberty League,Liberty League,41,1.0,2024
RIT,VC,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,43,1.0,2024
RIT,VC,Vassar Brewers,3pmi,No Dribble Jumper,Shea Fitzgerald,PNR,High,Off,Avery Lee,Spot Ups,N/A,Shot,Liberty League,Liberty League,44,4.0,2024
RIT,VC,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,45,1.0,2024
RIT,VC,Vassar Brewers,2pmi,To Basket,Kreekor Karageuzian,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,46,1.0,2024
RIT,VC,Vassar Brewers,2pMa,To Basket,Avery Lee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,47,1.0,2024
RIT,VC,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,48,1.0,2024
RIT,VC,Vassar Brewers,3pMa,No Dribble Jumper,Shea Fitzgerald,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,49,4.0,2024
RIT,VC,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Mark Osime,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,50,4.0,2024
RIT,VC,Vassar Brewers,3pMa,No Dribble Jumper,Avery Lee,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,51,4.0,2024
RIT,VC,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Matt Caggiano,PNR,Left,Off,Brock Bowen,Spot Ups,N/A,Shot,Liberty League,Liberty League,52,4.0,2024
RIT,VC,Vassar Brewers,3pmi,No Dribble Jumper,Shea Fitzgerald,PNR,High,Away,Avery Lee,Spot Ups,N/A,Shot,Liberty League,Liberty League,53,4.0,2024
RIT,VC,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,54,1.0,2024
RIT,VC,Vassar Brewers,Turnover,To Basket,Avery Lee,PNR,Left,Off,Logan Scott,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,56,1.0,2024
