#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Rowan Heinze,,,,,No Violation,00:00:07.8,,,Bard College,Bar@RIT,02/17/2024,1,,Rowan Heinze,21 Rowan Heinze > Non Possession > No Violation,
2,Elliot Harris,,,,"Handoff, 3FGM, Assist",Make 3 Pts,00:00:12.3,,,Bard College,Bar@RIT,02/17/2024,1,19:50,"Elliot Harris, Rowan Heinze",33 Elliot Harris > Hand Off > From Stationary > Left > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
3,Ronnie Toole,,,,"Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:19.5,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,19:29,"Ronnie Toole, Azriel Almodovar",15 Ronnie Toole > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
4,Sean Wilcox,,,,"Spot Up, 3FGm",Miss 3 Pts,00:00:19.9,,,Bard College,Bar@RIT,02/17/2024,1,19:16,Sean Wilcox,31 Sean Wilcox > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
5,Brandon Weiss,,,,"Off Screen, 3FGM, Assist",Make 3 Pts,00:00:11.9,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,19:01,"Brandon Weiss, Mark Osime",4 Brandon Weiss > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
6,Laz Panagiotounis,,,,"Transition, 3FGM",Make 3 Pts,00:00:10.1,,,Bard College,Bar@RIT,02/17/2024,1,18:51,Laz Panagiotounis,15 Laz Panagiotounis > Transition > Right Wing > Dribble Jumper > Long/3pt > Make 3 Pts,
7,Matt Caggiano,,,,"P&R BH, 3FGM",Make 3 Pts,00:00:16.1,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,18:29,Matt Caggiano,5 Matt Caggiano > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,
8,Laz Panagiotounis,,,,"Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:20.0,,,Bard College,Bar@RIT,02/17/2024,1,18:11,"Brandon Weiss, Laz Panagiotounis",15 Laz Panagiotounis > Spot-Up > Drives Right > Dribble Jumper > Long/3pt > Miss 3 Pts,
9,Mark Osime,,,,"Transition, 3FGM, Assist",Make 3 Pts,00:00:14.6,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,18:02,"Mark Osime, Ronnie Toole",23 Mark Osime > Transition > Right Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
10,Laz Panagiotounis,,,,"Handoff, 2FGM",Make 2 Pts,00:00:23.4,,,Bard College,Bar@RIT,02/17/2024,1,17:40,Laz Panagiotounis,15 Laz Panagiotounis > Hand Off > From Dribble > Right > Dribble Jumper > Medium/17' to <3p > Make 2 Pts,
