Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Kenny Wilburn,Rochester Institute of Technology Tigers,31,0,0,,25,15,60.0,0,0,,60.0,2,4
Josiah Turner,Rochester Institute of Technology Tigers,27,0,0,,24,15,62.5,0,0,,62.5,1,2
Jackson Otis,Rochester Institute of Technology Tigers,14,0,0,,10,7,70.0,0,0,,70.0,3,1
Mark Osime,Rochester Institute of Technology Tigers,10,0,0,,8,4,50.0,0,0,,50.0,1,1
Zac Ditzel,Rochester Institute of Technology Tigers,8,0,0,,5,3,60.0,0,0,,60.0,1,2
Keegan Ocorr,Rochester Institute of Technology Tigers,8,0,0,,6,5,83.3333,0,0,,83.33333,0,2
Brock Bowen,Rochester Institute of Technology Tigers,8,0,0,,6,5,83.3333,0,0,,83.33333,0,2
Nolan Smih,Rochester Institute of Technology Tigers,8,0,0,,8,5,62.5,0,0,,62.5,0,0
Nathan Denham,Vassar Brewers,7,0,0,,5,4,80.0,0,0,,80.0,0,2
Matt Caggiano,Rochester Institute of Technology Tigers,7,0,0,,6,5,83.3333,0,0,,83.33333,1,0
Chase Dickens,Rochester Institute of Technology Tigers,7,0,0,,7,5,71.4286,0,0,,71.42857,0,0
Aren Cummings,Union (NY) Dutchmen,5,0,0,,4,3,75.0,0,0,,75.0,0,1
Carter Meshanic,Hobart College Statesmen,5,0,0,,5,4,80.0,0,0,,80.0,0,0
Jack Plesser,Union (NY) Dutchmen,5,0,0,,3,2,66.6667,0,0,,66.66667,0,2
Brody Brown,Rochester Institute of Technology Tigers,5,0,0,,5,2,40.0,0,0,,40.0,0,0
Case Parsons,Vassar Brewers,4,0,0,,3,1,33.3333,0,0,,33.33333,1,0
Tyler Cardello,Elmira,4,0,0,,2,1,50.0,0,0,,50.0,1,1
Joey Skoric,Skidmore Thoroughbreds,4,0,0,,3,1,33.3333,0,0,,33.33333,1,0
Ryan Rosa,Alfred State Pioneers,3,0,0,,2,2,100.0,0,0,,100.0,0,1
Logan Jagodzinski,Rochester (NY) Yellowjackets,3,0,0,,3,3,100.0,0,0,,100.0,0,0
Shea Fitzgerald,Vassar Brewers,3,0,0,,3,2,66.6667,0,0,,66.66667,0,0
Rowan Heinze,Bard College,3,0,0,,1,1,100.0,0,0,,100.0,1,1
Ryan Lucey,Hobart College Statesmen,3,0,0,,2,2,100.0,0,0,,100.0,0,1
Matt Wiele,Rochester (NY) Yellowjackets,3,0,0,,3,3,100.0,0,0,,100.0,0,0
Triston Wennersten,Ithaca College,3,0,0,,3,3,100.0,0,0,,100.0,0,0
Owen Evans,Elmira,3,0,0,,2,0,0.0,0,0,,0.0,0,1
Alex Antsiferov,Gallaudet University Bison,3,0,0,,3,2,66.6667,0,0,,66.66667,0,0
Christian Dufort,Union (NY) Dutchmen,3,0,0,,3,2,66.6667,0,0,,66.66667,0,0
Hunter Meshanic,Hobart College Statesmen,3,0,0,,3,1,33.3333,0,0,,33.33333,0,0
Brad Fowler,St. John Fisher Cardinals,3,0,0,,3,3,100.0,0,0,,100.0,0,0
Daniel Cook,St. John Fisher Cardinals,3,0,0,,3,3,100.0,0,0,,100.0,0,0
Connor Recore,St. John Fisher Cardinals,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Matt Lettko,St. John Fisher Cardinals,2,0,0,,1,0,0.0,0,0,,0.0,1,0
Aidan Roy,Skidmore Thoroughbreds,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Jack Foley,St. John Fisher Cardinals,2,0,0,,1,1,100.0,0,0,,100.0,0,1
Andrew Deppe,Rensselaer Polytechnic,2,0,0,,0,0,,0,0,,,1,1
Evan Cabral,Ithaca College,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Gavin Macaulay,St. Lawrence Saints,2,0,0,,2,0,0.0,0,0,,0.0,0,0
Laurence Brady,Ithaca College,2,0,0,,2,0,0.0,0,0,,0.0,0,0
Adam Dudzinski,St. Lawrence Saints,2,0,0,,2,0,0.0,0,0,,0.0,0,0
Luke Granto,Rochester Institute of Technology Tigers,2,0,0,,2,2,100.0,0,0,,100.0,0,0
Bryce Bleibtrey,Ithaca College,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Logan Wendell,Ithaca College,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Luke Mcgarrity,Union (NY) Dutchmen,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Dorian Paki,Hobart College Statesmen,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Isaiah Washington,Hobart College Statesmen,2,0,0,,0,0,,0,0,,,0,2
Finn Cork,Clarkson University Golden Knights,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Malachi Moore,Rochester (NY) Yellowjackets,2,0,0,,2,0,0.0,0,0,,0.0,0,0
Logan Scott,Vassar Brewers,2,0,0,,1,0,0.0,0,0,,0.0,0,1
Devyn Benson,Vassar Brewers,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Azriel Almodovar,Bard College,2,0,0,,1,1,100.0,0,0,,100.0,0,1
Logan Dunbar,Alfred State Pioneers,2,0,0,,1,0,0.0,0,0,,0.0,0,1
Logan Blankenberg,Nazareth College Golden Flyers,2,0,0,,1,1,100.0,0,0,,100.0,0,1
Brandon Weiss,Rochester Institute of Technology Tigers,2,0,0,,2,1,50.0,0,0,,50.0,0,0
John Bangel,Wells,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Dylan Perry,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Ivan OduroDompreh,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Paris Jamison,Alfred State Pioneers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Terrance Clayton-Murphy,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Evan Hauser,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Billy Mccrae,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Frankie Rainville,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Kreekor Karageuzian,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Marc Anthony Artuz,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Carter Seeberger,Elmira,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Ronnie Toole,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Lane Aaron,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Lemar Fulmore Jr,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,0,1
Zachary Bippus,Gallaudet University Bison,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Enow Otto Jr.,Gallaudet University Bison,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Cameron Storm,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Carter Storey,St. Lawrence Saints,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Gavin Schauder,Ithaca College,1,0,0,,0,0,,0,0,,,0,1
Andrew Cowan,St. Lawrence Saints,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Connor Williams,St. John Fisher Cardinals,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Alex Penders,Ithaca College,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Hakeem Daphnis,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1,0
Dillon McCafferty,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Jack LaGarde,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Chris Downs Jr.,St. Lawrence Saints,1,0,0,,0,0,,0,0,,,0,1
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Aidan Holmes,Ithaca College,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Brendan Reid,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Jaylon O'Neal,Ithaca College,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Mitchell Kershner,Rochester (NY) Yellowjackets,1,0,0,,0,0,,0,0,,,1,0
Pat Healy,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Sean Wilcox,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Heston Tucker,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Matt Niemczura,Rochester (NY) Yellowjackets,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Laz Panagiotounis,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Avery Lee,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0,0
