Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Andrew Geschickter,Ithaca College,6,2,2,100.0,1,1,100.0,1,1,100.0,133.33333,2,1
Chase Dickens,Rochester Institute of Technology Tigers,5,2,2,100.0,3,1,33.3333,0,0,,80.0,0,0
Brock Bowen,Rochester Institute of Technology Tigers,5,1,0,0.0,3,1,33.3333,0,0,,25.0,1,0
Matt Caggiano,Rochester Institute of Technology Tigers,4,1,0,0.0,3,1,33.3333,1,0,0.0,25.0,0,0
Ryan Miles-Ferguson,Clarkson University Golden Knights,4,2,1,50.0,2,1,50.0,2,1,50.0,62.5,0,0
Mark Osime,Rochester Institute of Technology Tigers,3,2,0,0.0,1,1,100.0,1,1,100.0,33.33333,0,0
Luke Mcgarrity,Union (NY) Dutchmen,3,1,0,0.0,1,1,100.0,0,0,,50.0,1,0
Brandon Weiss,Rochester Institute of Technology Tigers,3,2,1,50.0,1,0,0.0,1,0,0.0,50.0,0,0
Keegan Ocorr,Rochester Institute of Technology Tigers,2,0,0,,1,0,0.0,1,0,0.0,0.0,1,0
Azriel Almodovar,Bard College,2,0,0,,0,0,,0,0,,,1,1
Logan Wendell,Ithaca College,2,2,0,0.0,0,0,,0,0,,0.0,0,0
Tyler Putney,Nazareth College Golden Flyers,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Dyland Matchett,Rensselaer Polytechnic,2,0,0,,2,0,0.0,1,0,0.0,0.0,0,0
Jordan Haggard,Nazareth College Golden Flyers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
PJ Scalisi,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Aiden Macaulay,St. Lawrence Saints,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Gavin Macaulay,St. Lawrence Saints,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Aren Cummings,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
Edward Baptiste,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Dylan Perry,Alfred State Pioneers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Ryan Rosa,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,1,0
Paris Jamison,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Zy Switzer,Alfred State Pioneers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Laz Panagiotounis,Bard College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Aidan Holmes,Ithaca College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Elliot Harris,Bard College,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Riley Spencer,Elmira,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Marc Anthony Artuz,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Bruce Brewer Jr,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1,0
Blessed Mbogo,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1,0
Braeden Burns,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Alex Moesch,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Ian Bentley,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Prince Shyllon,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Carter Meshanic,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Mitchell Kershner,Rochester (NY) Yellowjackets,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Frankie Rainville,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,1,0
Zachary Bippus,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1,0
Evan Cabral,Ithaca College,1,0,0,,1,1,100.0,0,0,,100.0,0,0
