Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Chase Dickens,Rochester Institute of Technology Tigers,21,8,6,75.0,10,3,30.0,3,1,33.3333,66.66667,1,2
Brock Bowen,Rochester Institute of Technology Tigers,18,8,4,50.0,7,4,57.1429,3,2,66.6667,66.66667,2,1
Matt Caggiano,Rochester Institute of Technology Tigers,18,2,1,50.0,13,7,53.8462,2,0,0.0,56.66667,2,1
Ryan Miles-Ferguson,Clarkson University Golden Knights,8,3,1,33.3333,5,2,40.0,3,1,33.3333,43.75,0,0
Andrew Geschickter,Ithaca College,8,3,2,66.6667,2,1,50.0,2,1,50.0,80.0,2,1
Mark Osime,Rochester Institute of Technology Tigers,6,3,0,0.0,3,2,66.6667,1,1,100.0,33.33333,0,0
Brandon Weiss,Rochester Institute of Technology Tigers,5,3,1,33.3333,2,1,50.0,1,0,0.0,50.0,0,0
Luke Mcgarrity,Union (NY) Dutchmen,5,2,0,0.0,1,1,100.0,0,0,,33.33333,2,0
Jake Walsh,Skidmore Thoroughbreds,5,2,0,0.0,1,0,0.0,0,0,,0.0,1,1
Keegan Ocorr,Rochester Institute of Technology Tigers,5,1,0,0.0,3,1,33.3333,2,0,0.0,25.0,1,0
Laz Panagiotounis,Bard College,4,1,1,100.0,1,1,100.0,1,1,100.0,125.0,2,0
Braeden Burns,Clarkson University Golden Knights,4,1,0,0.0,3,2,66.6667,1,1,100.0,50.0,0,0
Logan Wendell,Ithaca College,4,2,0,0.0,0,0,,1,0,0.0,0.0,0,2
Azriel Almodovar,Bard College,3,0,0,,1,0,0.0,1,0,0.0,0.0,1,1
Elliot Harris,Bard College,3,3,3,100.0,0,0,,0,0,,150.0,0,0
PJ Scalisi,Rensselaer Polytechnic,3,1,1,100.0,2,0,0.0,2,0,0.0,50.0,0,0
Logan Blankenberg,Nazareth College Golden Flyers,3,0,0,,3,2,66.6667,0,0,,66.66667,0,0
Shea Fitzgerald,Vassar Brewers,3,1,1,100.0,1,1,100.0,0,0,,125.0,1,0
Evan Cabral,Ithaca College,3,0,0,,2,2,100.0,1,1,100.0,100.0,0,1
Aidan Roy,Skidmore Thoroughbreds,2,0,0,,1,0,0.0,1,0,0.0,0.0,1,0
Riley Spencer,Elmira,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0,0
Jaylen Savage,Nazareth College Golden Flyers,2,0,0,,2,1,50.0,2,1,50.0,50.0,0,0
Josiah Turner,Rochester Institute of Technology Tigers,2,2,0,0.0,0,0,,0,0,,0.0,0,0
Marc Anthony Artuz,Elmira,2,0,0,,1,0,0.0,0,0,,0.0,1,0
Enow Otto Jr.,Gallaudet University Bison,2,0,0,,1,0,0.0,0,0,,0.0,0,1
Trey Syroka,St. Lawrence Saints,2,0,0,,2,1,50.0,2,1,50.0,50.0,0,0
Hakeem Daphnis,Skidmore Thoroughbreds,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0,0
Dyland Matchett,Rensselaer Polytechnic,2,0,0,,2,0,0.0,1,0,0.0,0.0,0,0
Prince Shyllon,Skidmore Thoroughbreds,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Nick Padilla,Skidmore Thoroughbreds,2,0,0,,2,2,100.0,0,0,,100.0,0,0
Tyler Putney,Nazareth College Golden Flyers,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Aren Cummings,Union (NY) Dutchmen,2,0,0,,0,0,,0,0,,,2,0
Christian Dufort,Union (NY) Dutchmen,2,1,0,0.0,0,0,,0,0,,0.0,0,1
Malachi Moore,Rochester (NY) Yellowjackets,2,0,0,,2,1,50.0,2,1,50.0,50.0,0,0
Brody Brown,Rochester Institute of Technology Tigers,2,0,0,,0,0,,0,0,,,1,1
Aidan Holmes,Ithaca College,2,0,0,,2,1,50.0,1,0,0.0,50.0,0,0
Matthew Garside,Union (NY) Dutchmen,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Frankie Rainville,Clarkson University Golden Knights,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Steve DeRegis,Clarkson University Golden Knights,2,1,0,0.0,0,0,,0,0,,0.0,1,0
Alex Moesch,Hobart College Statesmen,2,1,1,100.0,1,0,0.0,0,0,,75.0,0,0
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Carter Meshanic,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Connor Cepiel,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
JP Miranda,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Matt Wiele,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Adam Dudzinski,St. Lawrence Saints,1,0,0,,0,0,,0,0,,,0,1
Carter Storey,St. Lawrence Saints,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Jordan Haggard,Nazareth College Golden Flyers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Jaylon O'Neal,Ithaca College,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Aiden Macaulay,St. Lawrence Saints,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Gavin Macaulay,St. Lawrence Saints,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Edward Baptiste,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
Dylan Perry,Alfred State Pioneers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Ryan Rosa,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,1,0
Paris Jamison,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Zy Switzer,Alfred State Pioneers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Matt Brand,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Luke Granto,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Brandon Chung,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1,0
Bruce Brewer Jr,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1,0
Blessed Mbogo,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1,0
Owen Evans,Elmira,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Ian Bentley,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Mitchell Kershner,Rochester (NY) Yellowjackets,1,1,0,0.0,0,0,,0,0,,0.0,0,0
