Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Rochester Institute of Technology Tigers,5,0,0,,4,3,75.0,0,0,,75.0,0,1
Chase Dickens,Rochester Institute of Technology Tigers,4,0,0,,3,0,0.0,0,0,,0.0,0,1
Frankie Rainville,Clarkson University Golden Knights,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Evan Cabral,Ithaca College,2,0,0,,1,1,100.0,0,0,,100.0,0,1
Jake Walsh,Skidmore Thoroughbreds,2,0,0,,0,0,,0,0,,,1,1
Mark Osime,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Connor Cepiel,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
Shea Fitzgerald,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Brody Brown,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,0,1
Azriel Almodovar,Bard College,1,0,0,,0,0,,0,0,,,1,0
Zachary Bippus,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1,0
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Luke Mcgarrity,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Brandon Weiss,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Marc Anthony Artuz,Elmira,1,0,0,,0,0,,0,0,,,1,0
