Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Kenny Wilburn,Rochester Institute of Technology Tigers,22,0,0,,17,7,41.1765,8,5,62.5,41.17647,3,2
Chase Dickens,Rochester Institute of Technology Tigers,17,1,0,0.0,16,6,37.5,8,4,50.0,35.29412,0,0
Josiah Turner,Rochester Institute of Technology Tigers,13,0,0,,9,3,33.3333,0,0,,33.33333,0,4
Matt Caggiano,Rochester Institute of Technology Tigers,7,0,0,,6,2,33.3333,1,1,100.0,33.33333,0,1
Keegan Ocorr,Rochester Institute of Technology Tigers,6,0,0,,5,3,60.0,2,0,0.0,60.0,0,1
Carter Meshanic,Hobart College Statesmen,4,0,0,,4,3,75.0,0,0,,75.0,0,0
Pat Healy,Hobart College Statesmen,4,1,0,0.0,3,2,66.6667,0,0,,50.0,0,0
Logan Wendell,Ithaca College,3,0,0,,2,0,0.0,0,0,,0.0,0,1
Aidan Rodgers,Hobart College Statesmen,2,0,0,,2,1,50.0,1,0,0.0,50.0,0,0
Isaiah Washington,Hobart College Statesmen,2,0,0,,2,1,50.0,2,1,50.0,50.0,0,0
Ryan Miles-Ferguson,Clarkson University Golden Knights,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Logan Blankenberg,Nazareth College Golden Flyers,2,0,0,,1,1,100.0,1,1,100.0,100.0,0,1
Jonny Angbazo,Rensselaer Polytechnic,2,0,0,,1,0,0.0,0,0,,0.0,1,0
Jake Walsh,Skidmore Thoroughbreds,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0,0
Chase Welch,Wells,2,0,0,,1,0,0.0,1,0,0.0,0.0,0,1
Laz Panagiotounis,Bard College,2,0,0,,2,2,100.0,0,0,,100.0,0,0
Ryan Lucey,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Gabriel Bergeron,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Luke Granto,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Brock Bowen,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Brandon Weiss,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Lemar Fulmore Jr,Union (NY) Dutchmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Kreekor Karageuzian,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Ivan OduroDompreh,Wells,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Cody Schneider,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,1,0
Tyler Cardello,Elmira,1,0,0,,0,0,,0,0,,,0,1
Zachary Bippus,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,0,1
Mihail Bossev,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Dorian Paki,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1,0
Brendan Reid,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Christian Dufort,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Logan Jagodzinski,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Shea Fitzgerald,Vassar Brewers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
