Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Brock Bowen,Rochester Institute of Technology Tigers,18,12,6,50.0,4,3,75.0,3,2,66.6667,75.0,1,1
Chase Dickens,Rochester Institute of Technology Tigers,15,7,2,28.5714,7,3,42.8571,3,1,33.3333,42.85714,1,0
Logan Jagodzinski,Rochester (NY) Yellowjackets,3,2,0,0.0,0,0,,0,0,,0.0,0,0
Matt Caggiano,Rochester Institute of Technology Tigers,3,0,0,,3,1,33.3333,1,0,0.0,33.33333,0,0
Brody Brown,Rochester Institute of Technology Tigers,3,2,0,0.0,1,1,100.0,0,0,,33.33333,0,0
Keegan Ocorr,Rochester Institute of Technology Tigers,2,1,0,0.0,0,0,,0,0,,0.0,1,0
Luke Mcgarrity,Union (NY) Dutchmen,2,1,1,100.0,0,0,,0,0,,150.0,1,0
Ryan Miles-Ferguson,Clarkson University Golden Knights,2,1,0,0.0,1,1,100.0,1,1,100.0,50.0,0,0
Hakeem Daphnis,Skidmore Thoroughbreds,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Alex Moesch,Hobart College Statesmen,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0,0
Aidan Rodgers,Hobart College Statesmen,2,2,2,100.0,0,0,,0,0,,150.0,0,0
Connor Cepiel,Union (NY) Dutchmen,2,1,1,100.0,0,0,,0,0,,150.0,1,0
Jake Walsh,Skidmore Thoroughbreds,2,1,1,100.0,1,1,100.0,1,1,100.0,125.0,0,0
Ian Bentley,Skidmore Thoroughbreds,2,2,0,0.0,0,0,,0,0,,0.0,0,0
Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Tyler Putney,Nazareth College Golden Flyers,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Avery Lee,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Shea Fitzgerald,Vassar Brewers,1,0,0,,0,0,,0,0,,,0,1
Cole Wissink,Ithaca College,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Dylan Perry,Alfred State Pioneers,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Brandon Weiss,Rochester Institute of Technology Tigers,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Elliot Harris,Bard College,1,0,0,,0,0,,0,0,,,1,0
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Jackson Otis,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Blessed Mbogo,Gallaudet University Bison,1,0,0,,0,0,,1,0,0.0,,0,1
Logan Wendell,Ithaca College,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Ryan Lucey,Hobart College Statesmen,1,0,0,,0,0,,0,0,,,0,1
Prince Shyllon,Skidmore Thoroughbreds,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Nick Padilla,Skidmore Thoroughbreds,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Aiden Macaulay,St. Lawrence Saints,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Steve DeRegis,Clarkson University Golden Knights,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Cory Dennis,Bard College,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Connor Melis,Bard College,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Pat Healy,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Avery Eugster,Rensselaer Polytechnic,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Tyler Cardello,Elmira,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Zachary Bippus,Gallaudet University Bison,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Matt Niemczura,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,0,0,,0.0,0,0
