Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Adam Dudzinski,St. Lawrence Saints,3,0,0,,3,1,33.3333,1,0,0.0,33.33333,0,0
Brody Brown,Rochester Institute of Technology Tigers,2,1,0,0.0,1,0,0.0,0,0,,0.0,0,0
Matt Caggiano,Rochester Institute of Technology Tigers,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Aidan Rodgers,Hobart College Statesmen,2,2,0,0.0,0,0,,0,0,,0.0,0,0
Brock Bowen,Rochester Institute of Technology Tigers,2,2,0,0.0,0,0,,0,0,,0.0,0,0
Keegan Ocorr,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,0,1
Laz Panagiotounis,Bard College,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Luke Granto,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Ian Bentley,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Alex Walters,Vassar Brewers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Dylan Perry,Alfred State Pioneers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Blessed Mbogo,Gallaudet University Bison,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Dyland Matchett,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0,0
