Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Rochester Institute of Technology Tigers,16,2,2,100.0,11,4,36.3636,2,0,0.0,53.84615,2,1
Chase Dickens,Rochester Institute of Technology Tigers,8,3,1,33.3333,3,2,66.6667,2,1,50.0,58.33333,1,1
Brock Bowen,Rochester Institute of Technology Tigers,6,2,1,50.0,1,1,100.0,1,1,100.0,83.33333,0,3
Logan Wendell,Ithaca College,3,0,0,,3,2,66.6667,0,0,,66.66667,0,0
Avery Lee,Vassar Brewers,3,0,0,,2,0,0.0,1,0,0.0,0.0,1,0
Aidan Rodgers,Hobart College Statesmen,2,0,0,,2,0,0.0,2,0,0.0,0.0,0,0
Azriel Almodovar,Bard College,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Brandon Weiss,Rochester Institute of Technology Tigers,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0,0
Pat Healy,Hobart College Statesmen,2,0,0,,1,0,0.0,1,0,0.0,0.0,1,0
Keegan Ocorr,Rochester Institute of Technology Tigers,2,0,0,,1,0,0.0,1,0,0.0,0.0,1,0
Andrew Geschickter,Ithaca College,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0,0
Shea Fitzgerald,Vassar Brewers,2,0,0,,0,0,,0,0,,,1,1
Daniel Cook,St. John Fisher Cardinals,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Jack Foley,St. John Fisher Cardinals,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Trey Syroka,St. Lawrence Saints,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Tanner Tedesco,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
Lemar Fulmore Jr,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Aidan Roy,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Prince Shyllon,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Evan Hauser,Wells,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Paris Jamison,Alfred State Pioneers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Ronnie Toole,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,0,1
Luke Granto,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,0,1
Dylan Jacob,Elmira,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Brandon Chung,Gallaudet University Bison,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Braeden Burns,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Laz Panagiotounis,Bard College,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Evan Cabral,Ithaca College,1,0,0,,1,0,0.0,0,0,,0.0,0,0
PJ Scalisi,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Jake Walsh,Skidmore Thoroughbreds,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Connor Cepiel,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Christian Dufort,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
Malachi Moore,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Avery Eugster,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1,0
Jaheim Crayton,Gallaudet University Bison,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Dyland Matchett,Rensselaer Polytechnic,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Brody Brown,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Logan Jagodzinski,Rochester (NY) Yellowjackets,1,1,1,100.0,0,0,,0,0,,150.0,0,0
