Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Chase Dickens,Rochester Institute of Technology Tigers,16,5,3,60.0,8,3,37.5,0,0,,57.69231,2,1
Matt Caggiano,Rochester Institute of Technology Tigers,15,2,0,0.0,8,1,12.5,2,0,0.0,10.0,4,1
Brock Bowen,Rochester Institute of Technology Tigers,5,3,0,0.0,1,1,100.0,0,0,,25.0,1,0
Keegan Ocorr,Rochester Institute of Technology Tigers,4,0,0,,3,2,66.6667,0,0,,66.66667,1,0
Luke Insley,Nazareth College Golden Flyers,4,0,0,,4,2,50.0,1,0,0.0,50.0,0,0
Jaylen Savage,Nazareth College Golden Flyers,3,0,0,,1,0,0.0,1,0,0.0,0.0,0,2
Connor Cepiel,Union (NY) Dutchmen,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Gavin Macaulay,St. Lawrence Saints,2,0,0,,0,0,,0,0,,,1,1
Pat Healy,Hobart College Statesmen,2,1,1,100.0,1,0,0.0,1,0,0.0,75.0,0,0
Avery Lee,Vassar Brewers,2,0,0,,0,0,,0,0,,,1,1
Jack Foley,St. John Fisher Cardinals,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Daniel Cook,St. John Fisher Cardinals,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Nick Padilla,Skidmore Thoroughbreds,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0,0
Brody Brown,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Aidan Holmes,Ithaca College,1,0,0,,0,0,,0,0,,,0,1
Noah Downing,Ithaca College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Maxwell Schneider,St. John Fisher Cardinals,1,0,0,,0,0,,0,0,,,1,0
Matt Lettko,St. John Fisher Cardinals,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Aiden Macaulay,St. Lawrence Saints,1,0,0,,0,0,,0,0,,,1,0
Braeden Burns,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Tanner Tedesco,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
Andrew Geschickter,Ithaca College,1,1,1,100.0,0,0,,0,0,,150.0,0,0
JP Miranda,Vassar Brewers,1,0,0,,0,0,,0,0,,,1,0
Luke Granto,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Mike Parme,Bard College,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Ahmad Rauf,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Ryan Miles-Ferguson,Clarkson University Golden Knights,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Mark Osime,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Ronnie Toole,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Blessed Mbogo,Gallaudet University Bison,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Enow Otto Jr.,Gallaudet University Bison,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Evan Cabral,Ithaca College,1,0,0,,0,0,,0,0,,,1,0
Jake Walsh,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Aidan Roy,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Aidan Rodgers,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Tomiwa Adetosoye,Rochester (NY) Yellowjackets,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Malachi Moore,Rochester (NY) Yellowjackets,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Logan Jagodzinski,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,0,0,,0.0,0,0
