Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Brock Bowen,Rochester Institute of Technology Tigers,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Matt Caggiano,Rochester Institute of Technology Tigers,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Aidan Rodgers,Hobart College Statesmen,1,0,0,,0,0,,1,0,0.0,,0,1
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Aidan Roy,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Brendan McRoy,St. John Fisher Cardinals,1,0,0,,0,0,,0,0,,,1,0
Keegan Ocorr,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Chase Dickens,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Don Mays Jr,Wells,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Pat Healy,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Jake Walsh,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Aiden Macaulay,St. Lawrence Saints,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Tanner Tedesco,Union (NY) Dutchmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
