Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Kenny Wilburn,Rochester Institute of Technology Tigers,33,0,0,,26,6,23.0769,0,0,,23.07692,5,2
Josiah Turner,Rochester Institute of Technology Tigers,26,0,0,,13,11,84.6154,0,0,,84.61538,9,4
Finn Cork,Clarkson University Golden Knights,6,0,0,,2,0,0.0,0,0,,0.0,3,1
Jack Plesser,Union (NY) Dutchmen,5,0,0,,4,2,50.0,0,0,,50.0,0,1
Carter Meshanic,Hobart College Statesmen,4,0,0,,1,1,100.0,0,0,,100.0,3,0
Sean Wilcox,Bard College,4,0,0,,1,0,0.0,0,0,,0.0,1,2
Andrew Cowan,St. Lawrence Saints,4,0,0,,3,1,33.3333,0,0,,33.33333,1,0
Chase Dickens,Rochester Institute of Technology Tigers,4,0,0,,3,1,33.3333,0,0,,33.33333,0,1
Jonny Angbazo,Rensselaer Polytechnic,4,0,0,,3,0,0.0,0,0,,0.0,1,0
Rowan Heinze,Bard College,3,0,0,,3,1,33.3333,0,0,,33.33333,0,0
Billy Mccrae,Wells,3,0,0,,3,3,100.0,0,0,,100.0,0,0
Nolan Smih,Rochester Institute of Technology Tigers,3,0,0,,1,0,0.0,0,0,,0.0,2,0
Dylan Jacob,Elmira,2,0,0,,1,0,0.0,0,0,,0.0,0,1
Nate Tawiah-Boateng,Rensselaer Polytechnic,2,0,0,,1,0,0.0,0,0,,0.0,0,1
Jackson Otis,Rochester Institute of Technology Tigers,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Case Parsons,Vassar Brewers,2,0,0,,1,0,0.0,0,0,,0.0,1,0
Avery Eugster,Rensselaer Polytechnic,2,0,0,,0,0,,0,0,,,1,1
Aren Cummings,Union (NY) Dutchmen,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Ryan Lucey,Hobart College Statesmen,2,0,0,,2,0,0.0,0,0,,0.0,0,0
Matt Caggiano,Rochester Institute of Technology Tigers,2,0,0,,1,1,100.0,0,0,,100.0,0,1
Isaiah Washington,Hobart College Statesmen,2,0,0,,2,0,0.0,0,0,,0.0,0,0
Adam Dudzinski,St. Lawrence Saints,2,0,0,,1,1,100.0,0,0,,100.0,0,1
Evan Cabral,Ithaca College,1,0,0,,0,0,,0,0,,,0,1
Christian Dufort,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Tyler Cardello,Elmira,1,0,0,,0,0,,0,0,,,0,1
Dorian Paki,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Daniel Cook,St. John Fisher Cardinals,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Connor Recore,St. John Fisher Cardinals,1,0,0,,0,0,,0,0,,,0,1
Riley Spencer,Elmira,1,0,0,,0,0,,0,0,,,0,1
Brandon Chung,Gallaudet University Bison,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Andrew Deppe,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Brad Fowler,St. John Fisher Cardinals,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Triston Wennersten,Ithaca College,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Keegan Ocorr,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
John Bangel,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Ryan Miles-Ferguson,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,1,0
Devyn Benson,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Hunter Meshanic,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Jack LaGarde,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Connor Williams,St. John Fisher Cardinals,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Carter Storey,St. Lawrence Saints,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Edward Baptiste,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
Owen Evans,Elmira,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Matt Wiele,Rochester (NY) Yellowjackets,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Logan Scott,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
