Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Kenny Wilburn,Rochester Institute of Technology Tigers,12,0,0,,10,3,30.0,0,0,,30.0,1,1
Finn Cork,Clarkson University Golden Knights,4,0,0,,0,0,,0,0,,,3,1
Jack Plesser,Union (NY) Dutchmen,4,0,0,,3,1,33.3333,0,0,,33.33333,0,1
Jonny Angbazo,Rensselaer Polytechnic,2,0,0,,1,0,0.0,0,0,,0.0,1,0
Billy Mccrae,Wells,2,0,0,,2,2,100.0,0,0,,100.0,0,0
Jackson Otis,Rochester Institute of Technology Tigers,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Andrew Cowan,St. Lawrence Saints,2,0,0,,1,0,0.0,0,0,,0.0,1,0
Isaiah Washington,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Matt Caggiano,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,0,1
Brad Fowler,St. John Fisher Cardinals,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Keegan Ocorr,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
John Bangel,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Rowan Heinze,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Chase Dickens,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Ryan Lucey,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Devyn Benson,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
