Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Rochester Institute of Technology Tigers,21,0,0,,15,9,60.0,5,3,60.0,60.0,3,3
Josiah Turner,Rochester Institute of Technology Tigers,18,0,0,,13,6,46.1538,0,0,,46.15385,3,2
Brock Bowen,Rochester Institute of Technology Tigers,15,4,2,50.0,6,4,66.6667,2,2,100.0,70.0,2,3
Chase Dickens,Rochester Institute of Technology Tigers,13,5,1,20.0,6,2,33.3333,2,0,0.0,31.81818,1,1
Keegan Ocorr,Rochester Institute of Technology Tigers,12,0,0,,10,7,70.0,1,0,0.0,70.0,1,1
Brody Brown,Rochester Institute of Technology Tigers,9,1,1,100.0,5,1,20.0,5,0,0.0,41.66667,2,1
Brandon Weiss,Rochester Institute of Technology Tigers,6,0,0,,5,0,0.0,1,0,0.0,0.0,0,1
JP Miranda,Vassar Brewers,6,0,0,,6,2,33.3333,2,0,0.0,33.33333,0,0
Kenny Wilburn,Rochester Institute of Technology Tigers,6,0,0,,4,2,50.0,2,1,50.0,50.0,2,0
Pat Healy,Hobart College Statesmen,5,0,0,,4,3,75.0,3,2,66.6667,75.0,1,0
Mark Osime,Rochester Institute of Technology Tigers,5,0,0,,4,1,25.0,0,0,,25.0,0,1
Trey Syroka,St. Lawrence Saints,5,0,0,,3,2,66.6667,0,0,,66.66667,2,0
Zac Ditzel,Rochester Institute of Technology Tigers,4,0,0,,3,0,0.0,1,0,0.0,0.0,1,0
Jack Dalgety,Clarkson University Golden Knights,4,0,0,,3,3,100.0,0,0,,100.0,0,1
Luke Mcgarrity,Union (NY) Dutchmen,4,0,0,,3,2,66.6667,1,1,100.0,66.66667,1,0
Tanner Tedesco,Union (NY) Dutchmen,4,1,0,0.0,3,1,33.3333,3,1,33.3333,25.0,0,0
Shea Fitzgerald,Vassar Brewers,3,0,0,,3,2,66.6667,1,0,0.0,66.66667,0,0
Cory Dennis,Bard College,3,0,0,,1,1,100.0,1,1,100.0,100.0,2,0
Ryan Rosa,Alfred State Pioneers,3,0,0,,2,2,100.0,0,0,,100.0,1,0
Jackson Otis,Rochester Institute of Technology Tigers,3,1,0,0.0,2,0,0.0,0,0,,0.0,0,0
Ryan Miles-Ferguson,Clarkson University Golden Knights,3,1,0,0.0,2,1,50.0,0,0,,33.33333,0,0
Christian Dufort,Union (NY) Dutchmen,3,1,0,0.0,0,0,,0,0,,0.0,2,0
Edward Baptiste,Union (NY) Dutchmen,3,0,0,,2,1,50.0,1,0,0.0,50.0,1,0
Logan Wendell,Ithaca College,3,0,0,,3,1,33.3333,1,0,0.0,33.33333,0,0
Ronnie Toole,Rochester Institute of Technology Tigers,3,0,0,,3,0,0.0,0,0,,0.0,0,0
Avery Lee,Vassar Brewers,2,0,0,,1,0,0.0,1,0,0.0,0.0,0,1
